time,open,close,high,low,volume
10/24/2019 8:00,6261.25,6740,7045,6021.25,4.98759985
10/25/2019 8:00,6740,8800,9185,6717.5,0
10/26/2019 8:00,8800,8352.5,9837.5,7462.5,0
10/27/2019 8:00,8352.5,9350,10105,7712.5,0
10/28/2019 8:00,9350,9270,11145,9092.5,0
10/29/2019 8:00,9270,10020,10370,9187.5,321.6677856
10/30/2019 8:00,10020,8797.5,10742.5,8390,0
10/31/2019 8:00,8797.5,8480,9165,7805,0
11/1/2019 8:00,8480,8957.5,9290,8240,0
11/2/2019 8:00,8957.5,9027.5,9197.5,8677.5,0
11/3/2019 8:00,9027.5,8532.5,9317.5,8290,0
11/4/2019 8:00,8532.5,9482.5,9545,8325,0
11/5/2019 8:00,9490,9977.5,10460,9365,0
11/6/2019 8:00,9947.5,10377.5,11230,9622.5,0
11/7/2019 8:00,10377.5,9357.5,10435,8787.5,0
11/8/2019 8:00,9357.5,8502.5,9602.5,7807.5,0
11/9/2019 8:00,8502.5,8622.5,8847.5,8390,0
11/10/2019 8:00,8622.5,9467.5,9762.5,8550,0
11/11/2019 8:00,9467.5,9000,9560,8480,0
11/12/2019 8:00,9000,9357.5,9842.5,8840,0
11/13/2019 8:00,9360,9010,9405,8907.5,0
11/14/2019 8:00,9010,8592.5,9075,8142.5,79.14050293
11/15/2019 8:00,8582.5,9247.5,9605,8115,0
11/16/2019 8:00,9247.5,9245,9637.5,8832.5,0
11/17/2019 8:00,9245,9997.5,10472.5,8732.5,697.3789063
11/18/2019 8:00,9997.5,8675,10660,8640,692.2247925
11/19/2019 8:00,8675,8043.75,8842.5,7440,69.45259857
11/20/2019 8:00,8043.75,7315,8163.75,6998.75,0
11/21/2019 8:00,7315,5952.5,7422.5,5177.5,69.45290375
11/22/2019 8:00,5952.5,5041,6090,4024,0
11/23/2019 8:00,5041,5362.5,5537,4824,10.19999981
11/24/2019 8:00,5367.5,4056,5677.5,4038,9
11/25/2019 8:00,4066,4356,4825,3363,475.1543579
11/26/2019 8:00,4356,4629,4774,4164,0
11/27/2019 8:00,4621,5457,5768,4055,4690.433594
11/28/2019 8:00,5457,5455,5769,5163,4229.271973
11/29/2019 8:00,5455,6395,6677.5,5427.5,7697.069824
11/30/2019 8:00,6395,5957.5,6725,5702.5,7292.210449
12/1/2019 8:00,5957.5,5570,5957.5,5010,17557.05273
12/2/2019 8:00,5570,4862,5595,4622.5,8685.501953
12/3/2019 8:00,4862,4784,5206,4634,0
12/4/2019 8:00,4784,4544,5156,4197,5779.012695
12/5/2019 8:00,4554,4683,4903,4363,2964.732178
12/6/2019 8:00,4683,4921,4950,4506,999.984375
12/7/2019 8:00,4921,4985,5206,4838,0
12/8/2019 8:00,4985,5035,5131,4806,1655.442627
12/9/2019 8:00,5035,4454,5089,4379,4584.362305
12/10/2019 8:00,4454,4110,4580,4004,1326.400879
12/11/2019 8:00,4110,4174,4348,4034,1253.186523
12/12/2019 8:00,4174,4113,4261,3957,1790.236084
12/13/2019 8:00,4113,4361,4407,4102,0
12/14/2019 8:00,4361,3998,4382,3835,0
