time,open,close,high,low,volume
12/25/2019 8:00,6464,6553.5,6656.5,6429.5,10.09006023
12/26/2019 8:00,6553.5,6409,6560.5,6256,7.265979767
12/27/2019 8:00,6409,6647.5,6909,6375,2.587650061
12/28/2019 8:00,6647.5,6517.5,6660,6407,0
12/29/2019 8:00,6517.5,6416,6575.5,6301.5,0
12/30/2019 8:00,6416,6575.5,6626,6381.5,0
12/31/2019 8:00,6575.5,6692.5,6698.5,6490,0
1/1/2020 8:00,6692.5,6555.5,6712,6489.5,0
1/2/2020 8:00,6555.5,6712.5,6794.5,6555.5,0
1/3/2020 8:00,6712.5,6409,6763,6346.5,0
1/4/2020 8:00,6402,6366.5,6502,6345,0
1/5/2020 8:00,6366.5,6341.5,6412.5,6207.5,0
1/6/2020 8:00,6342.5,5842,6380,5831,0
1/7/2020 8:00,5842,5893,5988.5,5715.5,0
1/8/2020 8:00,5891.5,6004,6088.5,5622,0
1/9/2020 8:00,6003,6019.5,6122,5981,0
1/10/2020 8:00,6019.5,5890.5,6273,5855,0
1/11/2020 8:00,5887.5,5935,5991,5766,0
1/12/2020 8:00,5939,5759,5970.5,5750.5,0
1/13/2020 8:00,5755,5925.5,5944.5,5743,0
1/14/2020 8:00,5925.5,5125,5951.5,4979,0
1/15/2020 8:00,5125,4993.5,5329.5,4930.5,0
1/16/2020 8:00,4993.5,5118.5,5297.5,4925.5,0
1/17/2020 8:00,5117.5,4735,5172,4612.5,0
1/18/2020 8:00,4738,4738,4919.5,4635.5,0
1/19/2020 8:00,4738,5044,5119,4618,0
1/20/2020 8:00,5044,4826.5,5047.5,4752,0
1/21/2020 8:00,4826.5,4580.5,4857.5,4499,0
1/22/2020 8:00,4579,4606,4650,4522.5,0
1/23/2020 8:00,4606,4861,4975,4590.5,0
1/24/2020 8:00,4861,4671.5,5073,4616.5,0
1/25/2020 8:00,4671.5,4849.5,4874,4637,0
1/26/2020 8:00,4849.5,4665,4873,4665,0
1/27/2020 8:00,4662.5,4333,4726.5,4221,0
1/28/2020 8:00,4334,3870.5,4372,3733.5,0
1/29/2020 8:00,3878,3866.5,3909.5,3540,0
1/30/2020 8:00,3868.5,3660,3955,3581.5,0
1/31/2020 8:00,3659,3818.5,3933,3615,0
2/1/2020 8:00,3818.5,3655,3872,3569,0
2/2/2020 8:00,3655,3685,3734.5,3483.5,1.978625059
2/3/2020 8:00,3685,3598.5,3715,3546.5,0
2/4/2020 8:00,3602,3677.5,3796,3546.5,2.068274975
2/5/2020 8:00,3677.5,3437.5,3701,3378.5,0
2/6/2020 8:00,3437.5,3411,3520,3353.5,0
2/7/2020 8:00,3411,3427,3453,3260,0
2/8/2020 8:00,3427,3415.5,3591,3339,0
2/9/2020 8:00,3415.5,3319,3419,3279,0
2/10/2020 8:00,3319,3411,3505,3302,0
2/11/2020 8:00,3411,3224,3489.5,3218,0
2/12/2020 8:00,3224,2991,3226,2877.5,0
2/13/2020 8:00,2991,2984.75,3140.75,2811.5,0
2/14/2020 8:00,2984.75,2903.75,3053.5,2877.75,51.57204819
2/15/2020 8:00,2903.75,3173.5,3255.75,2872.25,0
2/16/2020 8:00,3173.5,3311,3557.25,3023,0
2/17/2020 8:00,3306,3384.5,3624,3247.5,0
2/18/2020 8:00,3384,3232,3528,3174,0
2/19/2020 8:00,3232,3518,3551.5,3217,0
2/20/2020 8:00,3521,3474,3632.5,3423.5,119.9905319
2/21/2020 8:00,3468.5,3441.5,3502,3355,117.3794632
2/22/2020 8:00,3441.5,3462,3526.5,3414.5,119.9940796
2/23/2020 8:00,3462,3259.5,3464,3232.5,115.7654419
2/24/2020 8:00,3263,3403.5,3492.5,3246,119.9756165
2/25/2020 8:00,3403.5,3581,3592,3387.5,0
2/26/2020 8:00,3581,4022,4191,3541.5,0
2/27/2020 8:00,4022,3961.5,4259,3778,139.0106354
2/28/2020 8:00,3960.5,4039.5,4225,3849,531.3613281
2/29/2020 8:00,4039.5,4183,4184.5,3945,118.8038483
3/1/2020 8:00,4184,4313.5,4365.5,4082,684.5343018
3/2/2020 8:00,4313.5,3973.5,4333.5,3922,0
3/3/2020 8:00,3973.5,4023.5,4122,3963,0
3/4/2020 8:00,4023.5,3993.5,4082.5,3884.5,0
3/5/2020 8:00,3993.5,3834.5,3993.5,3722.5,0
3/6/2020 8:00,3834.5,3775.5,3919,3775.5,0
3/7/2020 8:00,3775.5,3996.5,4044.5,3765.5,0
3/8/2020 8:00,3996.5,4478.5,4518,3996.5,0
3/9/2020 8:00,4478.5,4623.5,4878,4378,0
3/10/2020 8:00,4623.5,4648,4759.5,4456.5,51.58293915
3/11/2020 8:00,4648,4831,5096.5,4605,0
3/12/2020 8:00,4831,6807,6919,4815,0
3/13/2020 8:00,6800.5,5462.5,8497,5298,0
3/14/2020 8:00,5462.5,5983.5,6073.5,5364.5,0
3/15/2020 8:00,5983.5,5699.5,6041.5,5052.5,0
3/16/2020 8:00,5699.5,6286,6867,5693.5,0
3/17/2020 8:00,6276.5,5848.5,6340,5650.5,0
3/18/2020 8:00,5848.5,5737,6136.5,5518.5,0
