time,open,close,high,low,volume
8/6/2019 8:00,8678.75,9875,10260,8405,0.085450001
8/7/2019 8:00,9875,9795,10395,9172.5,21396.94922
8/8/2019 8:00,9795,10095,10655,9592.5,19815.91406
8/9/2019 8:00,10095,11735,12102.5,10025,0
8/10/2019 8:00,11735,11712.5,12930,10790,20100.03516
8/11/2019 8:00,11712.5,10175,11805,10002.5,0
8/12/2019 8:00,10165,10830,11065,10142.5,0
8/13/2019 8:00,10830,10995,11700,10780,0
8/14/2019 8:00,11002.5,14360,15527.5,10815,263.8680115
8/15/2019 8:00,14367.5,14062.5,17525,13680,0
8/16/2019 8:00,14062.5,14762.5,15725,14037.5,10.24650002
8/17/2019 8:00,14762.5,14872.5,15485,14452.5,0
8/18/2019 8:00,14872.5,12940,15332.5,12137.5,0
8/19/2019 8:00,12940,11960,13242.5,11630,0
8/20/2019 8:00,11960,12915,13245,11922.5,0
8/21/2019 8:00,12915,14490,15520,12820,0
8/22/2019 8:00,14490,13615,15360,12990,194.1253052
8/23/2019 8:00,13620,12755,13920,12620,2687.146484
8/24/2019 8:00,12755,13615,14260,12750,299.8658142
8/25/2019 8:00,13615,14220,14715,13110,6020.144531
8/26/2019 8:00,14220,13785,14260,12750,246.7845001
8/27/2019 8:00,13785,14080,14650,13785,4357.824219
8/28/2019 8:00,14080,16570,18265,14080,29363.63086
8/29/2019 8:00,16570,17870,18980,16570,49509.3125
8/30/2019 8:00,17870,17715,18710,17250,15255.44434
8/31/2019 8:00,17715,17045,18400,16375,16397.47461
9/1/2019 8:00,17045,16955,18015,16705,9347.798828
9/2/2019 8:00,16955,15105,17160,14655,14721.17969
9/3/2019 8:00,15105,14725,15480,14025,13576.52148
9/4/2019 8:00,14725,15705,15860,14655,2586.053955
9/5/2019 8:00,15705,16170,16675,15615,13514.80469
9/6/2019 8:00,16170,17120,17660,15030,112.7426987
9/7/2019 8:00,17120,14265,17205,13680,4992.761719
9/8/2019 8:00,14265,13315,14265,12965,0
9/9/2019 8:00,13315,13475,14405,12780,9906.448242
9/10/2019 8:00,13475,13860,14350,12850,2.519099951
9/11/2019 8:00,13860,14630,15320,13565,1682.151001
9/12/2019 8:00,14630,14470,15250,14220,5183.275391
9/13/2019 8:00,14470,14380,14920,14370,0
9/14/2019 8:00,14380,12875,14610,12655,36.65250015
9/15/2019 8:00,12875,12915,13575,12510,49.87675095
9/16/2019 8:00,12915,11965,13275,11750,3813.194336
9/17/2019 8:00,11965,10555,12175,9480,8563.016602
9/18/2019 8:00,10550,9685,10560,9020,9351.110352
9/19/2019 8:00,9685,9560,11270,9325,3900.052246
9/20/2019 8:00,9560,10035,10755,9485,300.4271851
