time,open,close,high,low,volume
8/6/2019 8:00,3883.5,4449,4647,3774,0.038339999
8/7/2019 8:00,4449,4347,4629,4014,0
8/8/2019 8:00,4347,4533,4840,4308,99.96473694
8/9/2019 8:00,4533,5332,5572,4521,2661.26709
8/10/2019 8:00,5332,5292,5859,4898,46.69781876
8/11/2019 8:00,5292,4114,5351,3927,0
8/12/2019 8:00,4127,4454,4494,4094,612.0388794
8/13/2019 8:00,4454,3820,4545,3635,187.9040833
8/14/2019 8:00,3816,4961,5123,3447,2121.706299
8/15/2019 8:00,4959,4091,7080,3598,388.8500061
8/16/2019 8:00,4091,4306,5050,4031,0
8/17/2019 8:00,4306,4410,4680,4171,0
8/18/2019 8:00,4408,3940,4600,3615,301.6860046
8/19/2019 8:00,3940,3665,4084,3548,2822.059326
8/20/2019 8:00,3665,3991,4129,3639,102.9996796
8/21/2019 8:00,3991,4433,4986,3973,581.3814697
8/22/2019 8:00,4441,4083,4864,3921,574.5825806
8/23/2019 8:00,4083,3890,4339,3810,159.1565247
8/24/2019 8:00,3890,4284,4512,3867,160.6338959
8/25/2019 8:00,4284,4309,4473,4010,8112.611328
8/26/2019 8:00,4309,4079,4326,3876,0
8/27/2019 8:00,4079,4172,4378,4010,717.2275391
8/28/2019 8:00,4172,4853,5187,4097,2750.608398
8/29/2019 8:00,4853,5440,5648,4848,3063.371338
8/30/2019 8:00,5435,5493,5974,5242,0
8/31/2019 8:00,5493,5500,5967,5148,0.05522
9/1/2019 8:00,5500,5314,5806,5235,308.4159241
9/2/2019 8:00,5314,4656,5429,4545,18.04775047
9/3/2019 8:00,4656,4296,4672,4048,1690.927856
9/4/2019 8:00,4295,4587,4671,4253,0
9/5/2019 8:00,4587,4710,5020,4501,49.95727158
9/6/2019 8:00,4710,5001,5346,4257,1444.640503
9/7/2019 8:00,4993,4289,5133,4028,647.7057495
9/8/2019 8:00,4289,4048,4502,3839,212.8021545
9/9/2019 8:00,4041,4130,4384,3815,196.4483948
9/10/2019 8:00,4130,4182,4379,3872,14120.49219
9/11/2019 8:00,4182,4405,4665,4064,61.15499878
9/12/2019 8:00,4405,4355,4579,4289,2242.406738
9/13/2019 8:00,4355,4449,4590,4341,790.1097412
9/14/2019 8:00,4446,4180,4523,4064,0.041999999
9/15/2019 8:00,4180,4233,4285,4065,0.042259999
9/16/2019 8:00,4233,4081,4373,3976,563.2492065
9/17/2019 8:00,4080,3647,4173,3309,0
9/18/2019 8:00,3648,3495,3649,3182,0
9/19/2019 8:00,3497,3506,4150,3466,0
9/20/2019 8:00,3506,3792,4044,3442,0
9/21/2019 8:00,3787,3925,4010,3687,48.22288895
9/22/2019 8:00,3925,4109,4274,3917,0
9/23/2019 8:00,4107,4722,4776,4059,0
9/24/2019 8:00,4722,9302.5,11807.5,4641,0
9/25/2019 8:00,9332.5,8222.5,9537.5,7320,929.2451172
9/26/2019 8:00,8222.5,9630,10702.5,8192.5,0
9/27/2019 8:00,9630,8770,10427.5,8402.5,0
9/28/2019 8:00,8770,7945,9047.5,7602.5,0
9/29/2019 8:00,7945,8872.5,9547.5,7900,312.1019897
9/30/2019 8:00,8872.5,7670,9570,7355,9393.704102
10/1/2019 8:00,7670,8120,8530,6880,2820.546143
10/2/2019 8:00,8120,7935,8430,7867.5,49.97045135
10/3/2019 8:00,7935,8187.5,8747.5,7892.5,477.6601868
10/4/2019 8:00,8187.5,8327.5,8592.5,7877.5,0
10/5/2019 8:00,8307.5,8152.5,8647.5,8092.5,9.713925362
10/6/2019 8:00,8152.5,8450,8825,8102.5,0
10/7/2019 8:00,8450,6915,8642.5,6535,6041.680664
10/8/2019 8:00,6915,7055,7440,6395,0
10/9/2019 8:00,7055,6440,7392.5,6267.5,1697.788452
10/10/2019 8:00,6440,7155,7220,6347.5,0
10/11/2019 8:00,7155,8050,8215,6670,2344.460449
10/12/2019 8:00,8050,7690,8050,7267.5,0
10/13/2019 8:00,7690,7805,7975,7237.5,0
10/14/2019 8:00,7805,7240,7842.5,7070,301.3100891
10/15/2019 8:00,7240,7805,8020,7155,149.9668427
10/16/2019 8:00,7805,8357.5,8670,7485,0
10/17/2019 8:00,8357.5,8002.5,8665,7892.5,0
10/18/2019 8:00,8002.5,8865,9237.5,7945,59.99629974
10/19/2019 8:00,8872.5,8737.5,9017.5,8420,0
10/20/2019 8:00,8737.5,7362.5,9022.5,7110,2306.840576
10/21/2019 8:00,7362.5,6640,7470,6275,0
10/22/2019 8:00,6657.5,7125,7230,6477.5,0
10/23/2019 8:00,7125,8695,9752.5,7055,2343.560303
10/24/2019 8:00,8695,8390,9205,7770,7054.095703
10/25/2019 8:00,8390,4163,8400,3809,2697.780762
10/26/2019 8:00,4163,3540,4458,3314,0
10/27/2019 8:00,3542,3242,3879,2911,0
10/28/2019 8:00,3242,3116,3303,2698,2017.218994
10/29/2019 8:00,3116,2267,3117,2042,0
10/30/2019 8:00,2267,2282,2422.5,1884,22133.53125
10/31/2019 8:00,2282,2435,2685.5,2186,49433.70313
11/1/2019 8:00,2435,2556,2762,2415,32016.51953
11/2/2019 8:00,2556,2261,2571,2085,29903.69922
11/3/2019 8:00,2261,2233.5,2435.5,1964,64591.69531
11/4/2019 8:00,2233.5,2234.5,2372.5,2149,0
11/5/2019 8:00,2234.5,2184.5,2328.5,2063.5,942.552002
11/6/2019 8:00,2186.5,1923,2223.5,1868.5,1776.062256
11/7/2019 8:00,1923,2184.5,2279,1907,1810.816162
11/8/2019 8:00,2186.5,2521,2680.5,2132.5,1060.087524
11/9/2019 8:00,2521,2387,2545,2349,0
11/10/2019 8:00,2387,2087.5,2469,1941,499.9562378
11/11/2019 8:00,2087.5,2229,2326.5,2011,503.3092651
