time,open,close,high,low,volume
8/6/2019 8:00,6310.75,6598,6721,6244,0.062830001
8/7/2019 8:00,6598,6538,6688.5,6363,0
8/8/2019 8:00,6538,6615.5,6797,6508,0
8/9/2019 8:00,6615.5,7013,7150,6607,0
8/10/2019 8:00,7013,6995.5,7271,6806.5,0
8/11/2019 8:00,6995.5,6457.5,7031,6361,0
8/12/2019 8:00,6457.5,6646,6686,6446.5,0
8/13/2019 8:00,6646,6337.5,6697.5,6232,0
8/14/2019 8:00,6326.5,6977,7116.5,6105.5,0
8/15/2019 8:00,6968,6745,8009,6504.5,0
8/16/2019 8:00,6745,6861.5,7086,6710,0
8/17/2019 8:00,6861.5,6909.5,7047.5,6771,0
8/18/2019 8:00,6909.5,6671,7004,6490.5,0
8/19/2019 8:00,6671,6506,6746.5,6439.5,0
8/20/2019 8:00,6506,6677,6767.5,6490,1647.914307
8/21/2019 8:00,6677,6916,7249.5,6663,0
8/22/2019 8:00,6919.5,6740,7155,6650,0
8/23/2019 8:00,6740,6646,6879,6586,0
8/24/2019 8:00,6644.5,6856,6999,6633,0
8/25/2019 8:00,6856,6867.5,6970.5,6701.5,0
8/26/2019 8:00,6867.5,6743.5,6874,6577,0
8/27/2019 8:00,6743.5,6811,6921.5,6704.5,0
8/28/2019 8:00,6811,7170.5,7358,6634.5,0
8/29/2019 8:00,7170.5,7459,7564.5,7161,0
8/30/2019 8:00,7459,7493,7703,7349,0
8/31/2019 8:00,7493,7483.5,7704.5,7312,0
9/1/2019 8:00,7483.5,7411.5,7635,7355.5,0
9/2/2019 8:00,7411.5,7102,7464,7048,0
9/3/2019 8:00,7102,6908.5,7111.5,6762.5,0
9/4/2019 8:00,6908.5,7063,7111.5,6879.5,739.1820679
9/5/2019 8:00,7063,7115.5,7286,7036,0
9/6/2019 8:00,7115.5,7272,7450.5,6892,99.98312378
9/7/2019 8:00,7272,6942,7334.5,6805.5,99.72875214
9/8/2019 8:00,6942,6797,7110.5,6686,0
9/9/2019 8:00,6797,6857,7003,6665,0
9/10/2019 8:00,6857,6876,6995,6703.5,0
9/11/2019 8:00,6876,6994,7171,6804,0
9/12/2019 8:00,6994,6967,7099.5,6932,0
9/13/2019 8:00,6967,7016.5,7253,6958.5,0
9/14/2019 8:00,7016.5,6872,7253,6810,0
9/15/2019 8:00,6872,6905.5,6943.5,6808.5,0
9/16/2019 8:00,6905.5,6814,6992.5,6758,0
9/17/2019 8:00,6813,6571.5,6873,6382,0
9/18/2019 8:00,6571,6475.5,6572,6290,751.0960693
9/19/2019 8:00,6475,6487.5,6845,6462,1402.591797
9/20/2019 8:00,6487.5,6655,6795.5,6445,777.9160767
9/21/2019 8:00,6656.5,6724,6768.5,6599.5,0
9/22/2019 8:00,6724,6850.5,6934,6713.5,758.6958008
9/23/2019 8:00,6847.5,7182,7215.5,6813,758.6306152
9/24/2019 8:00,7182,9213,10044,7145,766.1408691
9/25/2019 8:00,9209,8839,9284,8527,1909.235474
9/26/2019 8:00,8839,9352,9744,8830,0
