time,open,close,high,low,volume
4/23/2020 8:00,5947,6435.5,6554.5,5747.5,1257466.375
4/24/2020 8:00,6435.5,6146.5,6435.5,6131.5,348549.9375
4/25/2020 8:00,6146.5,5797.5,6283,5748.5,443354.5
4/26/2020 8:00,5797.5,5833,5868.5,5645,156742.6719
4/27/2020 8:00,5833,5694.5,5890.5,5656,1781.680054
4/28/2020 8:00,5694.5,5440,5696,5421.5,41826.85938
4/29/2020 8:00,5440,6521.5,6590.5,5331,351986.25
4/30/2020 8:00,6521.5,8879,9092.5,6031,112167.4375
5/1/2020 8:00,8879,8448,8884,8404,35085.82813
5/2/2020 8:00,8448,8178,8653,8126,45810.29688
5/3/2020 8:00,8178,8351,8547,8160,150234.8125
5/4/2020 8:00,8351,8135,8505,8127,75596.02344
5/5/2020 8:00,8135,8414,8450,8120,34673.85547
5/6/2020 8:00,8414,8595,9000,8378,31080.0293
5/7/2020 8:00,8595,9039,9240,8579,280072.9063
5/8/2020 8:00,9039,9048,9202,8552,99586.17188
5/9/2020 8:00,9048,9203,9257,9027,8818.860352
5/10/2020 8:00,9203,9082,9466,9038,129814.9609
5/11/2020 8:00,9082,8748,9093,8748,44814.21875
5/12/2020 8:00,8748,8706,8766,8620,2185.609375
5/13/2020 8:00,8706,8922,8971,8656,7820.582031
5/14/2020 8:00,8922,9334,9362,8904,16841.16992
5/15/2020 8:00,9334,9221,9379,9144,2580.493896
5/16/2020 8:00,9221,9198,9299,9132,1883.493042
5/17/2020 8:00,9198,9232,9460,9188,1075.758179
5/18/2020 8:00,9232,9207,9348,9050,1494.910278
5/19/2020 8:00,9207,9180,9286,9086,26838.59375
5/20/2020 8:00,9180,9129,9272,9039,29007.11914
5/21/2020 8:00,9129,8851,9129,8815,13153.26172
5/22/2020 8:00,8851,8459,8851,8447,215.9837952
5/23/2020 8:00,8459,8328,8510,8328,545.885498
5/24/2020 8:00,8328,8143,8553,8089,1093.488647
5/25/2020 8:00,8143,7910,8143,7910,3295.596924
5/26/2020 8:00,7910,7565,7984,7565,4283.352051
5/27/2020 8:00,7565,7460,7802,7439,5358.70752
5/28/2020 8:00,7460,7528,7660,7460,9920.644531
5/29/2020 8:00,7528,7400,7691,7345,1564.932983
5/30/2020 8:00,7400,7780,7811,7302,7254.677246
5/31/2020 8:00,7780,7725,7815,7643,324.6667175
6/1/2020 8:00,7725,8371,8377,7648,11309.10645
6/2/2020 8:00,8371,8309,9045,8300,105616.9844
6/3/2020 8:00,8309,7677,8309,7660,611.8610229
6/4/2020 8:00,7677,7690,8104,7603,202.1638184
6/5/2020 8:00,7690,7530,8209,7530,2054.288574
6/6/2020 8:00,7530,7523,7993,7506,364.6145935
6/7/2020 8:00,7523,7479,7936,7384,8352.675781
6/8/2020 8:00,7479,7340,7514,7287,9994.646484
6/9/2020 8:00,7340,7273,7393,7273,6715.594727
6/10/2020 8:00,7273,7360,7480,7273,13880.25391
