time,open,close,high,low,volume
6/18/2020 8:00,6285,5430,6292.5,5247.5,0
6/19/2020 8:00,5430,7910,8122.5,5390,49527.46094
6/20/2020 8:00,7910,9340,9450,7700,25792.1582
6/21/2020 8:00,9340,11555,13092.5,9322.5,58293.99219
6/22/2020 8:00,11555,10905,11800,8650,25160.03711
6/23/2020 8:00,10905,10135,13430,9830,66094.26563
6/24/2020 8:00,10135,9485,10525,8407.5,11237.21582
6/25/2020 8:00,9485,9450,9800,8017.5,1111.721802
6/26/2020 8:00,9450,10505,10720,9375,8127.475586
6/27/2020 8:00,10505,8042.5,10567.5,7610,10625.07324
6/28/2020 8:00,8042.5,8987.5,9312.5,7692.5,5867.300781
6/29/2020 8:00,8987.5,9510,9652.5,8790,1062.207642
6/30/2020 8:00,9510,9570,9945,9157.5,645.8916016
7/1/2020 8:00,9570,10755,11105,9445,3940.469482
7/2/2020 8:00,10755,10770,11800,9495,3547.572266
7/3/2020 8:00,10770,12775,13380,10715,6238.862793
7/4/2020 8:00,12775,13030,13310,12015,3288.393311
7/5/2020 8:00,13030,13435,13435,12560,1321.400391
7/6/2020 8:00,13435,14530,15280,13085,11025.42285
7/7/2020 8:00,14530,14965,15300,14150,2526.529541
7/8/2020 8:00,14965,16075,17065,14595,73852.82813
7/9/2020 8:00,16075,15190,17130,13990,4747.618164
7/10/2020 8:00,15190,14925,15290,13715,17329.84766
7/11/2020 8:00,14925,16425,16530,14915,1030.255859
7/12/2020 8:00,16425,16290,19300,15850,31267.70313
7/13/2020 8:00,16290,13735,17025,13065,30972.95898
7/14/2020 8:00,13735,15460,15565,12550,2696.195557
7/15/2020 8:00,15460,16465,16940,15430,4254.672363
7/16/2020 8:00,16465,16540,16565,13625,8241.275391
7/17/2020 8:00,16540,19220,19980,16520,16072.01074
7/18/2020 8:00,19220,21525,21740,17965,18026.47656
7/19/2020 8:00,21525,22565,23165,20480,48581.80469
7/20/2020 8:00,22565,21475,26440,20260,50137.37891
7/21/2020 8:00,21475,21035,22530,19445,27599.28711
7/22/2020 8:00,21035,21770,23575,20635,21650.69531
7/23/2020 8:00,21770,19685,22290,19165,36557.05078
7/24/2020 8:00,19685,18625,20080,18470,48793.68359
