time,open,close,high,low,volume
9/3/2019 8:00,6243.75,6360,6918.75,5945,2822.546387
9/4/2019 8:00,6365,6355,6600,6015,0
9/5/2019 8:00,6355,7090,7500,6197.5,76230.05469
9/6/2019 8:00,7090,6002.5,7197.5,5997.5,5482.751953
9/7/2019 8:00,6002.5,5957.5,6370,4780,64.962677
9/8/2019 8:00,5957.5,5967.5,6307.5,5740,99.98712158
9/9/2019 8:00,5962.5,5750,6272.5,5175,24.7785244
9/10/2019 8:00,5750,5622.5,6150,5347.5,157.1761017
9/11/2019 8:00,5622.5,5040,5775,4480,30.78420067
9/12/2019 8:00,5040,4752.5,5172.5,4735,0
9/13/2019 8:00,4752.5,4684,4850,4501,0.966000021
9/14/2019 8:00,4684,4831,4967,4501,72.51972198
9/15/2019 8:00,4831,4839,5030,4733,0
9/16/2019 8:00,4839,4747,5038,4503,0
9/17/2019 8:00,4746,4925,5266,4635,1126.924316
9/18/2019 8:00,4927,5176,5483,4914,398.5226746
9/19/2019 8:00,5174,4805,5175,3698,289.5155334
9/20/2019 8:00,4805,4668,4920,4177,291.1771545
9/21/2019 8:00,4668,4543,4728,4353,0
9/22/2019 8:00,4543,4255,4554,4147,0
9/23/2019 8:00,4258,3865,4375,3807,30.60491943
9/24/2019 8:00,3858,691,3973,587.5,611.5418701
9/25/2019 8:00,690,794,850.25,647.5,1.66079998
9/26/2019 8:00,794,727,813.5,630.25,0
9/27/2019 8:00,727.5,721.75,754.25,643.25,0
9/28/2019 8:00,721.75,738,766,705,0
9/29/2019 8:00,738,675,744.75,622.5,0
9/30/2019 8:00,675,744.5,777,619,1991.161987
10/1/2019 8:00,744.5,713.5,804.75,690.5,0
10/2/2019 8:00,713.5,741.5,746.25,683.75,0
10/3/2019 8:00,741.5,713.75,746.75,666.75,0
10/4/2019 8:00,713.75,700,737.25,656,0
10/5/2019 8:00,700,717.25,738,684.25,49.97850037
10/6/2019 8:00,717.25,653.5,722.5,625,5
10/7/2019 8:00,653.5,741.25,764.5,640.5,8.225250244
10/8/2019 8:00,741.25,719.75,770.25,696.75,0
10/9/2019 8:00,719.75,931.5,994,705.75,13804.0625
10/10/2019 8:00,931.5,799.25,945.25,790.75,7007.464355
10/11/2019 8:00,799.25,711.25,855.5,704,1780.246338
10/12/2019 8:00,711.25,738.25,754.25,708.75,0
10/13/2019 8:00,738.25,757.75,783.75,728.25,122.8575516
10/14/2019 8:00,757.75,781.75,814.75,749.5,0
10/15/2019 8:00,781.75,656.5,787.25,614.5,934.0289307
10/16/2019 8:00,656.5,607.75,723.25,504,47.86669922
10/17/2019 8:00,607.75,645.75,676,595,0
10/18/2019 8:00,646.25,611,652,578.25,0
