time,open,close,high,low,volume
8/6/2019 8:00,9551.25,8462.5,10077.5,8105,1188.668213
8/7/2019 8:00,8460,8392.5,8985,7895,2661
8/8/2019 8:00,8392.5,7815,8457.5,7227.5,24689.17773
8/9/2019 8:00,7820,6650,7857.5,6315,1265.442505
8/10/2019 8:00,6650,6235,7047.5,5782.5,10287.5791
8/11/2019 8:00,6235,7157.5,7195,6205,10179.47168
8/12/2019 8:00,7160,6670,7180,6515,0
8/13/2019 8:00,6670,6407.5,6670,6022.5,6465.875977
8/14/2019 8:00,6407.5,4360,6452.5,4082.5,23115.49023
8/15/2019 8:00,4360,4477.5,4575,3520,764.9830933
8/16/2019 8:00,4477.5,4302.5,4490,3702.5,350.3485107
8/17/2019 8:00,4302.5,4322.5,4407.5,4097.5,99.9367981
8/18/2019 8:00,4322.5,4962.5,5197.5,4182.5,336.1598511
8/19/2019 8:00,4962.5,5562.5,5645,4867.5,837.562561
8/20/2019 8:00,5562.5,5074,5582.5,4928,183.9546661
8/21/2019 8:00,5074,4328,5107,3815,5315.73877
8/22/2019 8:00,4328,4590,4880,4037,1327.69873
8/23/2019 8:00,4590,4850,4989,4445,4624.587402
8/24/2019 8:00,4850,4567,4852,4240,4230.660645
8/25/2019 8:00,4567,4238,4679,4005,592.617981
8/26/2019 8:00,4238,4371,4730,4195,3600.620117
8/27/2019 8:00,4371,4271,4391,4092,5133.172852
8/28/2019 8:00,4271,3167,4302,2791,3778.544189
8/29/2019 8:00,3167,2946,3191,2689,620.887085
8/30/2019 8:00,2945,2923,3022,2700,0
8/31/2019 8:00,2923,3116,3272,2803,0
9/1/2019 8:00,3113,3092,3215,2918,0
9/2/2019 8:00,3092,3507,3646,3052,22884.8418
9/3/2019 8:00,3507,3534,3748,3261,9541.587891
9/4/2019 8:00,3534,3272,3606,3222,29764.58398
9/5/2019 8:00,3272,3229,3318,2988,2435.356934
9/6/2019 8:00,3229,2951,3457,2734,380.1925659
9/7/2019 8:00,2954,3417,3570,2911,12838.95605
9/8/2019 8:00,3417,3608,3774,3327,7682.460938
9/9/2019 8:00,3608,3551,3821,3284,32608.16211
9/10/2019 8:00,3551,3468,3759,3309,25587.15625
9/11/2019 8:00,3468,3378,3601,3167,9353.628906
9/12/2019 8:00,3378,3529,3627,3289,1057.59729
9/13/2019 8:00,3529,3544,3560,3335,1491.114624
9/14/2019 8:00,3544,3963,3983,3488,7702.888672
9/15/2019 8:00,3963,4004,4099,3812,15886.91895
9/16/2019 8:00,4004,4511,4630,3945,17384.18359
9/17/2019 8:00,4511,5234,5716,4422,6945.351074
9/18/2019 8:00,5233,5390,5908,5222,1233.347534
9/19/2019 8:00,5394,6189,6425,4812,123858.4297
9/20/2019 8:00,6189,5877.5,6276,5457.5,45859.625
9/21/2019 8:00,5877.5,5660,6157.5,5517.5,20407.1875
9/22/2019 8:00,5660,5302.5,5667.5,4940,6772.864258
9/23/2019 8:00,5302.5,4518,5340,4340,4179.94043
