time,open,close,high,low,volume
9/3/2019 8:00,6247.5,6500,6678.75,6122.5,10249.92578
9/4/2019 8:00,6500,6242.5,6550,6115,9853.796875
9/5/2019 8:00,6242.5,6057.5,6332.5,5775,1878.470581
9/6/2019 8:00,6057.5,5730,6232.5,5525,0
9/7/2019 8:00,5730,5942.5,6030,5687.5,0
9/8/2019 8:00,5942.5,5940,6112.5,5745,0
9/9/2019 8:00,5925,5847.5,6027.5,5552.5,0
9/10/2019 8:00,5845,5955,6192.5,5770,0
9/11/2019 8:00,5955,5972.5,6285,5690,0
9/12/2019 8:00,5972.5,5917.5,6022.5,5665,0
9/13/2019 8:00,5917.5,5820,6042.5,5715,9.958800316
9/14/2019 8:00,5820,5987.5,6010,5762.5,10.0060997
9/15/2019 8:00,5987.5,5832.5,6007.5,5817.5,0
9/16/2019 8:00,5832.5,5785,5930,5597.5,0
9/17/2019 8:00,5785,6062.5,6185,5697.5,216.3867188
9/18/2019 8:00,6070,6570,6777.5,6060,2270.518799
9/19/2019 8:00,6570,6260,6602.5,5825,99.95999908
9/20/2019 8:00,6260,6037.5,6292.5,5920,0
9/21/2019 8:00,6037.5,5962.5,6145,5935,0
9/22/2019 8:00,5962.5,5645,5977.5,5572.5,99.99199677
9/23/2019 8:00,5647.5,4797.5,5655,4740,0
9/24/2019 8:00,4797.5,3097,4986,3010,470.1590271
9/25/2019 8:00,3092,3100,3377,2813,499.9599915
9/26/2019 8:00,3100,2805,3188,2532,0
9/27/2019 8:00,2805,2999,3019,2684,0
9/28/2019 8:00,2999,2975,3038,2874,0
9/29/2019 8:00,2975,2740,2991,2634,0
9/30/2019 8:00,2740,2887,2908,2498,596.2160034
10/1/2019 8:00,2887,2864,3093,2832,0
10/2/2019 8:00,2866,2882,2896,2780,0
10/3/2019 8:00,2882,2860,2926,2741,0
10/4/2019 8:00,2860,2834,2881,2750,0
10/5/2019 8:00,2834,2813,2837,2709,0
10/6/2019 8:00,2813,2367,2828,2345,0
10/7/2019 8:00,2367,2622.5,2672,2307,0
10/8/2019 8:00,2625.5,2657,2765,2590,0
10/9/2019 8:00,2657,3108,3175,2654,0
10/10/2019 8:00,3108,3321,3391,3041,0
10/11/2019 8:00,3321,2970,3375,2881,0
10/12/2019 8:00,2970,3148,3197,2964,9.836799622
10/13/2019 8:00,3148,3282,3434,3120,0
10/14/2019 8:00,3282,3641,3648,3245,0
10/15/2019 8:00,3641,3595,3695,3477,0
10/16/2019 8:00,3595,3352,3604,3212,0
10/17/2019 8:00,3352,3526,3587,3269,0
10/18/2019 8:00,3526,3369,3594,3235,0
10/19/2019 8:00,3369,3369,3427,3294,0
10/20/2019 8:00,3372,3518,3519,3232,0
10/21/2019 8:00,3518,3610,3676,3464,1199.976196
10/22/2019 8:00,3607,3380,3610,3353,0
10/23/2019 8:00,3380,2953,3459,2780,1433.266235
10/24/2019 8:00,2953,2902,2988,2792,0
10/25/2019 8:00,2902,3755,3865,2870,0
10/26/2019 8:00,3755,3857,4236,3610,0
10/27/2019 8:00,3857,4282,4568,3704,0
10/28/2019 8:00,4282,4434,4932,4282,208.0982666
10/29/2019 8:00,4434,4549,4672,4355,119.4656906
10/30/2019 8:00,4549,4230,4557,3987,29.18263054
10/31/2019 8:00,4230,4529,4691,4045,0
11/1/2019 8:00,4529,4789,4819,4360,0
11/2/2019 8:00,4789,4972,5053,4663,199.5363464
11/3/2019 8:00,4972,4737,5033,4606,199.892395
11/4/2019 8:00,4737,4961,5041,4710,38330.33984
11/5/2019 8:00,4961,4940,5056,4783,0
11/6/2019 8:00,4940,5152,5225,4904,18.52268028
11/7/2019 8:00,5155,4966,5202,4786,8065.158203
11/8/2019 8:00,4966,4272,5047,3932,24069.02539
11/9/2019 8:00,4272,4391,4507,4224,2623.240479
11/10/2019 8:00,4391,4714,4772,4321,1221.584717
11/11/2019 8:00,4714,4469,4730,4140,10285.94434
11/12/2019 8:00,4469,4599,4613,4221,17994.64648
11/13/2019 8:00,4599,4743,4955,4530,6005.259277
11/14/2019 8:00,4743,4643,4836,4461,19709.4707
11/15/2019 8:00,4643,4002,4645,3872,25271.55664
11/16/2019 8:00,4002,3856,4074,3748,15382.66895
11/17/2019 8:00,3856,3797,3885,3609,10240.20605
11/18/2019 8:00,3797,3333,3820,3281,17191.9082
11/19/2019 8:00,3329,3044,3373,2867,26517.96875
11/20/2019 8:00,3046,2878,3154,2870,3027.842285
11/21/2019 8:00,2878,2488,2899,2289,15622.84375
11/22/2019 8:00,2488,1850,2560,1543,16576.44922
11/23/2019 8:00,1850,1939,1975.5,1636,12823.13184
11/24/2019 8:00,1939,1425.5,1952.5,1409,8380.55957
11/25/2019 8:00,1425.5,1530.5,1612,1156.5,15319.33691
11/26/2019 8:00,1530.5,1609.5,1727,1498,1524.341431
11/27/2019 8:00,1610.5,1745.5,1800.5,1424,947.7613525
11/28/2019 8:00,1745.5,1763,1920,1715.5,0
11/29/2019 8:00,1762,1881,1951.5,1752,93.98940277
11/30/2019 8:00,1881,1909,1967.5,1807.5,0
12/1/2019 8:00,1909,1945.5,2010,1770,639.1162109
12/2/2019 8:00,1945.5,2111.5,2141,1846.5,0
12/3/2019 8:00,2111.5,2103.5,2185.5,2011,332.8516541
12/4/2019 8:00,2103.5,1985.5,2216,1867.5,0
12/5/2019 8:00,1985.5,2001,2060.5,1926,65.73210144
12/6/2019 8:00,2001,2037,2066,1963,0
12/7/2019 8:00,2037,2075,2139,2024.5,0
12/8/2019 8:00,2075,2122.5,2140,1978.5,0
12/9/2019 8:00,2122.5,2048,2177,2027.5,0
12/10/2019 8:00,2048,1939,2053.5,1868,0
12/11/2019 8:00,1939,1891.5,1939,1826.5,0
12/12/2019 8:00,1891.5,1948.5,1970.5,1792,0
12/13/2019 8:00,1948.5,1971,1994.5,1935,0
12/14/2019 8:00,1971,1811.5,1972.5,1789,0
12/15/2019 8:00,1811.5,1855,1903,1760,0
12/16/2019 8:00,1855,1664.5,1859.5,1654,275.8005066
12/17/2019 8:00,1665.5,1383.5,1672,1324.5,0
12/18/2019 8:00,1383.5,1686.5,1749.5,1338.5,0
12/19/2019 8:00,1687.5,1595.5,1713.5,1526.5,0
12/20/2019 8:00,1595.5,1673,1727.5,1543.5,0
12/21/2019 8:00,1673,1679,1690,1610.5,0
12/22/2019 8:00,1679,1797,1799.5,1649,0
12/23/2019 8:00,1797,1659,1835.5,1629.5,0
12/24/2019 8:00,1659,1663.5,1704,1611.5,7.101449966
12/25/2019 8:00,1663.5,1640.5,1665.5,1592,0
12/26/2019 8:00,1640.5,1651.5,1733.5,1616,0
12/27/2019 8:00,1651.5,1655,1671,1615,0
12/28/2019 8:00,1655,1693,1716.5,1651.5,0
12/29/2019 8:00,1693,1760.5,1800,1664.5,7.570149899
12/30/2019 8:00,1760.5,1745,1819,1713.5,0
12/31/2019 8:00,1745,1673,1754.5,1657.5,0
1/1/2020 8:00,1673,1720.5,1733,1666,0
1/2/2020 8:00,1720.5,1604,1738.5,1599,0
1/3/2020 8:00,1604,1770,1785,1557.5,0
1/4/2020 8:00,1771,1809.5,1818.5,1743.5,0
1/5/2020 8:00,1810.5,1861,1926.5,1810.5,0
1/6/2020 8:00,1861,2118.5,2125.5,1849.5,0
1/7/2020 8:00,2118.5,2250,2270,2081.5,43.15000153
1/8/2020 8:00,2250,2134.5,2370.5,2084,0
1/9/2020 8:00,2134.5,2079,2149.5,2011.5,0
1/10/2020 8:00,2080,2238,2238.5,1969,0
1/11/2020 8:00,2238,2224,2342,2155,44349.13281
1/12/2020 8:00,2222.5,2213,2282.5,2179,43902.55469
1/13/2020 8:00,2219,2137.5,2226.5,2105.5,0
1/14/2020 8:00,2137.5,2559,2613,2137,0
1/15/2020 8:00,2559,2786,3036,2441,0
1/16/2020 8:00,2786,2537,2810,2388,49.34000015
1/17/2020 8:00,2538,2694,2798,2538,1390.599487
1/18/2020 8:00,2694,2510,2760,2505,4002.282959
1/19/2020 8:00,2510,2405,2812,2266,0
1/20/2020 8:00,2400,2381,2455,2295,0
1/21/2020 8:00,2381,2540,2587,2361,6413.26123
1/22/2020 8:00,2540,2455,2614,2417,0
1/23/2020 8:00,2455,2233,2457,2087,0
1/24/2020 8:00,2233,2306,2358,2150,9.786000252
1/25/2020 8:00,2302.5,2194,2310,2168.5,0
1/26/2020 8:00,2194,2311,2319.5,2173,0
1/27/2020 8:00,2311,2412,2474.5,2303,0
1/28/2020 8:00,2412,2571,2591,2394,0
1/29/2020 8:00,2571,2670,2790,2547,0
1/30/2020 8:00,2670,2841,2870,2576,0
1/31/2020 8:00,2841,2731,2939,2590,201.5856018
2/1/2020 8:00,2731,2813,2875,2715,198.4528046
2/2/2020 8:00,2816,2883,2978,2662,1.755599976
2/3/2020 8:00,2883,2905,3040,2848,0
2/4/2020 8:00,2905,2850,2946,2715,201.5467987
2/5/2020 8:00,2850,3278,3357,2837,127.4522018
2/6/2020 8:00,3278,3790,3868,3187,5829.032227
2/7/2020 8:00,3790,4193,4327,3748,4243.858887
2/8/2020 8:00,4193,4054,4235,3702,13686.81348
2/9/2020 8:00,4054,4679,4682,4030,28054.63086
2/10/2020 8:00,4656,7277.5,7502.5,4465,124370.8594
2/11/2020 8:00,7277.5,7530,7862.5,6470,30088.10547
2/12/2020 8:00,7530,8315,8557.5,7105,6844.794922
2/13/2020 8:00,8315,7797.5,9052.5,7017.5,1004.089417
2/14/2020 8:00,7797.5,9062.5,9085,7660,358.8279419
2/15/2020 8:00,9062.5,8740,10450,7812.5,43665.38672
2/16/2020 8:00,8740,8625,10607.5,7137.5,102304.9375
2/17/2020 8:00,8572.5,8237.5,8732.5,6552.5,68417.52344
2/18/2020 8:00,8237.5,8735,8887.5,7455,7500.095703
2/19/2020 8:00,8742.5,8067.5,10087.5,7837.5,29212.57227
2/20/2020 8:00,8067.5,7705,8440,7142.5,14661.75293
2/21/2020 8:00,7702.5,7792.5,8340,7570,1760.864136
2/22/2020 8:00,7787.5,6067.5,7877.5,5847.5,362.8919983
2/23/2020 8:00,6067.5,7472.5,7512.5,6050,13266.29004
2/24/2020 8:00,7472.5,6500,7577.5,5972.5,5306.736328
2/25/2020 8:00,6500,4975,6515,4847.5,21933.53711
2/26/2020 8:00,4975,4689,5036,3668,9801.078125
2/27/2020 8:00,4692,4687,4951,4029,516.2073364
2/28/2020 8:00,4687,5137,5409,4191,2559.89917
2/29/2020 8:00,5137,5382.5,6674,5131,3734.019531
3/1/2020 8:00,5382.5,4740,5682.5,4540,317.7413635
3/2/2020 8:00,4740,5325,5373,4629,1914.088623
3/3/2020 8:00,5325,4751,5325,4605,432.5647583
3/4/2020 8:00,4751,4720,4869,4594,57.41376114
3/5/2020 8:00,4720,4973,5294,4681,2443.561523
3/6/2020 8:00,4973,5113,5214,4832,795.2799072
3/7/2020 8:00,5113,4663,5177,4607,363.6108093
3/8/2020 8:00,4663,3323,4663,3272,9023.402344
3/9/2020 8:00,3323,3068,3520,2600,9016.25293
3/10/2020 8:00,3066,3044,3255,2853,1996.543945
3/11/2020 8:00,3046,2953,3118,2601,1757.666504
3/12/2020 8:00,2951,717,2978,646,6395.74707
3/13/2020 8:00,717,882.5,902.0999756,354.2999878,3949.790771
3/14/2020 8:00,882.5,808.5,942.5,786.25,298.3715515
3/15/2020 8:00,808.5,1020.25,1110,792.25,832.1171265
3/16/2020 8:00,1021.25,775.75,1021.25,610.75,384.5888367
