time,open,close,high,low,volume
11/10/2019 8:00,6136,5980,6164.5,5951,102.5578995
11/11/2019 8:00,5980,6079,6219,5968.5,0
11/12/2019 8:00,6079,6016,6189,6010,0
11/13/2019 8:00,6016,5950,6051,5858.5,0
11/14/2019 8:00,5950,5989.5,6071.5,5908.5,0
11/15/2019 8:00,5989.5,6263.5,6321.5,5988.5,0
11/16/2019 8:00,6263.5,6328.5,6390,6209.5,0
11/17/2019 8:00,6326.5,6362,6467.5,6307.5,0
11/18/2019 8:00,6359.5,6611.5,6631,6341,0
11/19/2019 8:00,6613.5,6807.5,6924.5,6577.5,2524.793701
11/20/2019 8:00,6807.5,6921,6933.5,6723.5,0
11/21/2019 8:00,6921,7233,7402.5,6897,0
11/22/2019 8:00,7233,7777,8168,7136,0
11/23/2019 8:00,7777,7656,8081,7593,0
11/24/2019 8:00,7655,8324,8336,7624,0
11/25/2019 8:00,8323,8110,8842,7905,0
11/26/2019 8:00,8110,7956,8166,7747,0
11/27/2019 8:00,7956,7729,8274,7633,0
11/28/2019 8:00,7726,7698,7766,7463,0
11/29/2019 8:00,7700,7523,7714,7415,0
11/30/2019 8:00,7523,7481,7630,7404,0
12/1/2019 8:00,7481,7431,7669,7345,0
12/2/2019 8:00,7431,7217,7567,7180,0
12/3/2019 8:00,7217,7233,7336,7118,0
12/4/2019 8:00,7233,7365,7499,7082,0
12/5/2019 8:00,7363,7330,7434,7244,0
12/6/2019 8:00,7330,7283,7365,7242,0
12/7/2019 8:00,7283,7234,7290,7154,0
12/8/2019 8:00,7234,7177,7342,7154,0
12/9/2019 8:00,7177,7257,7274,7098,0
12/10/2019 8:00,7257,7386,7476,7174,0
12/11/2019 8:00,7386,7449,7532,7379,0
12/12/2019 8:00,7449,7361,7571,7334,0
12/13/2019 8:00,7361,7331,7385,7298,0
12/14/2019 8:00,7331,7536,7564,7321,0
12/15/2019 8:00,7536,7471,7604,7407,0
12/16/2019 8:00,7471,7723,7737,7455,0
12/17/2019 8:00,7723,8156,8236,7710,0
