time,open,close,high,low,volume
4/13/2020 8:00,6239.75,6306.25,6332.25,6200.875,164.2791748
4/14/2020 8:00,6306.25,6317.5,6367.5,6278.5,0
4/15/2020 8:00,6317.5,6207,6347,6202.25,0
4/16/2020 8:00,6207,6434,6479.25,6138.5,0
4/17/2020 8:00,6434,6403,6451.5,6371,5.634640217
4/18/2020 8:00,6402,6497,6516.5,6398,6488.5
4/19/2020 8:00,6497,6444,6503.5,6415.5,0
4/20/2020 8:00,6444,6310.75,6488.5,6274.5,2029.550659
4/21/2020 8:00,6310.75,6316.5,6364.75,6279.25,2093.868408
4/22/2020 8:00,6316.5,6444.5,6458,6304.25,0
4/23/2020 8:00,6444.5,6611.5,6739.5,6394,30.83811569
4/24/2020 8:00,6611.5,6615,6660.5,6571.5,0.529320002
4/25/2020 8:00,6615,6623,6699,6585.5,0
4/26/2020 8:00,6623,6693.5,6695,6610,0
4/27/2020 8:00,6693.5,6728,6731,6622.5,0
4/28/2020 8:00,6728,6711.5,6730.5,6616.5,0
4/29/2020 8:00,6711.5,7158.5,7237.5,6694.5,0
4/30/2020 8:00,7158.5,7098.5,7435,7011,36443.77344
5/1/2020 8:00,7098.5,7169,7267,7095,199.9450226
5/2/2020 8:00,7169,7225.5,7242,7144,719.8560181
5/3/2020 8:00,7225.5,7193.5,7313,7128.5,198.9523468
5/4/2020 8:00,7193.5,7182.5,7216,7045.5,21475.25195
5/5/2020 8:00,7182.5,7237.5,7276.5,7143.5,200.180481
5/6/2020 8:00,7237.5,7288,7392.5,7177.5,0
5/7/2020 8:00,7288,7629.5,7658,7237.5,1.963389993
5/8/2020 8:00,7629.5,7557.5,7644.5,7529,106.2505722
5/9/2020 8:00,7557.5,7451,7591,7444,0
5/10/2020 8:00,7451,7129,7462,6884,0
5/11/2020 8:00,7129,7061,7306,6906,0
5/12/2020 8:00,7061,7166.5,7233.5,7046.5,0
5/13/2020 8:00,7166.5,7368,7406,7159.5,0
5/14/2020 8:00,7368,7550.5,7609.5,7346,141.917038
5/15/2020 8:00,7550.5,7367.5,7569.5,7301.5,0
5/16/2020 8:00,7367.5,7392.5,7469.5,7331,141.8426666
5/17/2020 8:00,7392.5,7507,7587,7370.5,41.41643524
5/18/2020 8:00,7507,7525.5,7608,7426,0
5/19/2020 8:00,7525.5,7545.5,7587.5,7423,175.8370056
5/20/2020 8:00,7545.5,7438,7560.5,7357,0
5/21/2020 8:00,7438,7259.5,7487.5,7159,0
5/22/2020 8:00,7259.5,7301.5,7341.5,7211,0
5/23/2020 8:00,7301.5,7305,7377,7270.5,0
5/24/2020 8:00,7305,7118,7356.5,7107,0
5/25/2020 8:00,7118,7195,7256.5,7088,0
5/26/2020 8:00,7195,7171.5,7295.5,7112,0
5/27/2020 8:00,7171.5,7322,7345,7160.5,0
5/28/2020 8:00,7322,7472,7493.5,7282.5,0
5/29/2020 8:00,7472,7408,7482.5,7378.5,0
5/30/2020 8:00,7408,7518.5,7542,7371,0
5/31/2020 8:00,7518.5,7416,7519,7395,984.2431641
6/1/2020 8:00,7416,7720,7795,7403.5,0
6/2/2020 8:00,7720,7450,7728.5,7359.5,0
6/3/2020 8:00,7450,7497,7505.5,7402,0
6/4/2020 8:00,7497,7543.5,7580,7419,0
6/5/2020 8:00,7543.5,7474.5,7567.5,7453,0
6/6/2020 8:00,7474.5,7493,7519.5,7448,0
6/7/2020 8:00,7493,7526.5,7549.5,7393.5,0
6/8/2020 8:00,7526.5,7537.5,7562,7469.5,0
6/9/2020 8:00,7537.5,7533,7575.5,7453,0
6/10/2020 8:00,7533,7576.5,7621.5,7467.5,0
6/11/2020 8:00,7576.5,7344,7607,7260.5,0
6/12/2020 8:00,7344,7423.5,7453,7328.5,0
6/13/2020 8:00,7423.5,7428.5,7438,7384,0
6/14/2020 8:00,7428.5,7375,7431.5,7339,0
6/15/2020 8:00,7375,7411.5,7443.5,7202.5,0
6/16/2020 8:00,7411.5,7449,7467.5,7393.5,0
6/17/2020 8:00,7449,7416,7455.5,7339,2.439524889
6/18/2020 8:00,7416,7391.5,7425,7350.5,0
6/19/2020 8:00,7391.5,7360.5,7404.5,7335.5,0
6/20/2020 8:00,7360.5,7383.5,7392.5,7309.5,0
6/21/2020 8:00,7383.5,7355.5,7401,7350.5,0
6/22/2020 8:00,7355.5,7507.5,7550,7348,0
6/23/2020 8:00,7507.5,7478,7520,7448.5,0
6/24/2020 8:00,7478,7355.5,7496,7320,0
6/25/2020 8:00,7353,7335,7392.5,7235.5,0
6/26/2020 8:00,7335,7301,7392.5,7252,0
6/27/2020 8:00,7301,7240.5,7314.5,7166.5,0.948284984
6/28/2020 8:00,7240.5,7280.5,7308.5,7214.5,4.987665176
6/29/2020 8:00,7280.5,7309,7328.5,7228.5,0
6/30/2020 8:00,7309,7290.5,7315.5,7228.5,0
7/1/2020 8:00,7290.5,7330.5,7355,7228.5,0
7/2/2020 8:00,7330.5,7272,7341.5,7224,0
7/3/2020 8:00,7272,7266,7287,7228.5,31.33061981
7/4/2020 8:00,7266,7295.5,7315,7261,32.57180023
7/5/2020 8:00,7293,7270,7297.5,7209,714.7243652
7/6/2020 8:00,7270,7377.5,7388.5,7246.5,294.5663452
7/7/2020 8:00,7377.5,7348,7389.5,7327.5,0
7/8/2020 8:00,7348,7412.5,7427.5,7340,0
7/9/2020 8:00,7412.5,7339.5,7414,7315.5,0
7/10/2020 8:00,7339.5,7360.5,7366,7294,0
7/11/2020 8:00,7360.5,7338.5,7366,7318,0
7/12/2020 8:00,7338.5,7366,7376.5,7309,0
7/13/2020 8:00,7366,7332,7372.5,7322,901.6141357
7/14/2020 8:00,7332,7336,7345.5,7298.5,0
7/15/2020 8:00,7336,7318.5,7343.5,7305.5,0
7/16/2020 8:00,7318.5,7295,7332,7257.5,0
7/17/2020 8:00,7295,7303.5,7332,7276,0
7/18/2020 8:00,7303.5,7312.5,7332,7290.5,0
7/19/2020 8:00,7312.5,7329,7332,7284,0
7/20/2020 8:00,7329,7306.5,7332,7296,0
7/21/2020 8:00,7306.5,7390.5,7410.5,7303.5,0
