time,open,close,high,low,volume
8/20/2019 8:00,6292.5,6072.5,6300,5930,39506.43359
8/21/2019 8:00,6072.5,6512.5,7040,5962.5,55160.24609
8/22/2019 8:00,6512.5,6292.5,6897.5,6102.5,24595.55664
8/23/2019 8:00,6292.5,6337.5,6522.5,6100,37231.63281
8/24/2019 8:00,6337.5,6475,6687.5,6315,2540.892334
8/25/2019 8:00,6475,6630,6952.5,6465,3833.77124
8/26/2019 8:00,6630,7255,7647.5,6227.5,5625.078613
8/27/2019 8:00,7255,7350,7865,7040,12960.75
8/28/2019 8:00,7350,9500,9500,7185,5752.291016
8/29/2019 8:00,9500,11382.5,11820,9500,85198.6875
8/30/2019 8:00,11382.5,11282.5,12217.5,10667.5,7328.839844
8/31/2019 8:00,11275,11205,11672.5,11110,69843.26563
9/1/2019 8:00,11205,11765,12757.5,10520,25505.37695
9/2/2019 8:00,11760,9845,11905,9725,40366.91406
9/3/2019 8:00,9845,8972.5,10100,8482.5,6066.350098
9/4/2019 8:00,8972.5,9060,9495,8697.5,7165.630859
9/5/2019 8:00,9060,9707.5,10240,9050,11807.27832
9/6/2019 8:00,9707.5,9957.5,10030,8922.5,5519.920898
9/7/2019 8:00,9957.5,9272.5,9995,8950,5061.495117
9/8/2019 8:00,9272.5,9110,9562.5,8890,0
9/9/2019 8:00,9110,9232.5,9610,8932.5,7648.989746
9/10/2019 8:00,9232.5,8655,9362.5,8037.5,15111.79492
9/11/2019 8:00,8655,8410,9225,6992.5,64973.01563
9/12/2019 8:00,8410,8457.5,8872.5,8275,11443.1875
9/13/2019 8:00,8457.5,8775,8962.5,8377.5,8755.575195
9/14/2019 8:00,8775,8390,9007.5,8347.5,0
9/15/2019 8:00,8390,8657.5,8832.5,8390,0
9/16/2019 8:00,8657.5,8735,9170,8522.5,94.57402802
9/17/2019 8:00,8737.5,8460,8847.5,7875,7341.047363
9/18/2019 8:00,8460,8117.5,8470,7515,1574.361694
9/19/2019 8:00,8117.5,8242.5,8907.5,8000,10890.50684
9/20/2019 8:00,8242.5,8450,8595,8137.5,0
9/21/2019 8:00,8450,8595,8640,8217.5,0
9/22/2019 8:00,8595,8925,9085,8595,0
9/23/2019 8:00,8917.5,10557.5,10737.5,8887.5,0
9/24/2019 8:00,10572.5,15715,17565,9885,7442.251465
9/25/2019 8:00,15720,15435,17365,13585,724.5620728
9/26/2019 8:00,15435,18370,20060,15050,11420.94336
9/27/2019 8:00,18340,15540,19295,15130,0
9/28/2019 8:00,15540,15880,16950,15215,0
9/29/2019 8:00,15880,17180,18230,15800,0
9/30/2019 8:00,17180,14995,18770,14510,5711.140625
10/1/2019 8:00,14995,15700,15920,13600,16.26935005
10/2/2019 8:00,15700,14940,16185,14840,0
10/3/2019 8:00,14940,15305,16215,14780,2589.479004
10/4/2019 8:00,15305,15145,15995,14950,0
10/5/2019 8:00,15145,15400,15980,15145,2545.95166
10/6/2019 8:00,15400,17315,17485,15280,6.919000149
10/7/2019 8:00,17315,14785,17570,14190,46.34540176
10/8/2019 8:00,14785,14445,14885,12750,0
10/9/2019 8:00,14445,13400,14535,12805,0
10/10/2019 8:00,13400,11130,13590,10380,507.1177979
10/11/2019 8:00,11130,11995,12350,10425,0
10/12/2019 8:00,11995,11235,12040,11045,0
10/13/2019 8:00,11235,11355,11680,10390,0
10/14/2019 8:00,11355,8315,11455,8287.5,8349.720703
10/15/2019 8:00,8315,8902.5,9525,8315,10239
10/16/2019 8:00,8902.5,10045,10577.5,8895,8042.771484
10/17/2019 8:00,10045,9610,10500,9500,0
10/18/2019 8:00,9610,9885,10302.5,8905,170.6323547
10/19/2019 8:00,9885,10297.5,10297.5,9827.5,0
10/20/2019 8:00,10225,10095,11012.5,9702.5,5984.187988
10/21/2019 8:00,10095,10232.5,10447.5,9905,1019.943909
10/22/2019 8:00,10232.5,10625,10850,9940,0
10/23/2019 8:00,10625,12050,13010,10480,1573.664307
10/24/2019 8:00,12060,12210,12795,11835,2006.774048
10/25/2019 8:00,12210,7635,12555,7635,175.4185028
10/26/2019 8:00,7635,8175,8550,6882.5,0
10/27/2019 8:00,8175,7470,8960,6295,0
10/28/2019 8:00,7470,6002.5,7470,5437.5,13.11660004
10/29/2019 8:00,5995,5977.5,6360,5800,0
10/30/2019 8:00,5977.5,6245,6812.5,5900,0
10/31/2019 8:00,6245,5292,6307.5,4958,11.58300018
11/1/2019 8:00,5292,5172.5,5467.5,5122.5,0
11/2/2019 8:00,5172.5,5296,5460,5144,0
11/3/2019 8:00,5296,5459,5644,5104,0
11/4/2019 8:00,5459,5370,5610,5235,0
11/5/2019 8:00,5370,5430,5622.5,5295,0
11/6/2019 8:00,5425,5044,5487.5,4675,769.3104248
11/7/2019 8:00,5044,5194,5281,4870,0
11/8/2019 8:00,5194,5558,6094,5040,0
11/9/2019 8:00,5558,5595,5807.5,5445,0
11/10/2019 8:00,5595,5385,5772.5,5215,0
11/11/2019 8:00,5385,5670,5927.5,5302.5,0
11/12/2019 8:00,5670,5702.5,5987.5,5592.5,0
11/13/2019 8:00,5702.5,5550,5795,5437.5,0
11/14/2019 8:00,5550,5885,5927.5,5370,0
11/15/2019 8:00,5892.5,6445,6837.5,5717.5,0
11/16/2019 8:00,6445,6485,6615,6262.5,0
11/17/2019 8:00,6485,6620,6937.5,6397.5,0
11/18/2019 8:00,6620,7317.5,7472.5,6620,0
11/19/2019 8:00,7317.5,7885,8467.5,7127.5,0
11/20/2019 8:00,7885,8310,8415,7492.5,0
11/21/2019 8:00,8310,10141.25,10565,8088.75,0
11/22/2019 8:00,10141.25,12930,14597.5,9425,709.0496216
11/23/2019 8:00,12930,13390,15385,12300,0
11/24/2019 8:00,13330,18740,18905,12930,773.6495972
