time,open,close,high,low,volume
6/12/2020 8:00,6687.5,4703,7226.25,4108,74753.9375
6/13/2020 8:00,4703,5400,5853,4638,59791.38672
6/14/2020 8:00,5400,5887.5,6595,4915,42242.98438
6/15/2020 8:00,5887.5,6015,7630,5280,50696.81641
6/16/2020 8:00,6015,4683,6287.5,4590,33761.29688
6/17/2020 8:00,4683,5372.5,5700,4683,19446.83984
6/18/2020 8:00,5372.5,5892.5,6060,5372.5,9181.270508
6/19/2020 8:00,5892.5,5215,6000,4900,6702.203613
6/20/2020 8:00,5215,4007,5215,3840,54194.95313
6/21/2020 8:00,4007,4546,4577,3949,24873.45508
6/22/2020 8:00,4546,4355,4618,4227,4088.907959
6/23/2020 8:00,4355,4735,5059,4198,8052.024414
6/24/2020 8:00,4735,5126,5382,4554,3890.895996
6/25/2020 8:00,5126,5402.5,6011,5090,1070.984253
6/26/2020 8:00,5402.5,5242.5,5487.5,4817.5,352.3042603
6/27/2020 8:00,5242.5,6642.5,7342.5,4985,1223.060791
6/28/2020 8:00,6642.5,6045,6852.5,5502.5,5533.821777
6/29/2020 8:00,6045,4728,6272.5,4540,9001.764648
6/30/2020 8:00,4728,4346,4865,4064,11526.80176
7/1/2020 8:00,4346,3000,4413,2940,21765.53711
7/2/2020 8:00,3000,1886,3000,1779,120418.8984
7/3/2020 8:00,1886,980.25,1899.5,924.5,307652.0938
7/4/2020 8:00,980.25,1064,1195.75,946,186103.8906
7/5/2020 8:00,1064,1178,1256,886.5,64791.04688
7/6/2020 8:00,1178,963.5,1207,827.5,50511.34375
7/7/2020 8:00,963.5,1113.5,1163.5,931.75,55202.38672
7/8/2020 8:00,1113.5,1123,1162.5,944.5,13601.9668
7/9/2020 8:00,1123,948.5,1137,835,65058.71875
7/10/2020 8:00,948.5,1042.25,1085,945.5,2260.456543
7/11/2020 8:00,1042.25,963.75,1075.5,914.25,2002.622681
7/12/2020 8:00,963.75,1012.5,1057.75,943.75,989.8082886
7/13/2020 8:00,1012.5,1230,1334.75,909.25,5063.033691
7/14/2020 8:00,1230,1054.5,1327,1054.5,3300.079102
7/15/2020 8:00,1054.5,1053,1077.25,896,1121.553467
7/16/2020 8:00,1053,1068.5,1233.5,983.5,5022.484863
7/17/2020 8:00,1068.5,964,1116,962.75,399.3254089
7/18/2020 8:00,964,652.25,964,575,29325.85352
7/19/2020 8:00,652.25,777.25,789.25,645,8831.058594
7/20/2020 8:00,777.25,862.75,912,668.5,8389.445313
7/21/2020 8:00,862.75,826.25,907,768.25,2011.243164
7/22/2020 8:00,826.25,850,870.25,794.75,404.5631104
7/23/2020 8:00,850,932,953,823.75,1549.227905
7/24/2020 8:00,932,963.75,1015.5,887.5,665.3115234
7/25/2020 8:00,963.75,1028.5,1031.5,837.5,333.2820129
7/26/2020 8:00,1028.5,1117.5,1235.75,943,991.8010254
7/27/2020 8:00,1117.5,1436.5,1643.5,1070,2454.555908
7/28/2020 8:00,1436.5,1104,1436.5,1053,21.48159981
7/29/2020 8:00,1104,1213.5,1282,1072.5,0
7/30/2020 8:00,1213.5,1215,1245,1044.5,61.96500015
7/31/2020 8:00,1215,1112.5,1215,1070,55.99000168
8/1/2020 8:00,1112.5,1100,1156,1007.5,0
8/2/2020 8:00,1100,1346.5,1532.5,1085.5,188.7391052
8/3/2020 8:00,1346.5,1327,1363.5,1228,633.3742676
8/4/2020 8:00,1327,1121,1351,1082.5,384.256012
8/5/2020 8:00,1121,987,1121,857.25,609.7832642
8/6/2020 8:00,987,808.25,1000,765,327.06427
8/7/2020 8:00,808.25,925.5,1059,782.75,237.3129272
8/8/2020 8:00,925.5,694,951,620.5,24.91612434
8/9/2020 8:00,694,561.5,733.75,526.75,416.85495
8/10/2020 8:00,561.5,610.25,722.5,546.5,1132.787109
8/11/2020 8:00,610.25,735,847,602,491.7419434
8/12/2020 8:00,735,640,814.5,585.25,389.1827393
8/13/2020 8:00,640,519.5,704.5,369.7999878,12198.39355
8/14/2020 8:00,519.5,375.1000061,550,292.3999939,6748.316895
8/15/2020 8:00,375.1000061,398.1000061,426.7000122,317.2000122,7329.621582
8/16/2020 8:00,398.1000061,390.7000122,428.7000122,350.3999939,119.433342
8/17/2020 8:00,390.7000122,444.7999878,458.1000061,350.7000122,0
8/18/2020 8:00,444.7999878,534.9000244,556.2000122,411.2999878,94.93672943
8/19/2020 8:00,534.9000244,616,694.5,482.25,38.45069885
8/20/2020 8:00,616,466.8999939,653.5,403.2000122,1930.995239
8/21/2020 8:00,466.8999939,481.7000122,491.6000061,325.7999878,2622.470459
8/22/2020 8:00,481.7000122,420.3999939,559.75,399,3433.16626
8/23/2020 8:00,420.3999939,425.7000122,461.7999878,382.8999939,2554.9375
8/24/2020 8:00,425.7000122,433.2000122,448.8999939,410.8999939,3999.962646
8/25/2020 8:00,433.2000122,517,555.7999878,420.7999878,52704.86328
8/26/2020 8:00,517,485.7000122,536.2000122,466.2999878,191.4753265
8/27/2020 8:00,485.7000122,538.75,585.7000122,470.8999939,36.11999893
