time,open,close,high,low,volume
8/6/2019 8:00,1341.75,1249,1354.5,1233,0.135450006
8/7/2019 8:00,1249,1286,1304.5,1249,0
8/8/2019 8:00,1286,1229.5,1299,1213,0
8/9/2019 8:00,1229.5,1151.5,1237,1144.5,0
8/10/2019 8:00,1151.5,1152.5,1175,1117.5,0
8/11/2019 8:00,1152.5,1368.5,1407.5,1151,0
8/12/2019 8:00,1368.5,1227.5,1369,1213.5,195.8052979
8/13/2019 8:00,1227.5,1119.5,1228.5,1043,0
8/14/2019 8:00,1119.5,1157.5,1296,1103.5,0
8/15/2019 8:00,1157.5,1095,1174.5,1076,22.93869972
8/16/2019 8:00,1095,945,1098,908,0
8/17/2019 8:00,945,990,1213.5,924,0
8/18/2019 8:00,990,1244.5,1247.5,978,0
8/19/2019 8:00,1244.5,1264,1267.5,1096.5,0
8/20/2019 8:00,1264,1208,1313,1155,0
8/21/2019 8:00,1208,907,1208,856,29.56780052
8/22/2019 8:00,907,937.5,943.75,886.25,0
8/23/2019 8:00,937.5,888.5,938,869.75,674.9550171
8/24/2019 8:00,888.5,825.25,897.75,820,1756.624146
8/25/2019 8:00,825.25,825.5,876.75,821,0.083825
8/26/2019 8:00,825.5,842.5,894.5,794.5,0.088200003
8/27/2019 8:00,842.5,843.25,859.5,829.75,0
8/28/2019 8:00,843.25,764.5,844.75,753.25,1607.148193
8/29/2019 8:00,764.5,725,770.5,722,19.90749931
8/30/2019 8:00,725,724,732.75,713.75,0
8/31/2019 8:00,724,703.5,725.25,683.75,619.8439331
9/1/2019 8:00,703.5,733.25,733.5,675,630.3864746
9/2/2019 8:00,733.25,712.25,734.25,661.25,1321.095947
9/3/2019 8:00,712.25,678.25,714,667,677.4346924
9/4/2019 8:00,678.25,632.75,679.75,632.75,9.944999695
9/5/2019 8:00,632.75,575,645.25,573,29.90749931
9/6/2019 8:00,575,550,577.5,548.5,9.954999924
9/7/2019 8:00,550,552.75,559.25,549.75,0
9/8/2019 8:00,552.75,557.5,567.5,550,0
9/9/2019 8:00,557.75,529.5,559.5,527.25,3207.040283
9/10/2019 8:00,529.5,527,537.75,521.5,6.86864996
9/11/2019 8:00,527,537.25,539.5,524.25,293.4819641
9/12/2019 8:00,537.25,541.5,547,534,0
9/13/2019 8:00,541.5,520,547,516,2280.400146
9/14/2019 8:00,520,518.75,528.25,512,193.7453003
9/15/2019 8:00,518.75,533.5,537.5,515.75,0
9/16/2019 8:00,533.5,548.25,550.5,518.5,0
9/17/2019 8:00,548.25,582.25,592.5,544,499.9500122
9/18/2019 8:00,582.25,565.75,593,564.5,0
9/19/2019 8:00,565.75,546.75,565.75,543.25,0
9/20/2019 8:00,546.75,533,550,528,0
9/21/2019 8:00,533,529,538,528,0
9/22/2019 8:00,529,527.25,537.25,524.25,0
9/23/2019 8:00,527.25,498.5,528.7999878,495.1000061,0
9/24/2019 8:00,498.5,478,511.8999939,455.7999878,779.142395
9/25/2019 8:00,478,467.2999878,486.1000061,463,429.7752075
9/26/2019 8:00,467.2999878,462.5,472.7000122,457.2000122,0
9/27/2019 8:00,462.5,464,468.7999878,453.1000061,0
9/28/2019 8:00,464,465.7999878,471.2999878,459.6000061,0
9/29/2019 8:00,465.7999878,449.6000061,468.2999878,448,0
9/30/2019 8:00,449.6000061,441.3999939,450.6000061,439.5,249.9262238
10/1/2019 8:00,441.3999939,436.5,443.5,435.1000061,197.5162506
10/2/2019 8:00,436.5,436.5,450.3999939,434.2000122,0
10/3/2019 8:00,436.5,433.8999939,436.5,428.1000061,49.98149872
10/4/2019 8:00,433.8999939,428,435,425.6000061,4.964799881
10/5/2019 8:00,428,423.5,428,418.7999878,0
10/6/2019 8:00,423.5,326.7999878,424.2999878,323.2999878,4523.308105
10/7/2019 8:00,326.7999878,317.8999939,329.1000061,308.1000061,0
10/8/2019 8:00,317.8999939,320.2000122,320.7999878,308.6000061,144.8309937
10/9/2019 8:00,320.2000122,326.2999878,362.1000061,300.7999878,142.7442017
10/10/2019 8:00,326.2999878,367.7000122,368.3999939,322,0
10/11/2019 8:00,367.7000122,351.5,367.7000122,326.2999878,4260.181641
10/12/2019 8:00,351.5,346.3999939,353.1000061,343.7000122,0
10/13/2019 8:00,346.3999939,345,349.7999878,334.8999939,0
10/14/2019 8:00,345,327.7000122,346.1000061,314.2000122,0
10/15/2019 8:00,327.7000122,340.7999878,347.3999939,326,0
10/16/2019 8:00,340.7999878,336.2000122,346.2000122,335.2000122,0
10/17/2019 8:00,336.2000122,365.1000061,367,329.7999878,0
10/18/2019 8:00,365.1000061,349.5,366.1000061,342.7999878,0
10/19/2019 8:00,349.5,359.1000061,361.5,342.7999878,0
10/20/2019 8:00,359.1000061,366.8999939,367.6000061,352.1000061,0
10/21/2019 8:00,366.8999939,352.7999878,369.7000122,350,0
10/22/2019 8:00,352.5,327.2000122,354.5,319.3999939,0
10/23/2019 8:00,327.2000122,303.3999939,330.7000122,290.7000122,4.998000145
10/24/2019 8:00,303.3999939,294,304.6000061,288,0
10/25/2019 8:00,294,317,321.1000061,290.2000122,1036.21875
10/26/2019 8:00,317,337.2999878,344,314.2999878,0
10/27/2019 8:00,337.2999878,334.7999878,344.5,328.1000061,0
10/28/2019 8:00,334.7999878,301.8999939,342.2000122,299.5,0
10/29/2019 8:00,301.8999939,294.7999878,303.1000061,285.3999939,0
10/30/2019 8:00,294.7999878,293.2999878,299.5,286.8999939,0
10/31/2019 8:00,293.2999878,330.2999878,333.2999878,290.1000061,515.1461792
11/1/2019 8:00,330.2999878,332.6000061,333.2000122,315.7999878,0
11/2/2019 8:00,332.6000061,340.6000061,345.3999939,330.3999939,798.0258179
11/3/2019 8:00,340.6000061,346.2999878,349.1000061,340.6000061,0
11/4/2019 8:00,346.2999878,346,361,341.6000061,131.3468018
11/5/2019 8:00,346,336.7999878,352.7999878,333.7000122,867.2514038
11/6/2019 8:00,336.7999878,321.6000061,343.7999878,320.7000122,0
11/7/2019 8:00,321.6000061,328.1000061,328.6000061,317.2000122,3120.568848
11/8/2019 8:00,328.1000061,325.7000122,329.5,315.6000061,3846.925049
11/9/2019 8:00,325.7000122,310,329.3999939,309.2000122,558.9934692
