time,open,close,high,low,volume
4/13/2020 8:00,6134.75,6211,6284.125,6117.5,0
4/14/2020 8:00,6211.875,6110.25,6279,6067.625,0
4/15/2020 8:00,6110.25,5995.375,6156.125,5979.625,0
4/16/2020 8:00,5995.375,6361,6437,5855.625,0
4/17/2020 8:00,6360.5,6333.25,6397.5,6266.25,0
4/18/2020 8:00,6333.25,6637,6680,6327.75,0
4/19/2020 8:00,6637,6473,6664,6407,199.9797974
4/20/2020 8:00,6473,6332,6646.5,6282.5,199.7035065
4/21/2020 8:00,6331,6359.5,6470,6296,0
4/22/2020 8:00,6359.5,6558,6564.5,6336.5,0
4/23/2020 8:00,6558,6626.5,6722,6498,0
4/24/2020 8:00,6626.5,6637,6739.5,6505,0
4/25/2020 8:00,6637,6638,6746.5,6505,0
4/26/2020 8:00,6638,6583.5,6664.5,6505,0
4/27/2020 8:00,6583.5,6509,6597.5,6370,0
4/28/2020 8:00,6509,6518,6595,6466.5,0
4/29/2020 8:00,6518,6734,6829,6505,0
4/30/2020 8:00,6734,6569.5,6805,6510,20468.52539
5/1/2020 8:00,6569.5,6613,6740,6567.5,0
5/2/2020 8:00,6613,6657,6706,6587,0
5/3/2020 8:00,6657,6562,6698.5,6499.5,0
5/4/2020 8:00,6562,6594.5,6663.5,6377,0
5/5/2020 8:00,6593.5,6532,6706,6508.5,0
5/6/2020 8:00,6532,6448.5,6680,6433.5,0
5/7/2020 8:00,6448.5,6602,6706,6426,0
5/8/2020 8:00,6602,6627.5,6682.5,6534.5,0
5/9/2020 8:00,6627.5,6798.5,6971,6596,0
5/10/2020 8:00,6798.5,6590.5,6801.5,6353.5,0
5/11/2020 8:00,6590.5,6434,6688,6188.5,0
5/12/2020 8:00,6434,6534,6706,6396.5,0
5/13/2020 8:00,6534,6594.5,6641.5,6481.5,0
5/14/2020 8:00,6594.5,6625.5,6678,6532,0
5/15/2020 8:00,6625.5,6497,6649.5,6464,0
5/16/2020 8:00,6497,6586,6612,6457.5,0
5/17/2020 8:00,6586,6599,6669,6577.5,0
5/18/2020 8:00,6599,6691.5,6740.5,6598.5,0
5/19/2020 8:00,6691.5,6726,6729.5,6590,0
5/20/2020 8:00,6726,6842.5,6883,6694,0
5/21/2020 8:00,6842.5,6631.5,6911,6556.5,0
5/22/2020 8:00,6631.5,6817,6889.5,6604.5,0
5/23/2020 8:00,6817,6706,6854.5,6702,0
5/24/2020 8:00,6706,6596.5,6786.5,6596.5,0
5/25/2020 8:00,6596.5,6654.5,6706,6581.5,0
5/26/2020 8:00,6654.5,6637.5,6706,6577.5,0
5/27/2020 8:00,6637.5,6648.5,6706,6606,0
5/28/2020 8:00,6648.5,6788,6804.5,6621.5,0
5/29/2020 8:00,6788,6738.5,6859.5,6706,0
5/30/2020 8:00,6738.5,6899.5,6902,6706,0
5/31/2020 8:00,6899.5,6854,6984.5,6747,0
6/1/2020 8:00,6854,7065,7137.5,6835.5,0
6/2/2020 8:00,7065,7057.5,7241.5,6821.5,0
6/3/2020 8:00,7057.5,7128.5,7158.5,6947.5,0
6/4/2020 8:00,7128.5,7071.5,7140.5,6959.5,0
6/5/2020 8:00,7071.5,7006.5,7115,6706,0
6/6/2020 8:00,7006.5,6994.5,7032,6915,0
6/7/2020 8:00,6994.5,6986.5,7034.5,6872.5,0
6/8/2020 8:00,6986.5,7090.5,7090.5,6706,0
6/9/2020 8:00,7090.5,7062,7115.5,7003,0
6/10/2020 8:00,7062,7043,7063.5,6935,0
6/11/2020 8:00,7043,6676,7064.5,6641.5,0
6/12/2020 8:00,6676,6773.5,6857.5,6598,0
6/13/2020 8:00,6773.5,6785.5,6799.5,6706.5,0
6/14/2020 8:00,6785.5,6662,6787.5,6645.5,0
6/15/2020 8:00,6662,6645.5,6702,6418.5,0
6/16/2020 8:00,6645.5,6739.5,6773,6618,0
6/17/2020 8:00,6739.5,6830,6852,6674.5,0
6/18/2020 8:00,6830,6810,6896,6770,0
6/19/2020 8:00,6810,6769.5,6843.5,6706,0
6/20/2020 8:00,6769.5,6836.5,6858.5,6706,0
6/21/2020 8:00,6836.5,6830.5,6856.5,6768.5,0
6/22/2020 8:00,6830.5,7079.5,7082.5,6706,0
6/23/2020 8:00,7079.5,7335.5,7443,7032,138.2741699
6/24/2020 8:00,7335.5,7255,7438,7111.5,3.934149981
6/25/2020 8:00,7255,7332.5,7350,7110,0
6/26/2020 8:00,7332.5,7232.5,7368.5,7176,0
6/27/2020 8:00,7232.5,7026.5,7239,6955,0
6/28/2020 8:00,7026.5,7153,7182.5,6969,0
6/29/2020 8:00,7153,7183.5,7208,7045.5,0
6/30/2020 8:00,7185,7152.5,7217.5,7134,0
7/1/2020 8:00,7152.5,7251,7271,7119.5,0
7/2/2020 8:00,7251,7320.5,7415.5,7171,0
7/3/2020 8:00,7320.5,7269,7392,7185.5,0
7/4/2020 8:00,7269,7334,7360.5,7217.5,0
7/5/2020 8:00,7334,7280,7346,7197.5,124.0218658
7/6/2020 8:00,7280,7752,7845,7271.5,0
7/7/2020 8:00,7752,8008,8129,7724,0.079175003
7/8/2020 8:00,8008,8550,8601,7920.5,0
7/9/2020 8:00,8550,8274.5,8550,8021,0
7/10/2020 8:00,8276,8310,8347.5,7989,0
7/11/2020 8:00,8310,8279.5,8393.5,8141,0
7/12/2020 8:00,8281,9118,9148,8276.5,0
7/13/2020 8:00,9118,9011.5,9818,8820.5,0
7/14/2020 8:00,9011.5,9610.5,9746.5,8573,0
7/15/2020 8:00,9610.5,9927,10072,9393,0
7/16/2020 8:00,9927,9768.5,10054,9522.5,0
7/17/2020 8:00,9768.5,9723,9931,9587.5,0
7/18/2020 8:00,9723,9558,9723,9310,0
7/19/2020 8:00,9558,9631,9696,9434,0
7/20/2020 8:00,9631,9130.5,9660.5,8857,0
