time,open,close,high,low,volume
8/6/2019 8:00,7568.75,8647.5,9125,7387.5,0.074675001
8/7/2019 8:00,8647.5,9322.5,10122.5,8245,9999.993164
8/8/2019 8:00,9322.5,9452.5,10087.5,8987.5,10027.36035
8/9/2019 8:00,9452.5,11335,11817.5,9407.5,97.06777191
8/10/2019 8:00,11335,10982.5,12207.5,10215,0
8/11/2019 8:00,10982.5,9107.5,11022.5,8635,0
8/12/2019 8:00,9107.5,10495,10605,9095,0
8/13/2019 8:00,10495,10980,11465,10305,0
8/14/2019 8:00,10980,14460,14780,10422.5,6.562600136
8/15/2019 8:00,14455,14080,17042.5,13460,1045.091919
8/16/2019 8:00,14080,14902.5,16235,14037.5,0
8/17/2019 8:00,14902.5,16127.5,16767.5,14507.5,0
8/18/2019 8:00,16127.5,13775,16940,12672.5,0
8/19/2019 8:00,13780,13325,14115,12407.5,0
8/20/2019 8:00,13325,14305,15185,13232.5,0
8/21/2019 8:00,14305,15500,17280,14265,46775.00781
8/22/2019 8:00,15500,15320,16850,14695,49.94219971
8/23/2019 8:00,15320,14070,15930,13760,2994.041504
8/24/2019 8:00,14070,15245,16175,13925,3314.038818
8/25/2019 8:00,15245,15975,16865,14280,3482.770264
8/26/2019 8:00,15985,15075,15985,13830,251.8309021
8/27/2019 8:00,15075,15625,16025,15025,3.164000034
8/28/2019 8:00,15625,19035,21075,15580,21774.1543
8/29/2019 8:00,19035,21800,22960,19005,9422.256836
8/30/2019 8:00,21800,21045,23115,19775,814.2346802
8/31/2019 8:00,21045,21025,22880,20020,8203.329102
9/1/2019 8:00,21040,19150,21255,18085,3221.834229
9/2/2019 8:00,19150,18295,20050,17435,5204.18457
9/3/2019 8:00,18295,16645,18555,15145,28538.91016
9/4/2019 8:00,16645,18070,18485,16545,34305.50391
9/5/2019 8:00,18070,19700,20450,17880,8526.006836
9/6/2019 8:00,19700,19965,20885,17105,5543.669434
9/7/2019 8:00,19965,16290,20255,14800,2766.60376
9/8/2019 8:00,16290,15265,16745,14525,1.709400058
9/9/2019 8:00,15265,15580,16795,14640,312.9519958
9/10/2019 8:00,15580,15050,15700,13560,93718.35938
9/11/2019 8:00,15050,15800,16745,14560,10531.17578
9/12/2019 8:00,15800,16100,16740,15675,29301.29102
9/13/2019 8:00,16100,16345,17370,15765,95.0515976
9/14/2019 8:00,16345,15265,16840,14805,933.0639038
9/15/2019 8:00,15265,15535,15785,14790,0
9/16/2019 8:00,15545,13900,16005,13235,921.4927368
9/17/2019 8:00,13900,13130,14155,11305,499.8989868
9/18/2019 8:00,13115,11125,13150,9920,204.7337952
9/19/2019 8:00,11120,11695,13380,11110,2371.609863
9/20/2019 8:00,11680,12405,13430,11470,0
9/21/2019 8:00,12405,13375,13950,12165,0
9/22/2019 8:00,13375,13995,14555,13310,499.9664917
9/23/2019 8:00,13980,16775,21255,12950,649.0008545
9/24/2019 8:00,16740,27840,28225,16285,48158.92969
9/25/2019 8:00,27800,23750,29860,22490,19629.18164
9/26/2019 8:00,23750,26540,32350,23620,22380.69922
9/27/2019 8:00,26540,25450,30180,24400,0
9/28/2019 8:00,25450,26130,28320,25030,0
9/29/2019 8:00,26130,28150,30430,25860,1722.144409
9/30/2019 8:00,28150,24700,30320,24550,6462.202148
10/1/2019 8:00,24700,25020,26140,22700,219.1573944
10/2/2019 8:00,25020,24090,25690,23660,0
10/3/2019 8:00,24090,23980,27200,23320,4212.222656
10/4/2019 8:00,23980,24180,25350,22890,4731.040039
10/5/2019 8:00,24180,23780,25140,22830,4877.545898
10/6/2019 8:00,23780,26620,27950,23660,0
10/7/2019 8:00,26620,21935,28210,20700,0
10/8/2019 8:00,21935,22610,23145,20870,0
10/9/2019 8:00,22610,19960,23045,19025,0
10/10/2019 8:00,19960,21660,22165,19755,0
10/11/2019 8:00,21660,23725,24330,20620,0
10/12/2019 8:00,23725,23950,24310,22900,0
10/13/2019 8:00,23950,22980,24250,21510,4266.660645
10/14/2019 8:00,22980,22510,23390,22150,0
10/15/2019 8:00,22510,25180,26570,21785,79.82160187
10/16/2019 8:00,25180,28080,29560,24130,2173.961426
10/17/2019 8:00,28080,24170,29480,23680,302.1701965
10/18/2019 8:00,24170,26270,27560,24080,159.8625031
10/19/2019 8:00,26270,25660,27140,25100,0
10/20/2019 8:00,25660,24100,27080,23230,0
10/21/2019 8:00,24100,24460,25660,23000,3383.32251
10/22/2019 8:00,24460,26080,26510,23800,12938.75293
10/23/2019 8:00,26080,32080,34950,26010,13361.01758
10/24/2019 8:00,32080,31480,33970,30330,2365.591309
10/25/2019 8:00,31480,19435,32320,18580,0
10/26/2019 8:00,19435,19585,30710,15915,0
10/27/2019 8:00,19585,16325,20690,14110,0
10/28/2019 8:00,16310,17985,18140,14165,11467.93359
10/29/2019 8:00,17985,16195,18000,15285,0
10/30/2019 8:00,16195,17695,18410,15135,0
10/31/2019 8:00,17695,17400,18430,16330,0
11/1/2019 8:00,17400,17525,18690,17010,0.176850006
11/2/2019 8:00,17525,17630,17935,16770,0
11/3/2019 8:00,17630,17670,18460,17230,0
11/4/2019 8:00,17670,14660,17970,14030,0
11/5/2019 8:00,14660,13540,15060,12765,0
11/6/2019 8:00,13525,12935,13885,12845,0
11/7/2019 8:00,12935,14725,15395,12800,0
11/8/2019 8:00,14735,15505,16665,13915,0
11/9/2019 8:00,15505,14170,15825,13945,0
11/10/2019 8:00,14170,12425,15050,10840,0
11/11/2019 8:00,12425,13585,14305,12020,0
11/12/2019 8:00,13585,13770,14895,13230,0
11/13/2019 8:00,13755,14135,14645,13410,0
11/14/2019 8:00,14135,15565,16020,14040,0
11/15/2019 8:00,15575,16705,17645,14280,0
11/16/2019 8:00,16705,16105,17075,15440,0
11/17/2019 8:00,16105,15250,16625,14705,0
11/18/2019 8:00,15250,17950,19090,15205,479.3999939
11/19/2019 8:00,17950,18595,19370,17480,0
11/20/2019 8:00,18595,18742.5,19110,17502.5,0
11/21/2019 8:00,18742.5,23290,25940,18422.5,572.6254272
11/22/2019 8:00,23300,27700,32505,21885,1985.703857
11/23/2019 8:00,27700,26280,29360,25630,0
11/24/2019 8:00,26260,32980,33630,26060,0
11/25/2019 8:00,33010,28760,36800,25590,0
11/26/2019 8:00,28680,26030,29150,25100,0
11/27/2019 8:00,26030,24720,29770,23150,0
11/28/2019 8:00,24700,26100,27000,24230,0
11/29/2019 8:00,26100,23085,26140,21855,0
11/30/2019 8:00,23085,25090,25955,22780,0
12/1/2019 8:00,25090,24740,27830,23320,0
12/2/2019 8:00,24740,27730,28940,24540,8221.638672
12/3/2019 8:00,27730,29070,29850,26570,11153.27539
12/4/2019 8:00,29070,29260,30950,25020,8243.317383
12/5/2019 8:00,29210,29030,31210,28330,0
12/6/2019 8:00,29030,27970,30430,27570,0
12/7/2019 8:00,27970,28260,28590,25980,0
12/8/2019 8:00,28260,27500,28820,26510,0
12/9/2019 8:00,27500,29620,30170,27060,0
12/10/2019 8:00,29620,30350,31280,29020,0
12/11/2019 8:00,30350,31420,31930,29780,99.94619751
12/12/2019 8:00,31420,31540,32930,30540,0
12/13/2019 8:00,31540,29770,31830,29600,0
12/14/2019 8:00,29770,31960,32100,29340,0
12/15/2019 8:00,31960,31480,32670,30620,199.9235687
12/16/2019 8:00,31500,39210,41250,31320,98.22000122
12/17/2019 8:00,39210,47940,49540,38480,220.6248016
12/18/2019 8:00,47940,33930,51630,31950,391.7987976
12/19/2019 8:00,33930,36540,37730,33190,855.6358643
12/20/2019 8:00,36540,35120,37430,34590,65.81771851
12/21/2019 8:00,35100,36260,36870,35080,481.7653809
12/22/2019 8:00,36260,30340,36330,29630,132.508728
12/23/2019 8:00,30290,32980,33680,28620,34.34759903
12/24/2019 8:00,32880,33600,35080,31690,0
12/25/2019 8:00,33600,34300,35820,33330,0
12/26/2019 8:00,34300,34620,35460,30400,0
12/27/2019 8:00,34620,32200,35730,31150,0
12/28/2019 8:00,32200,27480,32270,25800,0
12/29/2019 8:00,27460,26800,28730,25610,97.99199677
12/30/2019 8:00,26800,28340,29280,25080,0
12/31/2019 8:00,28340,30610,31120,26970,0
1/1/2020 8:00,30610,29880,30900,28780,0
1/2/2020 8:00,29880,34740,35240,29690,591.583313
1/3/2020 8:00,34740,27440,36290,27290,18714.21289
1/4/2020 8:00,27420,26230,28100,26180,0
1/5/2020 8:00,26230,25340,26500,23060,0
1/6/2020 8:00,25340,20915,25580,20560,0
1/7/2020 8:00,20900,20090,22535,19450,63499.82031
1/8/2020 8:00,20090,21450,23075,17320,0
1/9/2020 8:00,21450,22255,23470,20785,0
1/10/2020 8:00,22255,16535,23750,15825,19277.49023
1/11/2020 8:00,16535,16100,17620,13625,8762.737305
1/12/2020 8:00,16190,14305,16680,13970,0
1/13/2020 8:00,14235,15735,16290,14130,0
1/14/2020 8:00,15735,8702.5,15735,7730,0
1/15/2020 8:00,8685,8835,10117.5,7827.5,0
1/16/2020 8:00,8835,9160,10395,8695,0
1/17/2020 8:00,9160,7482.5,9540,6682.5,11.69162464
1/18/2020 8:00,7482.5,8092.5,8537.5,6940,43.02405167
1/19/2020 8:00,8092.5,8785,9707.5,6897.5,0
1/20/2020 8:00,8790,9050,9630,8555,0
1/21/2020 8:00,9050,8902.5,9662.5,8627.5,0
1/22/2020 8:00,8890,8615,9090,8125,0
1/23/2020 8:00,8620,10325,11245,8587.5,27.90749931
1/24/2020 8:00,10325,10405,12485,9832.5,0
1/25/2020 8:00,10397.5,11120,11630,10390,0
1/26/2020 8:00,11135,9207.5,11345,9040,0
1/27/2020 8:00,9207.5,8105,9327.5,7592.5,0
1/28/2020 8:00,8105,7277.5,8642.5,6880,0
1/29/2020 8:00,7257.5,7602.5,7737.5,6600,0
1/30/2020 8:00,7602.5,4844,8175,4393,36161.64063
1/31/2020 8:00,4844,4896,5427,4480,515.0943604
2/1/2020 8:00,4903,4187,4984,3848,2986.662109
2/2/2020 8:00,4187,4386,4780,3708,876.4707642
2/3/2020 8:00,4383,4410,4624,3799,18671.08789
2/4/2020 8:00,4410,4737,4977,4275,20339.43945
2/5/2020 8:00,4740,3736,4823,3621,2045.357544
2/6/2020 8:00,3736,3649,4005,3412,29.2834301
2/7/2020 8:00,3646,3535,3752,3363,9.0250597
2/8/2020 8:00,3535,3201,3913,3008,17.16823959
2/9/2020 8:00,3201,3168,3399,2987,1.564800024
2/10/2020 8:00,3168,3543,3712,3110,4901.025391
2/11/2020 8:00,3543,3154,3731,3057,627.576416
2/12/2020 8:00,3154,2584,3154,2451,1608.042969
2/13/2020 8:00,2582,2689,2975,2291,14619.56348
2/14/2020 8:00,2691,2429,2885,2378,5719.345703
2/15/2020 8:00,2429,3010,3155,2395,845.2670898
2/16/2020 8:00,3010,3260,4086,2560,5131.430664
2/17/2020 8:00,3260,3474,4071,3178,28163.28906
2/18/2020 8:00,3474,2882,3934,2693,408.5573425
2/19/2020 8:00,2882,3635,3850,2617,3091.439941
2/20/2020 8:00,3641,3816,4368,3357,3745.163818
