time,open,close,high,low,volume
8/6/2019 8:00,7493.5,7838,8006,7424,0.074649997
8/7/2019 8:00,7838,8031,8286,7690,0
8/8/2019 8:00,8031,8057,8263,7902,0
8/9/2019 8:00,8057,8600,8747,8036,0
8/10/2019 8:00,8600,8493,8847,8278,0
8/11/2019 8:00,8493,7987,8510,7875,0
8/12/2019 8:00,7991,8403,8445,7987,0
8/13/2019 8:00,8403,8541,8684,8340,0
8/14/2019 8:00,8537,9448,9572,8371,0
8/15/2019 8:00,9445,9395,10118,9204,0
8/16/2019 8:00,9395,9578,9869,9370,0
8/17/2019 8:00,9578,9831,9969,9493,0
8/18/2019 8:00,9831,9337,9995,9102,0
8/19/2019 8:00,9337,9232,9423,9011,0
8/20/2019 8:00,9232,9477,9677,9209,0
8/21/2019 8:00,9477,9732,10121,9447,0
8/22/2019 8:00,9732,9692,10014,9538,0
8/23/2019 8:00,9692,9414,9818,9347,0
8/24/2019 8:00,9414,9680,9898,9385,0
8/25/2019 8:00,9680,9846,10036,9460,0
8/26/2019 8:00,9846,9661,9846,9078,0
8/27/2019 8:00,9661,9757,9855,9640,0
8/28/2019 8:00,9757,10548,10897,9725,0
8/29/2019 8:00,10548,11048,11265,10546,0
8/30/2019 8:00,11048,10925,11274,10689,0
8/31/2019 8:00,10925,10897,11233,10714,0
9/1/2019 8:00,10897,10591,10954,10382,0
9/2/2019 8:00,10591,10415,10755,10240,0
9/3/2019 8:00,10415,10088,10464,9794,0
9/4/2019 8:00,10088,10387,10472,10055,0
9/5/2019 8:00,10387,10681,10839,10331,0
9/6/2019 8:00,10681,10744,10914,10204,0
9/7/2019 8:00,10744,10085,10792,9797,0
9/8/2019 8:00,10085,9853,10177,9692,0
9/9/2019 8:00,9853,9940,10199,9710,0
9/10/2019 8:00,9940,9827,9962,9482,0
9/11/2019 8:00,9827,9969,10185,9683,0
9/12/2019 8:00,9969,10047,10182,9932,0
9/13/2019 8:00,10047,10082,10308,9880,0
9/14/2019 8:00,10082,9856,10200,9698,0
9/15/2019 8:00,9856,9937,9984,9738,0
9/16/2019 8:00,9937,9571,10030,9417,0
9/17/2019 8:00,9571,9395,9638,8957,0
9/18/2019 8:00,9394,8928,9402,8618,0
9/19/2019 8:00,8928,9053,9517,8926,0
9/20/2019 8:00,9051,9253,9515,8996,0
9/21/2019 8:00,9253,9494,9637,9197,0
9/22/2019 8:00,9494,9623,9770,9474,0
9/23/2019 8:00,9622,10341,11184,9369,0
9/24/2019 8:00,10339,12380,12454,10141,0
9/25/2019 8:00,12388,11756,12633,11546,0
9/26/2019 8:00,11756,12199,13182,11735,0
9/27/2019 8:00,12199,12037,12737,11870,0
9/28/2019 8:00,12037,12146,12486,11972,0
9/29/2019 8:00,12146,12473,12833,12099,0
9/30/2019 8:00,12473,11940,12790,11904,0
10/1/2019 8:00,11940,12008,12190,11596,0
10/2/2019 8:00,12008,11856,12114,11768,0
10/3/2019 8:00,11856,11828,12381,11705,0
10/4/2019 8:00,11828,11866,12064,11624,0
10/5/2019 8:00,11866,11783,12023,11617,0
