time,open,close,high,low,volume
8/6/2019 8:00,7801.25,6817.5,7900,6540,0.078824997
8/7/2019 8:00,6817.5,6415,7097.5,6235,0
8/8/2019 8:00,6415,6352.5,6472.5,6032.5,0
8/9/2019 8:00,6355,5357.5,6397.5,5280,0
8/10/2019 8:00,5357.5,5537.5,5840,5200,1156.263794
8/11/2019 8:00,5537.5,6220,6317.5,5527.5,2276.819092
8/12/2019 8:00,6220,5710,6220,5645,0
8/13/2019 8:00,5710,5407.5,5717.5,5115,3222.084473
8/14/2019 8:00,5407.5,4092.5,5537.5,4010,9.887800217
8/15/2019 8:00,4090,4335,4380,3397.5,11.02062511
8/16/2019 8:00,4335,4120,4362.5,3775,0
8/17/2019 8:00,4120,4130,4157.5,3947.5,0
8/18/2019 8:00,4130,4582.5,4702.5,4087.5,0
8/19/2019 8:00,4582.5,4692.5,4827.5,4482.5,0
8/20/2019 8:00,4692.5,4435,4705,4331,0
8/21/2019 8:00,4435,3912,4464,3587,14.99717999
8/22/2019 8:00,3912,4531,4743,3604,0
8/23/2019 8:00,4531,4577,4725,4398,0
8/24/2019 8:00,4577,4503,4654,4152,113.621788
8/25/2019 8:00,4503,4368,4822,4230,704.7580566
8/26/2019 8:00,4368,4457,4768,4350,0
8/27/2019 8:00,4457,4183,4457,4040,0
8/28/2019 8:00,4183,3226,4306,3115,587.3969116
8/29/2019 8:00,3226,2844,3231,2652,5002.141602
8/30/2019 8:00,2844,3004,3084,2683,51.48855972
8/31/2019 8:00,3004,2929,3039,2777,0
9/1/2019 8:00,2929,2968,3014,2771,0
9/2/2019 8:00,2969,3269,3371,2884,0
9/3/2019 8:00,3269,3284,3412,3158,0
9/4/2019 8:00,3284,3083,3284,3013,0
9/5/2019 8:00,3083,3021,3209,2963,105.7752686
9/6/2019 8:00,3021,2797,3119,2756,5.947999954
9/7/2019 8:00,2797,3013,3083,2707,0
9/8/2019 8:00,3013,3217,3249,3013,49.99217987
9/9/2019 8:00,3217,3092,3217,2876,2074.508057
9/10/2019 8:00,3092,2913,3182,2844,1479.989136
9/11/2019 8:00,2913,2735,2989,2642,1515.613647
9/12/2019 8:00,2735,2819,2873,2642,186.290802
9/13/2019 8:00,2819,2842,2842,2705,733.038208
9/14/2019 8:00,2842,2944,2987,2726,0
9/15/2019 8:00,2944,2972,3007,2936,39.77119827
9/16/2019 8:00,2972,2992,3097,2784,6979.157227
9/17/2019 8:00,2993,3294,3461,2915,6580.497559
9/18/2019 8:00,3294,3926,4039,3283,9400.816406
9/19/2019 8:00,3926,3678,3978,3088,3496.957764
9/20/2019 8:00,3678,3485,3727,3292,485.3675232
9/21/2019 8:00,3485,3312,3527,3284,0
9/22/2019 8:00,3312,2987,3327,2896,39787.49609
9/23/2019 8:00,2990,2591,3010,2565,109.1900024
9/24/2019 8:00,2591,1266.5,2667,1058.5,17080.04102
9/25/2019 8:00,1265.5,1379.5,1474.5,1154.5,10.91450024
