time,open,close,high,low,volume
7/1/2020 8:00,6257.5,6552.5,6575,6246.25,1328.329956
7/2/2020 8:00,6552.5,6850,7157.5,5875,589.0289917
7/3/2020 8:00,6850,6377.5,6942.5,6322.5,2669.190186
7/4/2020 8:00,6377.5,4864,6380,4380,718.4891357
7/5/2020 8:00,4864,5355,5857,4658,0
7/6/2020 8:00,5355,5412.5,5739,4704,38.23559952
7/7/2020 8:00,5412.5,5682.5,5795,5197.5,38.55400085
7/8/2020 8:00,5682.5,5710,5910,5427.5,854.9472656
7/9/2020 8:00,5710,5940,5945,5710,69.56069946
7/10/2020 8:00,5940,6050,6137.5,5940,39.9992981
7/11/2020 8:00,6050,5230,6050,5228,204.2138977
7/12/2020 8:00,5230,5626,5713,5230,165.5372467
7/13/2020 8:00,5626,5975,6045,5395,206.596344
7/14/2020 8:00,5975,5440,6070,5367.5,0
7/15/2020 8:00,5440,5695,5730,5435,0
7/16/2020 8:00,5695,6090,6155,5665,0
7/17/2020 8:00,6090,5800,6175,5800,0
7/18/2020 8:00,5800,5677.5,5952.5,5590,0
7/19/2020 8:00,5677.5,5195,5800,5057.5,2.912950039
7/20/2020 8:00,5195,5667.5,5727,5195,6.28331995
7/21/2020 8:00,5667.5,5499,5777.5,5499,0
7/22/2020 8:00,5499,4495,5515,4099,10750.8877
7/23/2020 8:00,4495,3200,4533,2224,1412.543701
7/24/2020 8:00,3200,3399,3521,2735,923.956665
7/25/2020 8:00,3399,3194,3646,2960,729.6922607
7/26/2020 8:00,3194,3193,3375,2702,649.0300903
7/27/2020 8:00,3193,3333,3551,3091,3542.662842
7/28/2020 8:00,3333,3359,3720,3291,11537.18066
7/29/2020 8:00,3359,2850,3447,2787,9106.480469
7/30/2020 8:00,2850,2426,2948,2331,299.9464111
7/31/2020 8:00,2426,2552,2572,2338,2391.216064
8/1/2020 8:00,2552,2109.5,2595,2056.5,0
8/2/2020 8:00,2109.5,2404,2408.5,1748.5,0
8/3/2020 8:00,2404,2054,2427,1909.5,319.6171875
8/4/2020 8:00,2054,2139,2142,1853,0
8/5/2020 8:00,2139,1974.5,2142,1967,97.5632019
8/6/2020 8:00,1974.5,2035,2132.5,1967,0
8/7/2020 8:00,2035,2115.5,2301,1980,0
8/8/2020 8:00,2115.5,2108,2167,2038.5,0
8/9/2020 8:00,2108,1967,2121,1967,0
8/10/2020 8:00,1967,1783.5,1967,1671.5,5.154300213
8/11/2020 8:00,1783.5,1936,2070,1744,0
8/12/2020 8:00,1936,939.75,1936,667.75,7103.692871
8/13/2020 8:00,939.75,669.25,940,533,726.0627441
8/14/2020 8:00,669.25,817.5,821.75,608,138.7524567
8/15/2020 8:00,817.5,906,945.75,814.5,194.5200958
8/16/2020 8:00,906,905,949.5,871.25,128.2176819
8/17/2020 8:00,905,958.75,962,790.25,499.3606873
8/18/2020 8:00,958.75,983.75,1089.5,928.25,4038.785889
8/19/2020 8:00,983.75,1115,1173.25,968.25,695.8431396
8/20/2020 8:00,1115,988,1123.5,871.75,31.43540001
8/21/2020 8:00,988,1271,1271,962,1331.655151
8/22/2020 8:00,1271,1026,1284,985.75,100
8/23/2020 8:00,1026,1044,1118.25,989.25,0
8/24/2020 8:00,1044,854,1084.25,788.25,39.09420013
8/25/2020 8:00,854,978.75,1080.75,853,149.9156952
8/26/2020 8:00,978.75,996.75,1015.75,928.25,415.4682617
8/27/2020 8:00,996.75,1075.25,1102.75,976.25,0
8/28/2020 8:00,1075.25,1014,1111,1011.5,18.22800064
8/29/2020 8:00,1014,1025,1052.25,973,172.1999969
8/30/2020 8:00,1025,830.5,1025,795.5,110.3369522
8/31/2020 8:00,830.5,817,892.5,796.75,15.46152496
9/1/2020 8:00,817,670.75,846.75,605.75,89.17070007
9/2/2020 8:00,670.75,817.5,893.75,664.5,68.50282288
9/3/2020 8:00,817.5,1203.5,1203.5,801.75,235.4812927
9/4/2020 8:00,1203.5,1027.5,1219,938,0
9/5/2020 8:00,1027.5,1373.75,1425.5,960,2.884875059
9/6/2020 8:00,1373.75,1127.5,1602.5,1115.5,0
9/7/2020 8:00,1127.5,1226.5,1373.75,1097.5,0
9/8/2020 8:00,1226.5,1367.5,1376.5,1214,0
9/9/2020 8:00,1367.5,1214.5,1384,1147.5,554.9260254
9/10/2020 8:00,1214.5,1095.5,1214.5,973.5,907.9408569
9/11/2020 8:00,1095.5,1171.5,1274,1067.5,9.917200089
9/12/2020 8:00,1171.5,1243,1313,1128.5,0
9/13/2020 8:00,1243,1340.5,1429.5,1233,563.5708008
9/14/2020 8:00,1340.5,1458.5,1513,1202.5,8.00249958
9/15/2020 8:00,1458.5,1714,1719,1328.5,0
9/16/2020 8:00,1714,1528.5,1868.5,1492,64.38600159
9/17/2020 8:00,1528.5,1180,1596,1074.5,176.0809937
9/18/2020 8:00,1180,1209.5,1313,1161,1213.671021
9/19/2020 8:00,1209.5,1120,1273,980.5,0
9/20/2020 8:00,1120,1362.5,1402,1106.5,11348.75879
9/21/2020 8:00,1362.5,1518.5,1654.5,1219,7013.5625
9/22/2020 8:00,1518.5,1456.5,1643.5,1407,423.6928406
9/23/2020 8:00,1456.5,1664,1687.5,1398,25.84379959
9/24/2020 8:00,1664,1172,1706.5,1159,0
9/25/2020 8:00,1172,1010.5,1413.5,953,1.049399972
9/26/2020 8:00,1010.5,907.5,1033.75,894.5,0
9/27/2020 8:00,907.5,993.25,1060.25,894.75,0
9/28/2020 8:00,993.25,914.25,1020.25,754.75,25.47832489
9/29/2020 8:00,914.25,832.75,930.25,778.5,0
9/30/2020 8:00,832.75,633.75,925.5,612.5,0
10/1/2020 8:00,633.75,614.5,703.75,539.75,0
10/2/2020 8:00,614.5,691.5,764,614.5,5.048099995
10/3/2020 8:00,691.5,654.25,709.75,567,2065.201904
10/4/2020 8:00,654.25,626.75,686,623,85.85720062
10/5/2020 8:00,626.75,638.25,711.5,611.25,1295.517822
10/6/2020 8:00,638.25,791.75,816.25,638.25,1567.541504
10/7/2020 8:00,791.75,767,860,744.5,3636.24707
10/8/2020 8:00,767,735.5,867.5,721,683.2072754
10/9/2020 8:00,735.5,597.5,767,587.75,1.499600053
10/10/2020 8:00,597.5,519.5999756,601.75,458.6000061,6837.600586
10/11/2020 8:00,519.5999756,508.1000061,539.2000122,494.7999878,510.0671082
10/12/2020 8:00,508.1000061,509.2999878,557,492.6000061,4885.068359
10/13/2020 8:00,509.2999878,554.75,572.7999878,497.8999939,15.17992973
10/14/2020 8:00,554.75,550,581.75,486.25,354.4588013
10/15/2020 8:00,550,588.75,622,549,386.2976074
10/16/2020 8:00,588.75,632.25,670.25,584.75,10.24619961
10/17/2020 8:00,632.25,608.25,664.5,586.25,39.96202469
10/18/2020 8:00,608.25,543.5,608.25,536,0
10/19/2020 8:00,543.5,548,573.7000122,518.5999756,0
10/20/2020 8:00,548,600.75,608.25,542.75,5.000124931
10/21/2020 8:00,600.75,553.25,604.5,529.5,7.045424938
10/22/2020 8:00,553.25,529.25,553.25,516.5,0
10/23/2020 8:00,468.1000061,470.8999939,507.2000122,453.5,9.986579895
10/24/2020 8:00,470.8999939,467.2000122,487.1000061,455.5,10.38333988
10/25/2020 8:00,467.2000122,494.6000061,502.8999939,465.6000061,36.23772049
10/26/2020 8:00,494.6000061,541.5,558.4000244,438.2999878,364.6992188
10/27/2020 8:00,541.5,486.7000122,541.5,467,329.9356384
10/28/2020 8:00,486.7000122,590,620.2000122,464.8999939,1.034600019
10/29/2020 8:00,590,634.25,670,574.7000122,0.528800011
10/30/2020 8:00,634.25,669.5,687.5,617,21.8926506
10/31/2020 8:00,669.5,648.75,673.5,623.75,21.14925003
11/1/2020 8:00,648.75,593.75,651.75,581.25,0
11/2/2020 8:00,593.75,630.25,637.25,534.75,1.962625027
11/3/2020 8:00,630.25,632.25,702.5,625.75,0
11/4/2020 8:00,632.25,629.75,707,600.75,19.5760498
11/5/2020 8:00,629.75,607.5,639,525.5,0
11/6/2020 8:00,607.5,572,624.5,557.5,0
11/7/2020 8:00,572,624.5,663,514,0
11/8/2020 8:00,624.5,579,646.75,561.5,2.016200066
11/9/2020 8:00,579,613.75,637.25,559,23.89782524
11/10/2020 8:00,613.75,513.2999878,613.75,495.75,0
11/11/2020 8:00,513.2999878,513.4000244,524.7999878,468.8999939,41.88059998
11/12/2020 8:00,513.4000244,543,572.75,493.25,0
11/13/2020 8:00,543,487.3999939,552.25,487.3999939,0
11/14/2020 8:00,487.3999939,561.75,569,487.3999939,1.99138999
11/15/2020 8:00,561.75,584.75,629,541.5,0
11/16/2020 8:00,584.75,577.75,609.75,553.75,0
11/17/2020 8:00,577.75,569,596.5,560,0
11/18/2020 8:00,569,593.25,609,536,0
11/19/2020 8:00,593.25,596.25,629,564,0
11/20/2020 8:00,596.25,576,605.5,564,0
11/21/2020 8:00,576,479.2000122,576.25,477,1.982275009
11/22/2020 8:00,479.2000122,453.1000061,553,399.2000122,0
11/23/2020 8:00,453.1000061,362.8999939,490.5,352.8999939,0
11/24/2020 8:00,362.8999939,366.2999878,405.7999878,336.1000061,0
11/25/2020 8:00,366.2999878,439.8999939,453.5,344.2000122,0
11/26/2020 8:00,439.8999939,571.5,571.5,415.2999878,9.94410038
11/27/2020 8:00,571.5,571.5,571.5,504.6000061,0
11/28/2020 8:00,571.5,508.1000061,571.5,495.8999939,0
11/29/2020 8:00,508.1000061,447.7999878,524.9000244,447.7999878,100.1223984
11/30/2020 8:00,447.7999878,396.1000061,458.7000122,366.2000122,0
12/1/2020 8:00,396.1000061,447.7999878,459.7999878,392.7000122,0
12/2/2020 8:00,447.7999878,383.5,452.1000061,383.5,31.48534966
12/3/2020 8:00,383.5,321.6000061,383.5,307.8999939,30.75
12/4/2020 8:00,321.6000061,420.7000122,423.1000061,307.8999939,0
12/5/2020 8:00,420.7000122,409.2000122,440.3999939,396.2999878,3.96359992
12/6/2020 8:00,409.2000122,417.1000061,449.3999939,398.7000122,0
12/7/2020 8:00,417.1000061,440.3999939,450.1000061,415.2000122,0
12/8/2020 8:00,440.3999939,460.1000061,488.1000061,427.7000122,0
12/9/2020 8:00,460.1000061,475.6000061,547.4000244,452.6000061,1.973399997
12/10/2020 8:00,475.6000061,432.8999939,506,410.3999939,0
12/11/2020 8:00,432.8999939,482,506,429.5,0
12/12/2020 8:00,482,450,483.2000122,420.3999939,0
12/13/2020 8:00,450,419.2999878,459.8999939,404.1000061,0
12/14/2020 8:00,419.2999878,388.1000061,435.7999878,387.5,0
12/15/2020 8:00,388.1000061,410.2999878,422.2000122,376.2000122,0
12/16/2020 8:00,410.2999878,385.7999878,447,385.2000122,3.978080034
12/17/2020 8:00,385.7999878,411.1000061,432.3999939,359,0
12/18/2020 8:00,411.1000061,322.3999939,427.7000122,310.6000061,0
12/19/2020 8:00,322.3999939,326.3999939,332.1000061,301.3999939,0
12/20/2020 8:00,326.3999939,363.1000061,373.5,319.3999939,0
12/21/2020 8:00,363.1000061,401.8999939,432.3999939,342.1000061,2.974900007
12/22/2020 8:00,401.8999939,342.2000122,419,341.3999939,0
12/23/2020 8:00,342.2000122,421,443.6000061,335.2999878,8.953269958
12/24/2020 8:00,421,373.8999939,421,371,0
12/25/2020 8:00,373.8999939,337.6000061,392.5,279.7999878,0
12/26/2020 8:00,337.6000061,336.7000122,354,309.8999939,5.93200016
12/27/2020 8:00,336.7000122,288.2999878,354,280.7999878,0
12/28/2020 8:00,288.2999878,255.6999969,302.2999878,234.5,24.45199966
12/29/2020 8:00,255.6999969,276,297,243.6000061,148.4104004
12/30/2020 8:00,276,265.3999939,289.2999878,253.3000031,13.21469975
12/31/2020 8:00,265.3999939,247,277.7999878,243.6999969,28.32279968
1/1/2021 8:00,247,256.1000061,258.8999939,228,121.955101
1/2/2021 8:00,256.1000061,219.6999969,264.6000061,212.8999939,18.09449959
1/3/2021 8:00,219.6999969,144.1499939,219.6999969,142.1499939,37.72430038
1/4/2021 8:00,144.1499939,133.1000061,144.1499939,104.75,23.2336998
1/5/2021 8:00,133.1000061,93.19999695,141.1499939,93.19999695,41.67547607
1/6/2021 8:00,93.19999695,27.29999924,95.94999695,18.43499947,2044.192139
1/7/2021 8:00,27.29999924,19.90999985,27.29999924,17.14500046,464.4471436
1/8/2021 8:00,19.90999985,20.26499939,26.01499939,18.64500046,461.2768555
1/9/2021 8:00,20.26499939,4.954999924,22.92000008,4.90749979,1610.308228
1/10/2021 8:00,4.954999924,4.199999809,4.954999924,2.322000027,47065.19922
1/11/2021 8:00,4.199999809,6.03249979,8,4.199999809,8144.92334
1/12/2021 8:00,6.03249979,4.169000149,6.262499809,3.29399991,1382.657227
1/13/2021 8:00,4.169000149,3.298000097,4.521999836,3.298000097,915.3690796
1/14/2021 8:00,3.298000097,3.030999899,3.648999929,2.5,3453.9375
1/15/2021 8:00,3.030999899,3.86500001,4.147999763,2.809999943,3300.168213
1/16/2021 8:00,3.86500001,3.236999989,3.86500001,2.809999943,354.4162903
1/17/2021 8:00,3.236999989,3.572999954,3.729000092,3.092999935,215.2535553
1/18/2021 8:00,3.572999954,3.894999981,4.140999794,3.572999954,139.3448486
1/19/2021 8:00,3.894999981,3.701999903,3.928999901,3.012000084,84.20748901
1/20/2021 8:00,3.701999903,3.601000071,4.750999928,3.476999998,276.8495789
1/21/2021 8:00,3.601000071,5.602499962,5.610000134,3.601000071,1592.196167
1/22/2021 8:00,5.602499962,2.867000103,6.650000095,2.648000002,1112.496338
1/23/2021 8:00,2.867000103,2.86500001,2.971999884,2.476999998,3890.250244
1/24/2021 8:00,2.86500001,2.463999987,2.960999966,2.400000095,430.9699402
1/25/2021 8:00,2.463999987,2.83100009,2.969000101,1.958999991,725.6172485
1/26/2021 8:00,2.83100009,2.219500065,3.243999958,2.219500065,1567.073608
1/27/2021 8:00,2.219500065,2.775000095,3.015000105,2.219500065,5387.428711
1/28/2021 8:00,2.775000095,2.346999884,2.937000036,2.168499947,236.4512939
1/29/2021 8:00,2.346999884,2.41899991,2.49000001,2.09100008,21.57875061
1/30/2021 8:00,2.41899991,1.522500038,2.438499928,1.411999941,198.3733978
1/31/2021 8:00,1.522500038,1.80400002,1.972000003,1.484500051,76.56069946
2/1/2021 8:00,1.80400002,1.861500025,1.988999963,1.720499992,227.8009949
2/2/2021 8:00,1.861500025,1.168499947,1.861500025,1.002500057,2241.92627
2/3/2021 8:00,1.168499947,1.020499945,1.235999942,1.020499945,3125.783447
2/4/2021 8:00,1.020499945,0.507200003,1.175250053,0.393999994,1736.182251
2/5/2021 8:00,0.507200003,0.194849998,0.507200003,0.136999995,22458.50391
2/6/2021 8:00,0.194849998,0.230499998,0.281500012,0.164649993,17657.24609
2/7/2021 8:00,0.230499998,0.251800001,0.302350014,0.197899997,6800.51416
2/8/2021 8:00,0.251800001,0.222800002,0.2676,0.1752,3546.641357
2/9/2021 8:00,0.222800002,0.20555,0.236200005,0.195250005,298.0933533
2/10/2021 8:00,0.20555,0.226300001,0.259299994,0.180000007,3887.265381
2/11/2021 8:00,0.226300001,0.213599995,0.244749993,0.204349995,225.4192963
2/12/2021 8:00,0.213599995,0.167899996,0.220149994,0.155100003,602.616272
2/13/2021 8:00,0.167899996,0.196700007,0.203250006,0.164350003,199.9190521
2/14/2021 8:00,0.197449997,0.218700007,0.227349997,0.186299995,916.6999512
2/15/2021 8:00,0.218700007,0.238900006,0.290499985,0.204449996,781.5446777
2/16/2021 8:00,0.238900006,0.240799993,0.245700002,0.202700004,4829.403809
2/17/2021 8:00,0.240799993,0.202150002,0.258300006,0.200499997,73.95600128
2/18/2021 8:00,0.202150002,0.193650007,0.210099995,0.180999994,0.932200015
2/19/2021 8:00,0.193650007,0.215000004,0.219349995,0.183799997,80.94860077
2/20/2021 8:00,0.215000004,0.183400005,0.227899998,0.117449999,1915.32312
2/21/2021 8:00,0.183400005,0.179049999,0.189799994,0.152799994,357.4160461
2/22/2021 8:00,0.179049999,0.233549997,0.28095001,0.179049999,211.6761475
2/23/2021 8:00,0.233549997,0.277399987,0.40625,0.229750007,4049.087158
