time,open,close,high,low,volume
7/1/2020 8:00,450.25,447.5,452.5,446,2.24000001
7/2/2020 8:00,447.5,439,460,427.5,227129.3125
7/3/2020 8:00,439,446.5,450.5,434.5,13076.14258
7/4/2020 8:00,446.5,485.5,501.5,446.5,2525.11499
7/5/2020 8:00,485.5,471,491.5,457,14751.53418
7/6/2020 8:00,471,467,489,459.5,6585.790039
7/7/2020 8:00,467,458,471.5,456.5,608.3955078
7/8/2020 8:00,458,460,468,454.5,102.0145035
7/9/2020 8:00,460,454,460.5,453,517.5200195
7/10/2020 8:00,454,451.5,454.5,447,348.473999
7/11/2020 8:00,451.5,473.5,473.5,451,2854.941895
7/12/2020 8:00,473.5,460,473.5,457,132.6089935
7/13/2020 8:00,460,448.5,467.5,448.5,638.9979858
7/14/2020 8:00,448.5,465,465.5,447.5,898.0570068
7/15/2020 8:00,465,458,465,457.5,8.784999847
7/16/2020 8:00,458,443.5,459.5,442,45.85699844
7/17/2020 8:00,443.5,450,451,441,54.43849945
7/18/2020 8:00,450,456,458,446,44.14400101
7/19/2020 8:00,456,468,470,451,3119.094971
7/20/2020 8:00,468,452.5,468,451.5,5355.73584
7/21/2020 8:00,452.5,458.5,459,450.5,852.1644897
7/22/2020 8:00,458.5,486.5,500,457.5,1271.958496
7/23/2020 8:00,486.5,531.5,594.5,483.5,75916.04688
7/24/2020 8:00,531.5,514.5,551,506,10792.625
7/25/2020 8:00,514.5,526.5,538,500,105297.0078
7/26/2020 8:00,526.5,521,551,512.5,2973.436035
7/27/2020 8:00,521,512,530,503,3072.205078
7/28/2020 8:00,512,517,519,500,789.2255249
7/29/2020 8:00,517,547,547.5,515,4691.282227
7/30/2020 8:00,547,571.5,578,537.5,3391.865967
7/31/2020 8:00,571.5,556,574.5,554.5,9.012499809
8/1/2020 8:00,556,593.5,598.5,553.5,13653.24121
8/2/2020 8:00,592.5,568,627,553.5,3723.745605
8/3/2020 8:00,568,592,607,568,290.9570007
8/4/2020 8:00,592,583,613.5,578,27545.92383
8/5/2020 8:00,583,594.5,600,581.5,26.38750076
8/6/2020 8:00,594.5,586,596,579,0.586000025
8/7/2020 8:00,586,581,591.5,563.5,0.588
8/8/2020 8:00,581,582.5,586,575,1946.828003
8/9/2020 8:00,582.5,597,597.5,582,8519.597656
8/10/2020 8:00,597,624,633,597,50361.66797
8/11/2020 8:00,624,599,628.5,582,8089.935059
8/12/2020 8:00,599,720.5,824.5,599,679532.125
8/13/2020 8:00,720.5,789.5,851,704,295434
8/14/2020 8:00,789.5,729,814.5,721,132405.6094
8/15/2020 8:00,729,696,730,685.5,2497.349121
8/16/2020 8:00,696,694.5,705,685,8219.826172
8/17/2020 8:00,694.5,688,728.5,683,10272.6123
8/18/2020 8:00,688,674.5,695.5,651,37674.75
8/19/2020 8:00,674.5,649.5,681.5,632,7253.019043
8/20/2020 8:00,649.5,661,697.5,647,0.648999989
8/21/2020 8:00,661,604,671,602.5,1705.995972
8/22/2020 8:00,604,643,650,597,3270.368408
8/23/2020 8:00,643,640.5,649,624,142.1269989
8/24/2020 8:00,640.5,676.5,694.5,638,435.1195068
8/25/2020 8:00,676.5,638,676.5,612,1714.348999
8/26/2020 8:00,638,640.5,655,630.5,86129.14844
8/27/2020 8:00,640.5,617.5,644.5,613,4375.720703
8/28/2020 8:00,617.5,635.5,635.5,612,2250.970947
8/29/2020 8:00,635.5,632,644.5,631,934.161499
8/30/2020 8:00,632,675.5,684.5,631,13191.83887
8/31/2020 8:00,675.5,680,686,658,2509.196533
9/1/2020 8:00,680,716.5,745,673.5,21786.52734
9/2/2020 8:00,716.5,662,718.5,638,9674.310547
9/3/2020 8:00,662,561.5,665.5,561,27030.10547
9/4/2020 8:00,561.5,587,603,555.5,3936.94751
9/5/2020 8:00,587,511.5,597.5,501,8974.3125
9/6/2020 8:00,511.5,545,546,481.5,7861.557129
9/7/2020 8:00,545,527.5,549,503,1099.619995
9/8/2020 8:00,527.5,508.5,530,502,11.38049984
9/9/2020 8:00,508.5,524,533.5,502,169.0025024
9/10/2020 8:00,524,533.5,556,524,535.6170044
9/11/2020 8:00,533.5,524.5,538.5,507,2696.031494
9/12/2020 8:00,524.5,513,530,500,6789.757813
9/13/2020 8:00,513,498,515.5,485,2455.42749
9/14/2020 8:00,498,486,517,476,4109.058594
9/15/2020 8:00,486,455.5,500.5,454,4755.833008
9/16/2020 8:00,455.5,474,477,440.5,3459.665527
9/17/2020 8:00,474,502,526,470,22026.6582
9/18/2020 8:00,502,498.5,505,480.5,4312.041016
9/19/2020 8:00,498.5,514,531.5,494,14369.60938
9/20/2020 8:00,514,474,514,458,16088.81445
9/21/2020 8:00,474,453,486,437.5,24662.8418
9/22/2020 8:00,453,461,465.5,441,230.5805054
9/23/2020 8:00,461,435,468,433,3116.613525
9/24/2020 8:00,435,484,487,432,40482.82031
9/25/2020 8:00,484,503.5,514,476,11031.05371
9/26/2020 8:00,503.5,523.5,525.5,501,4695.601074
9/27/2020 8:00,523.5,502.5,526,490,46858.79297
9/28/2020 8:00,502.5,514,548,502.5,13834.78613
9/29/2020 8:00,514,525.5,537.5,506,22403.6582
9/30/2020 8:00,525.5,571,575,505,28959.88281
10/1/2020 8:00,571,576,599,553.5,19807.12109
10/2/2020 8:00,576,551.5,576,530,37211.24219
10/3/2020 8:00,551.5,558.5,583.5,548,22257.41016
10/4/2020 8:00,558.5,568.5,570,551,1999.411011
10/5/2020 8:00,568.5,563.5,574.5,545,5183.61377
10/6/2020 8:00,563.5,522,566,514,34004.48438
10/7/2020 8:00,522,524,530.5,503.5,89583.50781
10/8/2020 8:00,524,534,537,500,35778.16797
10/9/2020 8:00,534,568.5,569.5,526,49463.76172
10/10/2020 8:00,568.5,586,613,568.5,22782.58594
10/11/2020 8:00,586,587.5,596,578,1756.912964
10/12/2020 8:00,587.5,587.5,597,572.5,6202.750977
10/13/2020 8:00,587.5,575,595,563,8505.53418
10/14/2020 8:00,575,575.5,597,560.5,27446.5625
10/15/2020 8:00,575.5,559,575.5,550.5,16543.72461
10/16/2020 8:00,559,542.5,559.5,532,80599.76563
10/17/2020 8:00,542.5,553.5,560,534.5,18219.76953
10/18/2020 8:00,553.5,575.5,576.5,552.5,28949.11523
10/19/2020 8:00,575.5,571,581.5,565,24741.95313
10/20/2020 8:00,571,550,572.5,550,19195.75195
10/21/2020 8:00,550,571,574.5,549.5,17790.45703
10/22/2020 8:00,571,596,599.5,571,10307.59863
10/23/2020 8:00,596,595.5,605,580,22666.20117
10/24/2020 8:00,595.5,602,605,589,11625.58008
10/25/2020 8:00,602,585,602,581.5,26524.03711
10/26/2020 8:00,585,570,609.5,559,31127.10742
10/27/2020 8:00,570,583.5,595,568.5,32224.59961
10/28/2020 8:00,583.5,543,597,531,172968.8438
10/29/2020 8:00,543,532.5,552,517.5,11258.8877
10/30/2020 8:00,532.5,519.5,538,513.5,22436.38672
10/31/2020 8:00,519.5,525,532.5,517.5,216.8235016
