time,open,close,high,low,volume
8/22/2019 8:00,6265,7255,7600,6015,505.0527649
8/23/2019 8:00,7255,7790,7907.5,7130,155.5
8/24/2019 8:00,7790,7737.5,8315,6897.5,0
8/25/2019 8:00,7737.5,7567.5,8115,7132.5,0
8/26/2019 8:00,7567.5,7645,8027.5,6935,1.981250048
8/27/2019 8:00,7645,6847.5,7657.5,6715,0.071075
8/28/2019 8:00,6847.5,4980,6867.5,4945,3785.873291
8/29/2019 8:00,4980,4272.5,4995,3560,10351.67676
8/30/2019 8:00,4272.5,4160,4595,3925,945.5620117
8/31/2019 8:00,4160,4257.5,4645,3572.5,210.748703
9/1/2019 8:00,4257.5,4522.5,4715,4127.5,223.0204926
9/2/2019 8:00,4522.5,5515,5852.5,4297.5,0
9/3/2019 8:00,5517.5,6242.5,6412.5,5305,11614.84961
9/4/2019 8:00,6242.5,6320,6635,5977.5,11506.91211
9/5/2019 8:00,6320,5955,6332.5,5400,1399.772339
9/6/2019 8:00,5955,5362.5,5985,5135,1955.112549
9/7/2019 8:00,5362.5,5445,5485,5122.5,0
9/8/2019 8:00,5460,5322.5,5582.5,5182.5,1609.651001
9/9/2019 8:00,5322.5,5400,5647.5,4740,21912.19336
9/10/2019 8:00,5397.5,5822.5,6750,5230,16.6875
9/11/2019 8:00,5822.5,6292.5,6440,5357.5,0
9/12/2019 8:00,6287.5,5935,6340,5837.5,0
9/13/2019 8:00,5935,6007.5,6250,5837.5,0
9/14/2019 8:00,6007.5,6105,6250,5815,0
9/15/2019 8:00,6105,5937.5,6155,5917.5,584.4147339
9/16/2019 8:00,5937.5,5590,5975,5385,0
9/17/2019 8:00,5595,5390,5622.5,5230,499.9837646
9/18/2019 8:00,5382.5,6322.5,6397.5,5380,354.8244629
9/19/2019 8:00,6322.5,5957.5,6352.5,5342.5,486.2000122
9/20/2019 8:00,5957.5,5812.5,6042.5,5557.5,0
9/21/2019 8:00,5812.5,5957.5,6132.5,5777.5,0
9/22/2019 8:00,5957.5,5612.5,5975,5535,0
9/23/2019 8:00,5612.5,4615,5637.5,4597.5,4468.072266
9/24/2019 8:00,4615,2590,4999,2404,2751.440674
9/25/2019 8:00,2596,2540,2921,2188,7755.752441
9/26/2019 8:00,2538,2383,2795,2065,217.8027039
9/27/2019 8:00,2385,2570,2586,2258,939.6260986
9/28/2019 8:00,2570,2574,2674,2496,0
9/29/2019 8:00,2574,2351,2594,2218,463.0997009
9/30/2019 8:00,2351,2398.5,2447,1910,0
10/1/2019 8:00,2398.5,2519,2845,2351,0
10/2/2019 8:00,2519,2421,2525,2358,0
10/3/2019 8:00,2421,2491,2629,2386,0
10/4/2019 8:00,2491,2434,2507,2361,0
10/5/2019 8:00,2434,2402,2458,2297,49.88000107
10/6/2019 8:00,2402,2031,2436,2002,9104.873047
10/7/2019 8:00,2028,2315.5,2370.5,1971,0
10/8/2019 8:00,2315.5,2247,2393.5,2167,0
10/9/2019 8:00,2247,2920,2994,2240.5,17.3253994
10/10/2019 8:00,2920,2988,3230,2854,4.111899853
10/11/2019 8:00,2988,2626,3039,2503,128.8791046
10/12/2019 8:00,2628,2827,2950,2528,0
10/13/2019 8:00,2827,2879,3015,2798,0
10/14/2019 8:00,2879,3365,3365,2842,0.967199981
10/15/2019 8:00,3365,3299,3440,3091,0
10/16/2019 8:00,3299,3284,3370,3059,0
10/17/2019 8:00,3284,3186,3291,3113,0
10/18/2019 8:00,3186,2986,3348,2913,0
10/19/2019 8:00,2986,3046,3122,2928,0
10/20/2019 8:00,3046,3310,3311,2949,0
10/21/2019 8:00,3310,3907,3967,3278,74.87200165
10/22/2019 8:00,3904,3397,3907,3365,3624.422607
10/23/2019 8:00,3397,3190,4044,3006,1713.355591
10/24/2019 8:00,3190,2995,3274,2994,1775.026489
10/25/2019 8:00,2995,4143,4143,2995,15.97031975
10/26/2019 8:00,4143,4429,4689,4067,12.26502037
10/27/2019 8:00,4433,5872,6496,4227,70.01950073
10/28/2019 8:00,5872,5682.5,6425,5230,0
10/29/2019 8:00,5682.5,5855,6150,5547.5,0
10/30/2019 8:00,5855,5257.5,5880,5147.5,1229.3125
10/31/2019 8:00,5257.5,5540,5654,4610,1066.706055
11/1/2019 8:00,5540,6450,6567.5,5232.5,2200.04248
11/2/2019 8:00,6450,7195,7440,6120,0
11/3/2019 8:00,7212.5,6327.5,7262.5,6072.5,0
11/4/2019 8:00,6327.5,6925,7020,6302.5,0
11/5/2019 8:00,6920,7075,7447.5,6487.5,1924.819702
