time,open,close,high,low,volume
2/13/2020 8:00,6261.25,6050,6518.75,5635,0
2/14/2020 8:00,6050,5556.25,6425,5553.75,0
2/15/2020 8:00,5556.25,6932.5,7370,5485,14.99602509
2/16/2020 8:00,6932.5,7677.5,9537.5,6312.5,47.34590149
2/17/2020 8:00,7682.5,8332.5,9802.5,7455,39.6230011
2/18/2020 8:00,8332.5,7332.5,8985,7005,0
2/19/2020 8:00,7332.5,9307.5,9395,7047.5,56.93109894
2/20/2020 8:00,9307.5,9657.5,10377.5,8752.5,122.473999
2/21/2020 8:00,9657.5,8687.5,9920,8030,124.6212463
2/22/2020 8:00,8687.5,9065,9315,8207.5,119.9928513
2/23/2020 8:00,9065,7335,9075,7222.5,112.2943726
2/24/2020 8:00,7310,8732.5,9265,7057.5,122.3374481
2/25/2020 8:00,8732.5,9965,10235,8302.5,46.14587402
2/26/2020 8:00,9967.5,12425,13465,9507.5,5.646249771
2/27/2020 8:00,12425,11960,14495,10670,184.1824036
2/28/2020 8:00,11960,12980,14355,11290,324.2432861
2/29/2020 8:00,12980,14330,14350,12455,1123.702393
3/1/2020 8:00,14330,15050,15785,13115,1036.478149
3/2/2020 8:00,15050,11945,15220,11700,1200.041504
3/3/2020 8:00,11945,13290,13695,11925,341.9721375
3/4/2020 8:00,13290,13280,13955,12360,318.526886
3/5/2020 8:00,13280,11900,13280,11040,652.9730835
3/6/2020 8:00,11900,11430,12265,11195,310.036499
3/7/2020 8:00,11430,13115,13270,11355,648.9239502
3/8/2020 8:00,13115,18820,19070,13115,524.5164185
3/9/2020 8:00,18820,19770,23095,18035,1.947600007
3/10/2020 8:00,19770,20505,21865,18435,0
3/11/2020 8:00,20470,21460,25240,19455,383.2467651
3/12/2020 8:00,21460,47860,50200,21310,692.4129639
3/13/2020 8:00,47860,30800,86090,24410,1077.735229
3/14/2020 8:00,30800,34450,36070,26970,24.0916996
3/15/2020 8:00,34450,29360,35600,23010,450.1546936
3/16/2020 8:00,29360,38070,49150,28670,835.4920044
3/17/2020 8:00,38070,30860,39640,27960,364.6492004
3/18/2020 8:00,30860,25320,35440,25200,520.8052979
3/19/2020 8:00,25320,17305,27010,15365,634.6745605
3/20/2020 8:00,17305,16395,20120,12330,680.5043945
