time,open,close,high,low,volume
12/31/2021 8:00,5.885E-06,5.52E-06,7.27E-06,5.01E-06,188106.4063
1/1/2022 8:00,5.54E-06,6.01E-06,6.47E-06,5.27E-06,295862.375
1/2/2022 8:00,6.01E-06,5.36E-06,6.18E-06,5.13E-06,220801.0781
1/3/2022 8:00,5.36E-06,5.32E-06,5.73E-06,5.03E-06,145885.8438
1/4/2022 8:00,5.32E-06,4.82E-06,5.33E-06,4.51E-06,234965.4531
1/5/2022 8:00,4.82E-06,4.09E-06,4.96E-06,3.61E-06,127120.8203
1/6/2022 8:00,4.09E-06,4.22E-06,4.56E-06,3.9E-06,52631.28125
1/7/2022 8:00,4.22E-06,4.1E-06,4.34E-06,3.7E-06,112664.3594
1/8/2022 8:00,4.1E-06,4.46E-06,4.78E-06,4.06E-06,67173.74219
1/9/2022 8:00,4.46E-06,4.4E-06,4.8E-06,4.1E-06,38801.39453
1/10/2022 8:00,4.4E-06,3.72E-06,4.44E-06,3.6E-06,63406.50391
1/11/2022 8:00,3.72E-06,3.56E-06,3.88E-06,3.38E-06,82552.29688
1/12/2022 8:00,3.56E-06,3.65E-06,3.8E-06,3.45E-06,46378.09766
1/13/2022 8:00,3.65E-06,3.1E-06,3.7E-06,3E-06,60374.96484
1/14/2022 8:00,3.1E-06,2.96E-06,3.27E-06,2.72E-06,43091.60156
1/15/2022 8:00,2.96E-06,3.37E-06,3.46E-06,2.84E-06,40028.80859
1/16/2022 8:00,3.37E-06,3.22E-06,3.45E-06,3.1E-06,50975.21094
1/17/2022 8:00,3.22E-06,2.86E-06,3.22E-06,2.77E-06,35873.03125
1/18/2022 8:00,2.86E-06,2.88E-06,2.99E-06,2.61E-06,20771.54688
1/19/2022 8:00,2.88E-06,2.87E-06,3.06E-06,2.73E-06,25811.59375
1/20/2022 8:00,2.87E-06,2.91E-06,3.32E-06,2.76E-06,46961.48828
1/21/2022 8:00,2.91E-06,2.04E-06,2.97E-06,1.83E-06,82180.24219
1/22/2022 8:00,2.04E-06,1.72E-06,2.14E-06,1.59E-06,36861.08594
1/23/2022 8:00,1.72E-06,1.88E-06,1.98E-06,1.71E-06,12330.10254
1/24/2022 8:00,1.88E-06,1.76E-06,1.88E-06,1.47E-06,27929.08984
1/25/2022 8:00,1.76E-06,1.7E-06,1.92E-06,1.61E-06,46915.87109
1/26/2022 8:00,1.7E-06,1.71E-06,1.86E-06,1.67E-06,18370.25586
1/27/2022 8:00,1.71E-06,1.73E-06,2E-06,1.57E-06,12295.6416
1/28/2022 8:00,1.73E-06,2.33E-06,2.37E-06,1.73E-06,25114.21484
1/29/2022 8:00,2.33E-06,3.17E-06,3.25E-06,2.27E-06,46263.28516
1/30/2022 8:00,3.17E-06,3.89E-06,4.5E-06,2.87E-06,197684.0156
1/31/2022 8:00,3.89E-06,4.24E-06,4.64E-06,3.11E-06,240310.3594
2/1/2022 8:00,4.24E-06,3.61E-06,4.57E-06,3.5E-06,76339.16406
2/2/2022 8:00,3.61E-06,3.24E-06,3.91E-06,3.14E-06,37375.01563
2/3/2022 8:00,3.24E-06,3.21E-06,3.48E-06,2.88E-06,73342.375
2/4/2022 8:00,3.21E-06,3.34E-06,3.51E-06,2.95E-06,93070.6875
2/5/2022 8:00,3.34E-06,3.98E-06,4.28E-06,3.31E-06,223889.4375
2/6/2022 8:00,3.98E-06,3.53E-06,4.2E-06,3.25E-06,91773.59375
2/7/2022 8:00,3.53E-06,3.49E-06,3.72E-06,3.37E-06,93816.3125
2/8/2022 8:00,3.49E-06,3.4E-06,3.51E-06,3.11E-06,37213.72266
2/9/2022 8:00,3.4E-06,3.67E-06,3.8E-06,3.15E-06,52388.02344
2/10/2022 8:00,3.67E-06,3.18E-06,3.69E-06,3.1E-06,105760.2969
2/11/2022 8:00,3.18E-06,2.76E-06,3.26E-06,2.64E-06,43529.03516
2/12/2022 8:00,2.76E-06,2.6E-06,2.93E-06,2.5E-06,84657.85938
2/13/2022 8:00,2.6E-06,2.76E-06,2.9E-06,2.55E-06,47622.04688
2/14/2022 8:00,2.76E-06,2.72E-06,2.88E-06,2.63E-06,40825.59766
2/15/2022 8:00,2.72E-06,3E-06,3.07E-06,2.65E-06,47020.60156
2/16/2022 8:00,3E-06,2.65E-06,3E-06,2.54E-06,27386.43945
2/17/2022 8:00,2.65E-06,2.21E-06,2.69E-06,2.07E-06,33354.80469
2/18/2022 8:00,2.21E-06,2.25E-06,2.47E-06,2.14E-06,23934.97266
2/19/2022 8:00,2.25E-06,2.29E-06,2.44E-06,2.11E-06,35258.83984
2/20/2022 8:00,2.29E-06,2.12E-06,2.33E-06,2.09E-06,26027.11523
2/21/2022 8:00,2.12E-06,1.92E-06,2.26E-06,1.88E-06,28722.47266
2/22/2022 8:00,1.92E-06,1.93E-06,1.99E-06,1.81E-06,25662.36719
2/23/2022 8:00,1.93E-06,1.87E-06,2.09E-06,1.84E-06,43702.42188
2/24/2022 8:00,1.87E-06,1.86E-06,1.99E-06,1.56E-06,62869.70703
2/25/2022 8:00,1.86E-06,2.3E-06,2.36E-06,1.77E-06,79113.5
2/26/2022 8:00,2.3E-06,2.37E-06,2.6E-06,2.17E-06,59256.37891
2/27/2022 8:00,2.37E-06,2.01E-06,2.39E-06,1.94E-06,40998.59375
2/28/2022 8:00,2.01E-06,2.31E-06,2.39E-06,1.94E-06,44321.01953
3/1/2022 8:00,2.31E-06,2.2E-06,2.36E-06,2.1E-06,28634.02734
3/2/2022 8:00,2.2E-06,2.08E-06,2.2E-06,2E-06,14271.93164
3/3/2022 8:00,2.09E-06,1.96E-06,2.09E-06,1.84E-06,11375.78711
3/4/2022 8:00,1.96E-06,1.86E-06,2.05E-06,1.8E-06,42248.91016
3/5/2022 8:00,1.86E-06,1.91E-06,1.96E-06,1.8E-06,15489.11035
3/6/2022 8:00,1.91E-06,1.78E-06,1.94E-06,1.76E-06,9975.253906
3/7/2022 8:00,1.78E-06,1.77E-06,1.9E-06,1.66E-06,22373.4043
