time,open,close,high,low,volume
5/26/2020 8:00,6238.75,6237.5,6375,6210,152.9373016
5/27/2020 8:00,6237.5,3621,9710,2279,195669.0156
5/28/2020 8:00,3621,3025,4202,2534,96684.00781
5/29/2020 8:00,3025,2632,3405,2443,92139.64063
5/30/2020 8:00,2632,2105,2650,2010,67085.44531
5/31/2020 8:00,2105,1219,2130,1142,67066.92188
6/1/2020 8:00,1219,1558,1850,1193.5,73557.625
6/2/2020 8:00,1558,1068.5,1759,773.5,152465.7188
6/3/2020 8:00,1068.5,1365,1407,1039,51142.01563
6/4/2020 8:00,1365,1454.5,1610,1268,67563.42969
6/5/2020 8:00,1454.5,1350,1750,1324,27717.375
6/6/2020 8:00,1350,1240,1400,1215,42216.9375
6/7/2020 8:00,1240,1140,1241.5,962.5,59920.92188
6/8/2020 8:00,1140,1020,1160,960,25163.9707
6/9/2020 8:00,1020,965,1043,934.75,19906.67383
6/10/2020 8:00,965,802.75,974.5,770,106231.7969
6/11/2020 8:00,802.75,475.3999939,912,437.25,90585.25
6/12/2020 8:00,475.3999939,780.25,861.9000244,435.5,171142.1719
6/13/2020 8:00,780.25,783.25,950,738.25,469336.3438
6/14/2020 8:00,783.25,594.25,783.25,545,261636.3594
6/15/2020 8:00,594.25,615.5,642.75,422,202000.3594
6/16/2020 8:00,615.5,605.75,645,537.75,56036.4375
6/17/2020 8:00,605.75,606,651.75,530,53784.625
6/18/2020 8:00,606,517.4000244,606,476.2999878,65996.53125
6/19/2020 8:00,517.4000244,527.9000244,598.75,498.5,87515.83594
6/20/2020 8:00,527.9000244,500.7000122,539.7999878,475,36417.79297
6/21/2020 8:00,500.7000122,500,525.7999878,490.1000061,16700.25781
6/22/2020 8:00,500,632,642,492.7000122,66712.36719
6/23/2020 8:00,632,745,770,629.5,87526.97656
6/24/2020 8:00,745,645,788,566,76616.875
6/25/2020 8:00,645,582.5,645,512,37944.14844
6/26/2020 8:00,582.5,536,586.25,496.75,14027.13184
6/27/2020 8:00,536,378.7999878,544.25,311.7000122,43393.85156
6/28/2020 8:00,378.7999878,455.7999878,456.2999878,375.3999939,39731.98438
6/29/2020 8:00,455.7999878,460.1000061,475.2000122,410.2999878,14678.24805
6/30/2020 8:00,460.1000061,437.3999939,469.1000061,423.7999878,16411.75586
7/1/2020 8:00,437.3999939,438.3999939,466.8999939,414.8999939,7888.174316
7/2/2020 8:00,438.3999939,422.8999939,447.8999939,391.3999939,2160.238525
7/3/2020 8:00,422.8999939,399.8999939,422.8999939,397.8999939,1845.703003
7/4/2020 8:00,399.8999939,430,430.1000061,385.3999939,5803.206055
7/5/2020 8:00,430,393.7000122,430,369.2000122,13667.28223
7/6/2020 8:00,393.7000122,462.3999939,478.6000061,391.6000061,10467.64258
7/7/2020 8:00,462.3999939,620,620,442.3999939,24985.02539
7/8/2020 8:00,620,567,673.5,535,22971.9082
7/9/2020 8:00,567,499,580,455.75,12767.76953
7/10/2020 8:00,499,507,508.6000061,437.8999939,16256.23242
7/11/2020 8:00,507,567,603.5,507,22356.2793
7/12/2020 8:00,567,751,784.5,567,107936.7891
7/13/2020 8:00,751,400.5,751,330.1000061,116437.5156
7/14/2020 8:00,400.5,385.1000061,444.1000061,346.5,143918.3281
7/15/2020 8:00,385.1000061,356.1000061,385.7000122,337.7000122,28017.96875
7/16/2020 8:00,356.1000061,343.8999939,389.7999878,283,33738.02344
7/17/2020 8:00,343.8999939,375.1000061,387.5,325,17647.91016
7/18/2020 8:00,375.1000061,413.7999878,419,355.8999939,46094.08203
7/19/2020 8:00,413.7999878,372.8999939,415,343,13540.12598
7/20/2020 8:00,372.8999939,345.1000061,373.2000122,325.6000061,9822.064453
7/21/2020 8:00,345.1000061,357.2999878,368.2999878,328.2999878,7083.241699
7/22/2020 8:00,357.2999878,428.8999939,437,357,17083.89453
7/23/2020 8:00,428.8999939,442,465.5,423.6000061,23793.94922
7/24/2020 8:00,442,401.8999939,442,376,3293.44458
7/25/2020 8:00,401.8999939,439.7999878,453.5,394.7000122,9080.776367
7/26/2020 8:00,439.7999878,387.2999878,439.7999878,375.8999939,20446.83594
7/27/2020 8:00,387.2999878,351,394.1000061,270,36796.01953
7/28/2020 8:00,351,376,376,345,2544.772461
7/29/2020 8:00,376,366,417,349.6000061,23394.32617
7/30/2020 8:00,366,413.2000122,416.6000061,353.2000122,12468.70801
7/31/2020 8:00,413.2000122,458,475.6000061,364.1000061,9497.742188
8/1/2020 8:00,458,698.75,738.0999756,437,36451.33203
8/2/2020 8:00,698.75,432.8999939,717.75,299,27629.52344
8/3/2020 8:00,432.8999939,450,502.7000122,410.6000061,11980.69043
8/4/2020 8:00,450,673,691.4000244,445.5,54319.1875
8/5/2020 8:00,673,547.5,720.75,520,34078.85547
8/6/2020 8:00,547.5,563,594.5,500,10821.65332
8/7/2020 8:00,563,510.25,595,421.75,15957.36035
8/8/2020 8:00,510.25,610.5,644.2000122,491.8999939,32212.88281
8/9/2020 8:00,610.5,552.75,626,494,22031.88477
8/10/2020 8:00,552.75,820.5,933,536.75,59431.35156
8/11/2020 8:00,820.5,646,951.5,501,86990.51563
8/12/2020 8:00,646,916,916,506,49824.33594
8/13/2020 8:00,916,804,943.5,613,105184.6172
8/14/2020 8:00,804,815,899,725,35431.59375
8/15/2020 8:00,815,714,832,697,31646.5
8/16/2020 8:00,714,770,781,632.5,28839.37695
8/17/2020 8:00,770,706,853.75,691,33578.96094
8/18/2020 8:00,706,990.5,1050.5,700,80748.78906
8/19/2020 8:00,990.5,739,1147,682,66907.5625
8/20/2020 8:00,739,1019.5,1024,729,27516.20898
8/21/2020 8:00,1019.5,761,1166.25,714.25,176472.2969
8/22/2020 8:00,761,926,959,651,51682.66406
8/23/2020 8:00,926,1124.5,1157,884.75,120634.1563
8/24/2020 8:00,1124.5,1617.5,1849,1017,163767.9219
8/25/2020 8:00,1617.5,1150,1621,905.5,153866.7969
8/26/2020 8:00,1150,1068,1415,1000,65682.35938
8/27/2020 8:00,1068,736,1096.5,639.5,156754.6563
8/28/2020 8:00,736,863,931.75,660,48472.48438
8/29/2020 8:00,863,1036,1115,825,27957.56445
8/30/2020 8:00,1036,989,1289.5,975,104990.6094
8/31/2020 8:00,989,853,1064,850,179043.6875
9/1/2020 8:00,853,910,1050,814.5,33332.79688
9/2/2020 8:00,910,820,1037.25,683.75,113541.4922
9/3/2020 8:00,820,466.3999939,850.25,466.2999878,145372.8438
9/4/2020 8:00,466.3999939,530,547.9000244,365.5,131428.1094
9/5/2020 8:00,530,400,651,350,68929.61719
9/6/2020 8:00,400,513.4000244,540,364.1000061,55150.4375
9/7/2020 8:00,513.4000244,447.6000061,534.7000122,342.1000061,55364.89844
9/8/2020 8:00,447.6000061,383.1000061,500.2999878,366.3999939,13542.73145
9/9/2020 8:00,383.1000061,624.2999878,648.7999878,383.1000061,86926.86719
9/10/2020 8:00,624.2999878,664.25,734.25,595,89902.0625
9/11/2020 8:00,664.25,716.5,716.5,527,56078.65625
9/12/2020 8:00,716.5,948.25,948.25,716.5,52886
9/13/2020 8:00,948.25,890,948.25,672.5,42814.78125
9/14/2020 8:00,890,819,1012.5,803.75,69433.74219
