time,open,close,high,low,volume
8/24/2020 8:00,6007.5,5410,6207.5,4930,3555.163574
8/25/2020 8:00,5410,7350,8180,5375,29662.19531
8/26/2020 8:00,7350,6740,7350,6412.5,771.4711914
8/27/2020 8:00,6740,6660,7337.5,6130,3257.064697
8/28/2020 8:00,6660,5490,6902.5,5410,2474.072021
8/29/2020 8:00,5490,5090,5807.5,4945,3373.933838
8/30/2020 8:00,5090,3650,5132,3562,0
8/31/2020 8:00,3650,3395,3809,3294,6213.573242
9/1/2020 8:00,3395,2205.5,3546,2124,646.4636841
9/2/2020 8:00,2205.5,3031,3382.5,2205.5,5618.476074
9/3/2020 8:00,3031,4646,4646,2757,5610.90918
9/4/2020 8:00,4646,4418,5206,3835,7968.159668
9/5/2020 8:00,4418,6862.5,7775,3975,7458.820313
9/6/2020 8:00,6862.5,4303,7820,4062,5371.442383
9/7/2020 8:00,4303,4423,5683,3876,1366.145996
9/8/2020 8:00,4423,5170,5475,4423,11926.45605
9/9/2020 8:00,5170,3775,5399,3563,15010.01074
9/10/2020 8:00,3775,3492,3775,3041,4751.694336
9/11/2020 8:00,3492,3112,3856,3079,17505.32227
9/12/2020 8:00,3112,2918,3508,2845,41246.10938
9/13/2020 8:00,2918,3734,4189,2918,52310.62891
9/14/2020 8:00,3734,2900,3889,2635,61251.76563
9/15/2020 8:00,2900,3513,3525,2838,4072.089355
9/16/2020 8:00,3513,3683,4061,3481,22253.7207
9/17/2020 8:00,3683,3715,4001,3111,15660.91406
9/18/2020 8:00,3715,3735,3903,3518,27198.1582
9/19/2020 8:00,3735,3404,3794,3160,65946.54688
9/20/2020 8:00,3404,3732,3844,3277,17723.48438
9/21/2020 8:00,3732,4660,5050,3541,11566.41895
9/22/2020 8:00,4660,4349,4956,4260,24917.14648
9/23/2020 8:00,4349,5522.5,5669,4299,59503.625
9/24/2020 8:00,5522.5,3761,5847.5,3723,14776.26172
9/25/2020 8:00,3761,3561,4779,3316,3731.139648
9/26/2020 8:00,3561,3299,3598,3238,5568.79541
9/27/2020 8:00,3299,3584,3834,3193,5620.566406
9/28/2020 8:00,3584,3467,3771,2695,267.1180725
9/29/2020 8:00,3467,3704,4465,3360,1764.547241
9/30/2020 8:00,3704,3621,3900,3398,1650.341309
10/1/2020 8:00,3621,3925,4078,3351,83.48976898
