time,open,close,high,low,volume
1/18/2021 8:00,35917.5,36693,37349,34735,65010.15234
1/19/2021 8:00,36693,36028,37732,36019,236179.7969
1/20/2021 8:00,36028,35483,36489,33522,42707.91797
1/21/2021 8:00,35483,30882,35547,29982,202238.5156
1/22/2021 8:00,30882,33058,33851,28986,56198.53516
1/23/2021 8:00,33058,32043,33424,31524,160166.2656
1/24/2021 8:00,32043,32215,32972,31032,68403.4375
1/25/2021 8:00,32215,32230,34823,31955,555157.75
1/26/2021 8:00,32230,32508,32866,31112,112129.25
1/27/2021 8:00,32508,30321,32508,29642,351904.4688
1/28/2021 8:00,30321,33298,33573,29963,487151.8438
1/29/2021 8:00,33298,34431,38208,32068,180942.0313
1/30/2021 8:00,34431,34270,34861,32911,4499.650879
1/31/2021 8:00,34270,33154,34301,32234,89988.63281
2/1/2021 8:00,33154,33600,34574,32339,5374.164551
2/2/2021 8:00,33600,35657,35935,33557,233112.75
2/3/2021 8:00,35657,37607,37650,35513,173474.9531
2/4/2021 8:00,37607,36961,38715,36376,265925.4688
2/5/2021 8:00,36961,38200,38269,36667,726623.625
2/6/2021 8:00,38200,39254,40908,38142,292689.8438
2/7/2021 8:00,39254,38799,39652,37363,193655.2031
2/8/2021 8:00,38799,46405,46648,38073,962507.8125
2/9/2021 8:00,46405,46474,48039,45171,346147
2/10/2021 8:00,46474,44894,47240,43845,128321.7031
2/11/2021 8:00,44894,47928,48536,44085,84655.61719
2/12/2021 8:00,47928,47475,48824,46571,40295.14063
2/13/2021 8:00,47475,47130,48079,46382,104128.1563
2/14/2021 8:00,47130,48663,49680,47098,113157.7813
2/15/2021 8:00,48663,47961,48915,46282,95216.01563
2/16/2021 8:00,47961,49038,50300,47250,513108.6875
2/17/2021 8:00,49038,52257,52533,48889,221701.75
2/18/2021 8:00,52257,51698,52452,51009,250410.7813
2/19/2021 8:00,51698,55874,56165,50857,438068.5938
2/20/2021 8:00,55874,55860,57490,53765,186526.9063
2/21/2021 8:00,55860,57366,58420,55615,243650.4063
2/22/2021 8:00,57366,53927,57485,48000,219324.5625
2/23/2021 8:00,53927,48746,54155,45026,200542.4688
2/24/2021 8:00,48746,49867,52303,47051,372292.4375
2/25/2021 8:00,49867,47423,52062,46796,138992.5781
2/26/2021 8:00,47423,46185,48396,44135,64115.375
2/27/2021 8:00,46233,46220,48318,45097,131793.4063
2/28/2021 8:00,46220,45122,46830,43059,284688.0938
3/1/2021 8:00,45122,49514,49791,44902,118410.1563
3/2/2021 8:00,49514,48381,50213,47159,712791.25
3/3/2021 8:00,48381,50497,52589,48069,1147248.75
3/4/2021 8:00,50497,48242,51768,47542,542850.25
3/5/2021 8:00,48242,48800,49472,46361,74429.34375
3/6/2021 8:00,48800,48971,49210,47133,57710.5625
3/7/2021 8:00,48971,51485,51973,48971,1270385.25
3/8/2021 8:00,51485,52269,52406,49603,170866.4063
3/9/2021 8:00,52269,54779,54836,52072,345197.2188
3/10/2021 8:00,54779,56230,57318,53208,789634.9375
3/11/2021 8:00,56230,57932,58292,54383,300231.5
3/12/2021 8:00,57932,57624,58174,55279,143184.5313
3/13/2021 8:00,57624,61185,61695,56201,50265.02344
3/14/2021 8:00,61185,59204,61661,59204,179665.5625
3/15/2021 8:00,59204,55556,60448,54790,251375.1875
3/16/2021 8:00,55556,56833,56893,53410,179561.375
3/17/2021 8:00,56833,58776,58850,54480,285582.375
3/18/2021 8:00,58776,57695,60325,57330,2008914.125
3/19/2021 8:00,57695,58168,59367,56406,632604.1875
3/20/2021 8:00,58168,58190,60005,57882,80293.59375
3/21/2021 8:00,58190,57457,58594,55716,312536.4375
3/22/2021 8:00,57457,54198,58317,53605,133809.375
3/23/2021 8:00,54198,54504,55866,52938,386408.7813
3/24/2021 8:00,54504,52506,57403,52000,38044.94531
3/25/2021 8:00,52506,51406,53185,50299,47134.99609
3/26/2021 8:00,51406,54872,54983,51361,12214.28809
3/27/2021 8:00,54872,56261,56496,54082,178570.2031
3/28/2021 8:00,56261,55995,56616,54860,800323.25
3/29/2021 8:00,55995,57848,58320,54989,101326.75
3/30/2021 8:00,57848,58998,59321,57143,395979.2188
3/31/2021 8:00,58998,58633,59773,57213,359110.5938
4/1/2021 8:00,58633,58835,59447,58055,459202.4375
4/2/2021 8:00,58835,59094,60036,58503,3010760.25
4/3/2021 8:00,59094,57169,59925,57035,77607.34375
4/4/2021 8:00,57169,58129,58347,56539,46040.64844
4/5/2021 8:00,58125,59009,59202,56865,234487.9688
4/6/2021 8:00,59009,58111,59400,57494,898766.3125
4/7/2021 8:00,58111,55875,58484,55508,237459.6719
4/8/2021 8:00,55875,57865,58013,55776,97801.42969
4/9/2021 8:00,57865,57875,58764,57744,10527.68359
4/10/2021 8:00,57875,59571,61190,57802,596667.75
4/11/2021 8:00,59571,59843,60480,59241,361651.5625
4/12/2021 8:00,59843,59904,61152,59566,30347.11523
4/13/2021 8:00,59904,63368,63623,59833,714627.5625
4/14/2021 8:00,63368,62725,64899,61392,1066950
4/15/2021 8:00,62725,63015,63801,62054,219163.875
4/16/2021 8:00,63015,61185,63395,60107,226460.2188
4/17/2021 8:00,61185,60277,62602,59705,349046.7188
4/18/2021 8:00,60277,56331,60524,51400,972245.125
4/19/2021 8:00,56331,55745,57431,54341,45418.70313
4/20/2021 8:00,55745,56571,57038,53406,237861.4219
4/21/2021 8:00,56571,53853,56879,53467,73317.57813
4/22/2021 8:00,53853,51613,55481,50610,1036279.563
4/23/2021 8:00,51613,50907,51959,47405,116022.3828
4/24/2021 8:00,50907,50161,51029,48800,920483.875
4/25/2021 8:00,50161,48893,50484,47094,1572976.75
4/26/2021 8:00,48893,54125,54228,48791,777069.5625
4/27/2021 8:00,54125,55087,55349,53372,3290746.75
4/28/2021 8:00,55087,54744,56271,53894,1173398.875
4/29/2021 8:00,54744,53419,55047,52438,1909629.125
4/30/2021 8:00,53419,57834,57834,52872,851179.0625
5/1/2021 8:00,57834,57678,58368,57093,155862.8906
5/2/2021 8:00,57681,56635,57783,56144,1071742.625
5/3/2021 8:00,56635,57319,58986,56564,7121033
5/4/2021 8:00,57319,53200,57329,53193,3069407
5/5/2021 8:00,53200,57478,57834,52830,5832730
5/6/2021 8:00,57478,56403,58324,55413,3246644
5/7/2021 8:00,56403,57285,58626,55380,505377.375
5/8/2021 8:00,57285,58952,59565,56906,12608494
5/9/2021 8:00,58952,58142,59292,56318,9310918
5/10/2021 8:00,58142,55927,59531,53860,7092118
5/11/2021 8:00,55927,56823,56902,54603,2613727.75
5/12/2021 8:00,56823,49221,58004,48500,13422385
5/13/2021 8:00,49221,49573,51255,46000,5305405.5
5/14/2021 8:00,49573,49900,51550,48967,5180511
5/15/2021 8:00,49900,46636,50558,46562,738531.9375
5/16/2021 8:00,46636,46390,49659,43928,1291215.875
5/17/2021 8:00,46390,43527,46483,41976,4652011
5/18/2021 8:00,43527,42817,45811,42347,6157893.5
5/19/2021 8:00,42817,36747,43486,28684,4836057
5/20/2021 8:00,36747,40496,42498,34975,1442017.5
5/21/2021 8:00,40496,37197,42167,33569,779371.625
5/22/2021 8:00,37197,37535,38863,35268,562133.0625
5/23/2021 8:00,37535,34743,38300,31065,1140911.5
5/24/2021 8:00,34743,38743,39850,34507,2863710.25
5/25/2021 8:00,38743,38443,39748,36538,189805.25
5/26/2021 8:00,38443,39331,40940,37885,1908077.875
5/27/2021 8:00,39341,38536,40360,37250,1139543.25
5/28/2021 8:00,38536,35559,38764,34718,1864511.625
5/29/2021 8:00,35559,34551,37219,33678,1239858.5
5/30/2021 8:00,34551,35708,36436,33538,1105627.25
5/31/2021 8:00,35708,37345,37400,34242,4321416.5
6/1/2021 8:00,37345,36650,37859,35760,329412
6/2/2021 8:00,36650,37623,38182,35973,1229314.875
6/3/2021 8:00,37623,39159,39502,37252,13025828
6/4/2021 8:00,39159,36883,39238,35686,25691320
6/5/2021 8:00,36883,35499,37883,34741,820087.625
6/6/2021 8:00,35499,35787,36435,35279,1471562.625
6/7/2021 8:00,35787,33536,36780,33333,2156131.75
6/8/2021 8:00,33536,33431,34007,31074,320278.9375
6/9/2021 8:00,33431,37385,37495,32437,1753615.75
6/10/2021 8:00,37385,36646,38294,35829,1556263.75
6/11/2021 8:00,36646,37301,37618,35989,383805.6563
6/12/2021 8:00,37301,35589,37405,34715,705719.375
6/13/2021 8:00,35589,38996,39293,34835,395962.5625
6/14/2021 8:00,38996,40559,40973,38767,1178838.875
6/15/2021 8:00,40577,40113,41248,39620,719225.625
6/16/2021 8:00,40113,38300,40431,38196,803490.375
6/17/2021 8:00,38300,38032,39508,37478,967624.1875
6/18/2021 8:00,38032,35762,38163,35224,120325.4766
6/19/2021 8:00,35762,35554,36405,34940,34769.64844
6/20/2021 8:00,35554,35578,36078,33393,113722.1797
6/21/2021 8:00,35578,31612,35716,31348,1188679.875
6/22/2021 8:00,31612,32492,33279,28798,832167.0625
6/23/2021 8:00,32468,33718,34770,31798,431577
6/24/2021 8:00,33718,34662,35234,32394,286593.9375
6/25/2021 8:00,34662,31550,35466,31365,459898.5313
6/26/2021 8:00,31550,32234,32625,30190,1823576.5
6/27/2021 8:00,32234,34646,34731,32059,394414.375
6/28/2021 8:00,34646,34452,35264,33982,875979.125
6/29/2021 8:00,34452,35968,36628,34298,779913.875
6/30/2021 8:00,35968,35054,36033,34102,67492.17969
7/1/2021 8:00,35054,33477,35054,32788,389018.4688
7/2/2021 8:00,33477,33756,33918,32714,30989.51953
7/3/2021 8:00,33756,34650,34928,33407,34855.97656
7/4/2021 8:00,34647,35369,35916,34439,529595.3125
7/5/2021 8:00,35358,33760,35369,33248,39858.89453
7/6/2021 8:00,33760,34197,35062,33591,609826.875
7/7/2021 8:00,34197,33885,35078,33842,610551
7/8/2021 8:00,33885,32852,33885,32149,620846.25
7/9/2021 8:00,32852,33861,34026,32315,87596.0625
7/10/2021 8:00,33861,33488,34238,33083,52123.84375
7/11/2021 8:00,33488,34228,34572,33356,123153.2266
7/12/2021 8:00,34228,33070,34613,32690,24425.99219
7/13/2021 8:00,33070,32737,33294,32262,29736.49219
7/14/2021 8:00,32737,32852,33052,31672,206410.5625
7/15/2021 8:00,32852,31821,33143,31182,76295.28125
7/16/2021 8:00,31821,31419,32223,30972,1047219.188
7/17/2021 8:00,31419,31565,31933,31208,44888.98047
7/18/2021 8:00,31565,31737,32440,31253,98899.47656
7/19/2021 8:00,31737,30802,31853,30513,88241.98438
