time,open,close,high,low,volume
7/25/2020 8:00,3565,3405,4970,2750,818025.875
7/26/2020 8:00,3405,3170,3645,2105,211062.0156
7/27/2020 8:00,3170,2810,3260,2135,114489.6016
7/28/2020 8:00,2810,3550,3550,2680,212964.5313
7/29/2020 8:00,3550,4480,5015,3305,713249.5625
7/30/2020 8:00,4480,4390,4740,3935,248356.9688
7/31/2020 8:00,4390,4225,4610,3375,793435.125
8/1/2020 8:00,4225,3760,4515,3690,106170.9531
8/2/2020 8:00,3760,4040,4075,3500,49361.41406
8/3/2020 8:00,4040,3765,4250,3575,27515.67578
8/4/2020 8:00,3765,3655,4065,3630,13077.50977
8/5/2020 8:00,3655,4225,4295,3515,121599.375
8/6/2020 8:00,4225,4770,5085,4035,366524.25
8/7/2020 8:00,4770,4345,5610,3530,327280.8438
8/8/2020 8:00,4345,4590,5015,3990,181093.2031
8/9/2020 8:00,4610,4020,4700,3800,67911.9375
8/10/2020 8:00,4020,6090,7100,4005,1520774.75
8/11/2020 8:00,6090,5990,6585,5535,83363.78125
8/12/2020 8:00,5990,5905,6195,5160,212887.0313
8/13/2020 8:00,5905,5385,5905,4030,339720.1875
8/14/2020 8:00,5385,5095,5455,4810,108021.1719
8/15/2020 8:00,5095,5300,5315,4200,70543.95313
8/16/2020 8:00,5300,6515,6665,5275,140760.6875
8/17/2020 8:00,6515,9020,9020,6480,516457.3438
8/18/2020 8:00,9020,9720,12000,8745,586475.9375
8/19/2020 8:00,9720,12750,12840,9690,188164.0625
8/20/2020 8:00,12750,15140,16465,11500,694603.125
8/21/2020 8:00,15140,12380,15465,11900,623016.3125
8/22/2020 8:00,12380,14035,14340,11030,249956.9531
8/23/2020 8:00,14035,12505,14275,12010,196711.1094
8/24/2020 8:00,12505,14650,14710,12275,104544.9922
8/25/2020 8:00,14650,13585,14700,12400,334736.875
8/26/2020 8:00,13585,15715,16295,13335,231870.0469
8/27/2020 8:00,15715,14465,15955,13675,149074.4844
8/28/2020 8:00,14465,18750,19500,14050,550077.5625
8/29/2020 8:00,18750,27260,27645,17950,1068224.5
8/30/2020 8:00,27260,31690,38815,26795,3846821.5
8/31/2020 8:00,31690,34680,39800,30065,1553904.25
9/1/2020 8:00,34680,32050,37060,31485,1091309.875
9/2/2020 8:00,32050,31655,32820,24625,1284073.125
9/3/2020 8:00,31655,29485,33280,27620,939054.1875
9/4/2020 8:00,29485,27420,31280,23915,1157525.75
9/5/2020 8:00,27420,22130,28720,18235,1587346.375
9/6/2020 8:00,22130,23940,29500,19355,1105925.25
9/7/2020 8:00,23940,22975,24600,20535,421775.9375
9/8/2020 8:00,22975,22425,23525,21130,285561.2813
9/9/2020 8:00,22425,27570,29340,21655,827476.625
9/10/2020 8:00,27570,34070,35085,27570,1174267.625
9/11/2020 8:00,34070,38230,38290,31500,991245.8125
9/12/2020 8:00,38230,43300,43915,35865,1196634.625
9/13/2020 8:00,43300,36905,43345,32615,834047.125
9/14/2020 8:00,36905,39895,42230,34880,777293.125
9/15/2020 8:00,39895,35340,41600,35235,711893.0625
9/16/2020 8:00,35340,34775,37345,30655,1445686.5
9/17/2020 8:00,34775,33195,36670,29650,1678891
9/18/2020 8:00,33195,33000,34670,31325,710888.3125
9/19/2020 8:00,33000,30905,33225,27900,1160643.75
9/20/2020 8:00,30905,27950,30935,26285,665163
9/21/2020 8:00,27950,23995,28165,21830,1687833.5
9/22/2020 8:00,23995,25010,26880,22800,801811.5
9/23/2020 8:00,25010,21220,26240,21145,621496.5625
9/24/2020 8:00,21220,25275,25280,20335,454015.125
9/25/2020 8:00,25275,26885,27505,23255,351233.2188
9/26/2020 8:00,26885,31625,31810,26020,650376.3125
9/27/2020 8:00,31625,30640,34170,28095,1820892.25
9/28/2020 8:00,30640,28480,31290,27540,702489.8125
9/29/2020 8:00,28480,25080,28875,23500,1178546.625
9/30/2020 8:00,25080,23865,25080,21830,670868.625
10/1/2020 8:00,23865,22780,26200,21525,884927.4375
10/2/2020 8:00,22780,21080,23215,19055,649846.75
10/3/2020 8:00,21080,18885,21650,18550,548590.625
10/4/2020 8:00,18885,19115,20150,16035,1195283.75
10/5/2020 8:00,19115,19195,20640,17580,1389173.25
10/6/2020 8:00,19195,16620,19370,15995,1171125.25
10/7/2020 8:00,16620,14820,16630,13765,933885.4375
10/8/2020 8:00,14820,16710,17325,12225,1248691.5
10/9/2020 8:00,16710,18030,19440,15845,797297.6875
10/10/2020 8:00,18030,16010,19450,15880,474357.6563
10/11/2020 8:00,16010,16920,17935,15070,939830.3125
10/12/2020 8:00,16920,16515,17485,15690,575900.375
10/13/2020 8:00,16515,15665,16655,15310,295758
10/14/2020 8:00,15665,14590,16115,13790,404669.375
10/15/2020 8:00,14590,14635,15760,13965,486675.4375
10/16/2020 8:00,14635,13395,14635,13395,273272
10/17/2020 8:00,13395,14030,14220,13135,271749.375
10/18/2020 8:00,14030,15420,15740,13945,447870.3438
10/19/2020 8:00,15420,13705,15635,13705,330206.8438
10/20/2020 8:00,13700,13065,14080,12740,345224.1875
10/21/2020 8:00,13065,13315,14660,12930,646780.9375
10/22/2020 8:00,13315,13735,14390,13275,316217.1563
10/23/2020 8:00,13735,14955,15025,13645,596233.25
10/24/2020 8:00,14955,14895,15505,14560,545084.5
10/25/2020 8:00,14895,14305,14910,13950,329055.3125
10/26/2020 8:00,14305,13635,14575,13210,678331.9375
10/27/2020 8:00,13635,13385,14200,13345,422318.3125
10/28/2020 8:00,13385,12580,13605,12055,415916.25
10/29/2020 8:00,12580,10800,12945,10400,715564.875
10/30/2020 8:00,10800,11030,11955,9660,1315675.75
10/31/2020 8:00,11030,10480,11415,10265,455464.3125
11/1/2020 8:00,10480,10690,11035,9990,352361.9063
11/2/2020 8:00,10690,10100,11215,10045,392017.9688
11/3/2020 8:00,10100,9395,10245,9295,313854.9375
11/4/2020 8:00,9385,8505,9680,8255,516512
11/5/2020 8:00,8505,8525,9870,7460,957971.875
11/6/2020 8:00,8525,11845,11945,8405,1149183.125
11/7/2020 8:00,11845,14310,17500,11840,4207543
11/8/2020 8:00,14310,15165,16000,13405,987932.125
11/9/2020 8:00,15165,15030,15660,13915,873432.8125
11/10/2020 8:00,15030,18305,18935,14700,1837714.75
11/11/2020 8:00,18305,16720,19250,15735,1706248.375
11/12/2020 8:00,16720,15460,17225,14725,1571734.625
11/13/2020 8:00,15460,17945,18450,15190,1072438.25
11/14/2020 8:00,17945,17260,17945,16110,653272.5625
11/15/2020 8:00,17260,17640,18440,16595,848634.6875
11/16/2020 8:00,17640,18600,19120,17030,913102.4375
11/17/2020 8:00,18600,23955,24885,18475,1493553.5
11/18/2020 8:00,23955,25465,26155,20735,2043207.875
11/19/2020 8:00,25465,27800,29690,24240,2662793
11/20/2020 8:00,27800,26550,29895,25730,1781326.375
11/21/2020 8:00,26550,24460,27805,23480,1197639.125
11/22/2020 8:00,24460,24430,27170,21465,2420365.75
11/23/2020 8:00,24430,25245,26410,23265,1156683.25
11/24/2020 8:00,25245,24740,26395,23360,1095430.25
11/25/2020 8:00,24740,22345,24830,21525,818931.75
11/26/2020 8:00,22345,23360,23360,18250,2345785.25
11/27/2020 8:00,23360,23475,25585,22240,1032040
11/28/2020 8:00,23475,23395,24500,22595,390352.3438
11/29/2020 8:00,23395,24650,24955,22940,397614.625
11/30/2020 8:00,24650,26500,26920,24650,972189.125
12/1/2020 8:00,26500,25675,28265,24665,1265026.125
12/2/2020 8:00,25675,30305,31995,24775,2294839.25
12/3/2020 8:00,30305,29670,31310,28605,1183486.5
12/4/2020 8:00,29670,26465,30555,25780,992866.75
12/5/2020 8:00,26465,29375,29575,26255,814116.4375
12/6/2020 8:00,29375,28765,29520,27865,841515.1875
12/7/2020 8:00,28765,28505,29405,27935,792925.25
12/8/2020 8:00,28505,25470,28575,24655,973429.8125
12/9/2020 8:00,25470,25555,26245,23535,638350
12/10/2020 8:00,25555,23940,25840,23815,372020
12/11/2020 8:00,23940,23360,24155,22030,860961.625
