time,open,close,high,low,volume
1/14/2021 8:00,6875,5705,6878.75,4780,9596.132813
1/15/2021 8:00,5705,4143,6097.5,3587.5,1132.679199
1/16/2021 8:00,4143,4874,5416,4114,33004.00781
1/17/2021 8:00,4874,4066,5042,3563,18615.53711
1/18/2021 8:00,4066,4179,4452,3826,524.2810059
1/19/2021 8:00,4179,4064,5161,4045,20943.89063
1/20/2021 8:00,4064,3329,4134,2704,3638.335938
1/21/2021 8:00,3329,1820,3360,1797,5093.435547
1/22/2021 8:00,1820,2014.5,2291.5,1432.5,2479.610596
1/23/2021 8:00,2019.5,1992,2258,1847,7431.617676
1/24/2021 8:00,1992,2219.5,2372.5,1922,2691.748779
1/25/2021 8:00,2219.5,2058,2686,2058,8834.844727
1/26/2021 8:00,2058,2170,2214,1800,7889.143555
1/27/2021 8:00,2170,1408.5,2170,1312.5,5236.203613
1/28/2021 8:00,1408.5,1795.5,1862.5,1330,14271.89551
1/29/2021 8:00,1795.5,1712.5,1976.5,1544,15519.07031
1/30/2021 8:00,1712.5,1677.5,1737.5,1578,8596.354492
1/31/2021 8:00,1677.5,1696,1803.5,1543,3895.999512
2/1/2021 8:00,1696,1875.5,1923,1642.5,6539.121582
2/2/2021 8:00,1875.5,2149.5,2214.5,1875.5,4568.410156
2/3/2021 8:00,2149.5,2287.5,2407,2149.5,2960.841553
2/4/2021 8:00,2287.5,1917,2381.5,1833.5,11467.08594
2/5/2021 8:00,1917,2288,2297,1833.5,69407.39063
2/6/2021 8:00,2288,2117,2481,2066.5,47802.34766
2/7/2021 8:00,2117,1964,2195.5,1750,18390.44531
2/8/2021 8:00,1964,2302.5,2324.5,1912,36868.55078
2/9/2021 8:00,2302.5,3060,3137,2228.5,158186.0313
2/10/2021 8:00,3060,3549,4144,2707,196782.5156
2/11/2021 8:00,3549,5920,6557.5,3300,244021.5938
2/12/2021 8:00,5920,5835,6590,4670,115552.875
2/13/2021 8:00,5835,9835,11510,5835,217520.2344
2/14/2021 8:00,9835,6362.5,10127.5,6000,109928.6953
2/15/2021 8:00,6362.5,5632.5,7450,2908,111133.6094
