time,open,close,high,low,volume
10/24/2019 8:00,6261.25,9350,10205,6021.25,1103.174805
10/28/2019 8:00,9350,8532.5,11145,7805,0
11/4/2019 8:00,8532.5,9467.5,11230,7807.5,0
11/11/2019 8:00,9467.5,9997.5,10472.5,8115,0
11/18/2019 8:00,9997.5,4056,10660,3881,6015.917969
11/25/2019 8:00,4066,5570,6725,3363,0
12/2/2019 8:00,5570,5035,5595,4197,0
12/9/2019 8:00,5035,4038,5089,3835,0
12/16/2019 8:00,4038,3080,4055,2235,0
12/23/2019 8:00,3080,2877,3137,2258,0
12/30/2019 8:00,2877,2854,3038,2359,0
1/6/2020 8:00,2854,3577,3878,2786,9056.807617
1/13/2020 8:00,3593,4492,5972.5,3248,58107.88281
1/20/2020 8:00,4492,5190,6084,4117,32586.29492
1/27/2020 8:00,5191,9185,10762.5,4982,116831.875
2/3/2020 8:00,9192.5,12030,12670,8235,254076.4844
2/10/2020 8:00,12030,9640,18355,7760,104607.7656
2/17/2020 8:00,9602.5,9047.5,10525,6717.5,35104.05859
2/24/2020 8:00,9047.5,3309,9180,3170,30925.48438
3/2/2020 8:00,3309,2454,4821,2385,36225.28906
3/9/2020 8:00,2454,250,2624,96.80000305,46221.58594
3/16/2020 8:00,250,210.3500061,437.8999939,117.6500015,6393.155762
3/23/2020 8:00,210.3500061,217.6999969,319.7000122,198.3500061,14212.71777
3/30/2020 8:00,217.6999969,314.8999939,358.8999939,216.1000061,63671.48828
4/6/2020 8:00,314.8999939,345.3999939,473.7999878,300.3999939,46938.25
4/13/2020 8:00,345.3999939,390.1000061,442.8999939,270.6000061,100740.6719
4/20/2020 8:00,390.1000061,795.25,804.5,338.3999939,299949
4/27/2020 8:00,795.25,901,1282,707.5,795974.4375
5/4/2020 8:00,901,728,1162.75,508.5,581450.125
5/11/2020 8:00,728,900.75,965.5,606,192669.8906
5/18/2020 8:00,900.75,791.75,1248.5,779,519051.3125
5/25/2020 8:00,791.75,2043,3139.5,773,5356828.5
6/1/2020 8:00,2039.5,2810,3208,1292,7636997
6/8/2020 8:00,2810,1803,2851,1650,2201215.25
6/15/2020 8:00,1803,1913,2387,1300,3074119.5
6/22/2020 8:00,1913,2021.5,2607.5,1638,1771411
6/29/2020 8:00,2021.5,3579,3930,2021.5,2865383.25
7/6/2020 8:00,3579,6660,9100,3488,4638319
7/13/2020 8:00,6660,6077.5,8062.5,4825,4558184.5
7/20/2020 8:00,6077.5,9557.5,10742.5,4827.5,2089600.5
7/27/2020 8:00,9550,5905,9877.5,5175,2054880.125
8/3/2020 8:00,5905,7170,8275,5357.5,1265652.875
8/10/2020 8:00,7170,5950,7355,4142.5,1380423.375
8/17/2020 8:00,5950,3704,6715,3427,824822.1875
8/24/2020 8:00,3704,3015,4204,1955,800110.8125
8/31/2020 8:00,3015,1203,3876,940,1037681.188
9/7/2020 8:00,1203,1269.5,1469.5,946.5,402482.7813
9/14/2020 8:00,1269.5,1040.5,1387,975,172960.4063
9/21/2020 8:00,1040.5,1271,1318.5,580.5,428913.3438
9/28/2020 8:00,1273.5,1067,1468,853,431606.0313
10/5/2020 8:00,1067,1366,1537.5,824.5,232599.125
10/12/2020 8:00,1366,1389,1671,1191.5,295896.0938
10/19/2020 8:00,1389,1289.5,1550,1117,399343.8125
10/26/2020 8:00,1289.5,987,1329.5,746,557411.75
11/2/2020 8:00,987,1130,1438,685.75,738018.8125
11/9/2020 8:00,1130,919,1197.5,862,199195.7813
11/16/2020 8:00,919,2480,2779,893,530127.4375
11/23/2020 8:00,2480,2675,4461,955,1947273.5
11/30/2020 8:00,2675,1848.5,3040,1453,1421239.875
12/7/2020 8:00,1848.5,1563,1861.5,961,537974
12/14/2020 8:00,1563,1710,2222,1407.5,765856.5625
12/21/2020 8:00,1710,1285,1830,674.75,732822.25
12/28/2020 8:00,1285,2515,2653,1251.5,2371067.5
1/4/2021 8:00,2515,4980,10295,1997,3691337.75
1/11/2021 8:00,4980,7407.5,8204,1793,1557334.75
1/18/2021 8:00,7407.5,4946,8257.5,2486,683509.1875
1/25/2021 8:00,4946,4044,5359,2900,758877.6875
2/1/2021 8:00,4044,21900,25595,3600,3460776.75
2/8/2021 8:00,21900,35830,60140,19120,5700940.5
2/15/2021 8:00,35830,63500,76600,17380,6861705
2/22/2021 8:00,63500,65375,94500,18885,12701076
3/1/2021 8:00,65375,38360,70925,29320,5304797
3/8/2021 8:00,38360,28000,47450,23140,4130455
3/15/2021 8:00,27990,32210,66000,23500,10650562
3/22/2021 8:00,32210,28940,36100,20400,3654729.5
3/29/2021 8:00,28940,26470,32220,24800,2261370.75
4/5/2021 8:00,26470,29510,37030,23700,3422256.75
4/12/2021 8:00,29510,20730,51060,11610,12158489
4/19/2021 8:00,20730,9905,23190,6200,3919675.75
4/26/2021 8:00,9905,16650,20250,9650,3408266.25
5/3/2021 8:00,16650,33030,36030,13670,13238839
5/10/2021 8:00,33030,54220,64260,16610,20170598
5/17/2021 8:00,54220,2054,55120,1050.5,10591757
5/24/2021 8:00,2054,2749,4885,1714,5433062.5
5/31/2021 8:00,2749,2977,4487,2487,4331146
6/7/2021 8:00,2977,2254,3345,1491,2508424.25
6/14/2021 8:00,2254,1702.5,2470,1296.5,1620097.625
6/21/2021 8:00,1702.5,1090.5,1732,512.5,1685427.375
6/28/2021 8:00,1090.5,1392.5,1483.5,947,1519143.5
7/5/2021 8:00,1392.5,1082,1392.5,941.5,920092.875
7/12/2021 8:00,1082,720.75,1141,662,431192.125
7/19/2021 8:00,720.75,773,813.25,447.25,1377729.875
7/26/2021 8:00,773,942.25,1096,742.75,1323527.375
8/2/2021 8:00,942.25,1172.5,1354,828,2403984.75
8/9/2021 8:00,1172.5,3627,4078,1093,11383525
8/16/2021 8:00,3627,6105,6199,2271,22654064
8/23/2021 8:00,6105,6295,7862.5,4265,39049328
8/30/2021 8:00,6295,6452.5,7847.5,5269,18840046
9/6/2021 8:00,6452.5,2881,6522.5,1650,24407192
9/13/2021 8:00,2881,1913.5,2908,1858.5,8757821
9/20/2021 8:00,1913.5,1440.5,1973,1052,14102380
9/27/2021 8:00,1440.5,1484,1623.5,1086.5,6630292.5
10/4/2021 8:00,1484,1330.5,1700,1204,5885196
10/11/2021 8:00,1330.5,1244.5,1438,1118,4838466
10/18/2021 8:00,1244.5,1155.5,1481.5,1088,6555052.5
10/25/2021 8:00,1155.5,849.5,1289.5,712,5166330.5
11/1/2021 8:00,849.5,895.25,1069,782.75,7179796.5
11/8/2021 8:00,895.25,834,1390.25,758.75,14819746
11/15/2021 8:00,834,557.5,900,437.5,7015842
11/22/2021 8:00,557.5,347.2000122,561,242.5,4902697.5
11/29/2021 8:00,347.2000122,171,442,115,5567897
12/6/2021 8:00,171,148.3000031,211.1499939,105.75,3606795.25
12/13/2021 8:00,148.3000031,108.5500031,151.8000031,92.75,4308631.5
