time,open,close,high,low,volume
4/13/2020 8:00,6225.75,6512.5,6721,6088,0
4/20/2020 8:00,6512.5,7107,7254,6264,0
4/27/2020 8:00,7107,6744,7193,6543,0
5/4/2020 8:00,6744,6501,7001.5,6284,0
5/11/2020 8:00,6501,6543,6665.5,6226,0
5/18/2020 8:00,6543,6526,6777.5,6297,0
5/25/2020 8:00,6526,7082,7451.5,6471.5,0
6/1/2020 8:00,7082,7072,7465.5,6907.5,0
6/8/2020 8:00,7072,7039,7316,6928.5,0
6/15/2020 8:00,7039,6992.5,7285,6579,0
6/22/2020 8:00,6992.5,6582.5,7339.5,6427.5,0
6/29/2020 8:00,6582.5,6702.5,6756.5,6490.5,0
7/6/2020 8:00,6702.5,7615.5,7822.5,6689.5,0
7/13/2020 8:00,7615.5,9002.5,9108,6842.5,0
7/20/2020 8:00,9002.5,8175.5,9061,7895,0
7/27/2020 8:00,8175.5,7874,8497,7374.5,0
8/3/2020 8:00,7874,9400.5,9884.5,7775,0
8/10/2020 8:00,9400.5,11632.5,12784,8999,0
8/17/2020 8:00,11632.5,11506,12215.5,9483.5,0
8/24/2020 8:00,11506,10565.5,11967,10340,0
8/31/2020 8:00,10565.5,9089.5,10920,8354.5,0
9/7/2020 8:00,9089.5,9093,9933.5,8537.5,0
9/14/2020 8:00,9093,8503.5,9241.5,8309.5,0
9/21/2020 8:00,8503.5,8457,8805,7671,0
9/28/2020 8:00,8457,8325,9060,8077,0
10/5/2020 8:00,8325,8590,8805,7851,0
10/12/2020 8:00,8590,8362.5,8946.5,8105.5,0
10/19/2020 8:00,8362.5,8151.25,8480.5,7897.5,0
10/26/2020 8:00,8151.25,7525,8211.5,7243.5,0
11/2/2020 8:00,7525,7624.5,8068,7016,0
11/9/2020 8:00,7624.5,7529.5,8023,7421,0
11/16/2020 8:00,7529.5,8132,8409,7490.5,0
11/23/2020 8:00,8132,8306,9568,8028,0
11/30/2020 8:00,8306,8584.5,9054.5,8178.5,0
12/7/2020 8:00,8584.5,8267,8666.5,7826.5,0
12/14/2020 8:00,8267,8558,9131.5,8182,0
12/21/2020 8:00,8558,8293,8920.5,7772.5,0
12/28/2020 8:00,8293,9528.5,10097.5,8293,0
1/4/2021 8:00,9528.5,9752.5,10648.5,8293,0
