time,open,close,high,low,volume
4/13/2020 8:00,6225.375,6496,6718.5,6183.75,0
4/20/2020 8:00,6496,7052.75,7233.25,6301.25,0
4/27/2020 8:00,7052.75,6986.75,7377.75,6845.75,0
5/4/2020 8:00,6986.75,6629.75,7087,6355.25,0
5/11/2020 8:00,6629.75,6668,6781,6319.75,0
5/18/2020 8:00,6668,6596.5,6903.25,6537.5,0
5/25/2020 8:00,6596,6881.75,7085.5,6555.75,0
6/1/2020 8:00,6880.5,7225.25,7441.5,6779.75,0
6/8/2020 8:00,7225.25,6906,7418,6862.5,0
6/15/2020 8:00,6906,6679.25,6932.5,6613.25,0
6/22/2020 8:00,6679.25,6545.25,7025,6261.25,0
6/29/2020 8:00,6545.25,7041,7110,6499,0
7/6/2020 8:00,7041,8248.5,8684.5,7025,0
7/13/2020 8:00,8248.5,8424.5,8728,7450,0
7/20/2020 8:00,8424.5,7999,8474.5,7887.5,0
7/27/2020 8:00,7999,8021,8375.5,7088,0
8/3/2020 8:00,8021,9297,9456.5,7125.5,0
8/10/2020 8:00,9297,10100.5,10437.5,8823.5,4013.655273
8/17/2020 8:00,10100.5,11968,12009,9010,0
8/24/2020 8:00,11968,11296.5,12203,10762.5,0
8/31/2020 8:00,11296.5,9408,11434.5,8778.5,0
9/7/2020 8:00,9408,9540.5,10003.5,8895,0
9/14/2020 8:00,9540.5,8937,9725.5,8825,0
9/21/2020 8:00,8937,9048,9540.5,8088.5,0
9/28/2020 8:00,9048,9570,9819,8980,0
10/5/2020 8:00,9570,10251.5,10420.5,8904,0
10/12/2020 8:00,10251.5,10006,10388,9540.5,0
10/19/2020 8:00,9990.5,9611,10011.5,9349,0
10/26/2020 8:00,9611,9120.5,9677.5,8739.5,0
11/2/2020 8:00,9120.5,9150,9494.5,8590.5,0
11/9/2020 8:00,9150,9313.5,9611,8960.5,0
11/16/2020 8:00,9313.5,9779.5,10213,9006.5,0
11/23/2020 8:00,9779.5,9714,10607,9118,0
11/30/2020 8:00,9714,9540.5,9967.5,9173,0
12/7/2020 8:00,9540.5,9514.5,9676.5,8755.5,0
12/14/2020 8:00,9514.5,9326,9914,8942,0
12/21/2020 8:00,9326,9135.5,9450,8600,0
12/28/2020 8:00,9135.5,10059.5,10672.5,9068,0
1/4/2021 8:00,10059.5,10734.5,11159,9343.5,0
1/11/2021 8:00,10734.5,12229.5,12962,9677.5,0
1/18/2021 8:00,12229.5,12100.5,13383,10734.5,0
1/25/2021 8:00,12100.5,12028,12581,10734.5,0
2/1/2021 8:00,12028,15830,15917,11309.5,0
2/8/2021 8:00,15830,18531,20074,15024,0
