time,open,close,high,low,volume
8/6/2019 8:00,3148,2855.5,3760.25,2737,1882.320923
8/12/2019 8:00,2855.5,3042,3282.5,2822,0
8/19/2019 8:00,3044.5,3176.75,3232.5,2894.5,0
8/26/2019 8:00,3176.75,3776.25,3888.75,3044.5,0
9/2/2019 8:00,3776.25,3558,3850,3397.5,0
9/9/2019 8:00,3558,3883,4009.5,3538,0
9/16/2019 8:00,3883,3815,3961.5,3354,0
9/23/2019 8:00,3814.5,4931.5,5196,3813,0
9/30/2019 8:00,4931.5,4924.5,5117,4542,0
10/7/2019 8:00,4924.5,3915.5,4978,3797.5,0
10/14/2019 8:00,3915.5,3834.5,4101,3727.5,0
10/21/2019 8:00,3834.5,3582,4328,3489,0
10/28/2019 8:00,3582,3442,3592,3236.5,0
11/4/2019 8:00,3441.5,3395,3596.5,3316,0
11/11/2019 8:00,3395,3441.5,3513.5,3181.5,0
11/18/2019 8:00,3437,4496,4662.5,3437,0
11/25/2019 8:00,4496.5,4298.75,4816,4073.25,0
12/2/2019 8:00,4301,4206,4477,4135.5,0
12/9/2019 8:00,4206,4515.5,4601.5,4154.25,0
12/16/2019 8:00,4515.5,4586.5,5259.5,4503.5,0
12/23/2019 8:00,4584.5,4472,4887,4435.5,0
12/30/2019 8:00,4473.5,4457.5,4869.5,4370,0
1/6/2020 8:00,4457.5,4035,4473,4000,0
1/13/2020 8:00,4035,3534,4157.5,3306.5,0
1/20/2020 8:00,3534,3490,3712,3330.5,0
1/27/2020 8:00,3488,3285.5,3540.5,3214,0
2/3/2020 8:00,3285.5,2414.5,3376,2413.75,0
2/10/2020 8:00,2415.75,2502,2662.5,2156.5,0
2/17/2020 8:00,2502,2518.25,2758.5,2369,0
2/24/2020 8:00,2518.25,2983.25,3200.75,2473,0
3/2/2020 8:00,2986,3191.25,3210.5,2548.75,0
3/9/2020 8:00,3193,4101,6160.5,3085,0
3/16/2020 8:00,4101,3646,4897.5,2949.75,0
3/23/2020 8:00,3647.5,3456.5,3750,2977,0
3/30/2020 8:00,3456.5,2775.5,3577.5,2705.75,0
4/6/2020 8:00,2775.5,2593.25,2785.25,2419.75,0
4/13/2020 8:00,2593.5,2202.75,2785.25,2105.25,0
4/20/2020 8:00,2202.75,2121.75,2383,2112,0
4/27/2020 8:00,2121.75,2000,2324,1895.75,0
5/4/2020 8:00,2000,2189.25,2412,1932,0
5/11/2020 8:00,2189.25,2026.75,2695.75,1986,0
5/18/2020 8:00,2026.75,2051.75,2256.75,1897.5,0
5/25/2020 8:00,2051.75,1893.25,2458.5,1779.25,0
6/1/2020 8:00,1893.25,1837.25,1931.75,1768.75,0
6/8/2020 8:00,1837.25,1912.25,1999,1826.25,0
6/15/2020 8:00,1912.25,1985.75,2035.25,1828.5,0
6/22/2020 8:00,1985.75,2057.5,2136,1828.5,0
6/29/2020 8:00,2057.5,2054,2100.75,1993.25,0
7/6/2020 8:00,2054,1739.75,2054,1708.75,128.2838287
7/13/2020 8:00,1739.75,1754,1910.75,1672,48.22200012
7/20/2020 8:00,1754,1617.199951,1827.5,1558.5,48.1595192
7/27/2020 8:00,1617.199951,1512.900024,1706,1423,0
8/3/2020 8:00,1512.900024,1376,1521.400024,1333.099976,0
8/10/2020 8:00,1376,1297,1481.199951,1282.199951,0
8/17/2020 8:00,1297,1391.699951,1450.199951,1273.599976,0
8/24/2020 8:00,1391.699951,1281.5,1442.900024,1270.199951,0
8/31/2020 8:00,1281.5,1210.599976,1572.099976,1167.099976,0
9/7/2020 8:00,1210.599976,857.5999756,1374.900024,823.4000244,0
9/14/2020 8:00,857.5999756,967.2000122,1009,794.4000244,0
9/21/2020 8:00,967.2000122,941.9000244,1112.699951,920.7999878,0
9/28/2020 8:00,941.9000244,825.5999756,949.4000244,822.7000122,0
10/5/2020 8:00,825.5999756,826.5999756,900.2999878,805.7999878,0
10/12/2020 8:00,826.5999756,755,828.7000122,727.2999878,0
10/19/2020 8:00,754.2999878,758.1500244,803.2000122,730,0
10/26/2020 8:00,758.1500244,792.5999756,819.9500122,700.6500244,0
11/2/2020 8:00,792.4500122,791,870.0999756,753.0999756,0
11/9/2020 8:00,791,811.9000244,829.5,775.2000122,0
11/16/2020 8:00,811.9000244,746.5999756,821.5,718.5,0
11/23/2020 8:00,746.5999756,728.5,842.2999878,627.2999878,0
11/30/2020 8:00,728.5,740.2999878,761.9000244,686.2000122,0
12/7/2020 8:00,740.2999878,746.5,842.2999878,736.2000122,0
12/14/2020 8:00,746.5,631.6500244,759.7000122,602.4500122,0
12/21/2020 8:00,631.6500244,642.25,718.25,604.9500122,0
12/28/2020 8:00,642.25,516.3499756,650.2999878,508.6499939,0
1/4/2021 8:00,516.3499756,506.0499878,560.1500244,466.2000122,0
1/11/2021 8:00,506.0499878,453.1000061,560.1500244,443.8500061,0
1/18/2021 8:00,453.1000061,483.6000061,560.1500244,437.7000122,0
1/25/2021 8:00,483.6000061,450.3999939,534.0499878,440.6000061,0
2/1/2021 8:00,450.3999939,270.2749939,460.5499878,245.6499939,0
2/8/2021 8:00,270.2749939,121.4300003,272.9500122,113.1699982,0
2/15/2021 8:00,121.4300003,44.29499817,132.2799988,41.70500183,0
2/22/2021 8:00,44.29499817,58.31499863,61.99000168,44.02999878,0
3/1/2021 8:00,58.31499863,49.07500076,58.31499863,44.84500122,0
3/8/2021 8:00,49.07500076,41.51499939,50.91999817,35.52999878,0
3/15/2021 8:00,41.51499939,40.95999908,45.10499954,39.52000046,0
3/22/2021 8:00,40.95999908,39.90000153,48.47999954,38.95999908,0
3/29/2021 8:00,39.90000153,30.27499962,40.63000107,29.625,0
4/5/2021 8:00,30.27499962,19.38999939,31.51749992,19.23250008,0
4/12/2021 8:00,19.38999939,20.70750046,22.33499908,15.63249969,0
4/19/2021 8:00,20.70750046,18.85750008,21.35250092,15.89500046,0
4/26/2021 8:00,18.85750008,15.16800022,18.92250061,14.61800003,0
5/3/2021 8:00,15.16800022,13.8760004,15.21100044,13.48999977,0
5/10/2021 8:00,13.8760004,15.62699986,16.6760006,13.21399975,187354.0938
5/17/2021 8:00,15.62699986,27.97750092,31.22249985,15.56900024,173323.1875
5/24/2021 8:00,27.97750092,20.25749969,28.20249939,17.66749954,96744.90625
5/31/2021 8:00,20.25749969,16.00499916,21.39249992,14.65750027,253220.5781
6/7/2021 8:00,16.00499916,16.70999908,19.12249947,15.43500042,105543.9609
6/14/2021 8:00,16.70999908,17.85250092,19.32500076,16.07999992,0
6/21/2021 8:00,17.85250092,19.04249954,24.47500038,17.69249916,68957.84375
6/28/2021 8:00,19.04249954,17.63999939,19.73250008,17.29000092,0
7/5/2021 8:00,17.63999939,16.65749931,18.49749947,15.90999985,0
7/12/2021 8:00,16.65749931,17.48999977,18.28249931,16.04249954,0
7/19/2021 8:00,17.48999977,17.05249977,20.37999916,16.76499939,0
7/26/2021 8:00,17.05249977,15.34700012,17.17250061,14.72099972,0
8/2/2021 8:00,15.34700012,14.77600002,16.04899979,14.16100025,0
8/9/2021 8:00,14.8210001,12.09399986,15.17800045,12.02099991,0
8/16/2021 8:00,12.09399986,11.1079998,12.93799973,10.82400036,0
8/23/2021 8:00,11.1079998,10.18299961,11.17000008,9.442000389,0
8/30/2021 8:00,10.18299961,9.626000404,10.72599983,9.5,0
9/6/2021 8:00,9.626000404,11.31099987,12.14299965,9.545000076,0
9/13/2021 8:00,11.29800034,11.35499954,11.99499989,10.69900036,0
9/20/2021 8:00,11.35499954,12.96800041,13.88199997,11.32199955,0
9/27/2021 8:00,12.96800041,10.08399963,13.52999973,9.934000015,0
10/4/2021 8:00,10.08399963,10.60900021,10.64900017,9.583000183,0
10/11/2021 8:00,10.60900021,9.017999649,10.88399982,8.765999794,0
10/18/2021 8:00,9.017999649,8.744999886,9.06400013,8.324000359,0
10/25/2021 8:00,8.744999886,7.874000072,9.354999542,7.643000126,0
11/1/2021 8:00,7.874000072,6.249000072,8.029000282,6.045499802,0
11/8/2021 8:00,6.247000217,6.189499855,6.859000206,6.098999977,0
11/15/2021 8:00,6.189499855,6.669499874,7.583499908,6.098499775,0
11/22/2021 8:00,6.669499874,6.391499996,7.013999939,5.948999882,0
11/29/2021 8:00,6.391499996,6.744999886,7.349500179,5.936999798,0
12/6/2021 8:00,6.744999886,6.544000149,7.022999763,6.090000153,0
12/13/2021 8:00,6.544000149,6.917500019,7.326000214,6.504000187,0
12/20/2021 8:00,6.917500019,6.689499855,7.19299984,6.600999832,0
12/27/2021 8:00,6.689499855,6.840000153,7.143000126,6.389500141,0
1/3/2022 8:00,6.840000153,8.144000053,8.531999588,6.815499783,0
1/10/2022 8:00,8.144000053,6.972499847,8.687999725,6.871500015,0
1/17/2022 8:00,6.972499847,8.68500042,9.795999527,6.962500095,0
1/24/2022 8:00,8.68500042,8.727999687,9.711000443,8.258000374,0
1/31/2022 8:00,8.727999687,7.745999813,9.095999718,7.528999805,0
2/7/2022 8:00,7.745999813,8.048999786,8.152999878,7.297999859,0
2/14/2022 8:00,8.048999786,8.277999878,8.388999939,7.244999886,0
2/21/2022 8:00,8.277999878,8.642999649,9.496999741,8.015999794,0
2/28/2022 8:00,8.642999649,8.093000412,8.727999687,7.25,0
3/7/2022 8:00,8.093000412,8.270000458,8.300999641,7.493000031,11154.36523
3/14/2022 8:00,8.270000458,7.606999874,8.30700016,7.333000183,0
3/21/2022 8:00,7.606999874,6.875999928,7.679999828,6.862999916,0
3/28/2022 8:00,6.875999928,6.531499863,7.260000229,6.447000027,0
4/4/2022 8:00,6.531499863,6.983500004,6.992499828,6.389500141,0
4/11/2022 8:00,6.982500076,7.104000092,7.422500134,6.80700016,0
4/18/2022 8:00,7.104000092,7.203999996,7.281000137,6.702000141,0
4/25/2022 8:00,7.203999996,7.264999866,7.55700016,6.97149992,0
5/2/2022 8:00,7.264999866,7.890999794,7.968999863,6.843500137,0
5/9/2022 8:00,7.890999794,8.194999695,11.81299973,7.818999767,0
5/16/2022 8:00,8.194999695,7.868999958,8.80300045,7.769999981,0
5/23/2022 8:00,7.868999958,8.11400032,8.493000031,7.420000076,0
5/30/2022 8:00,8.11400032,8.164999962,8.321000099,7.600999832,0
6/6/2022 8:00,8.164999962,9.482999802,9.588999748,7.831999779,0
6/13/2022 8:00,9.482999802,10.59799957,12.2869997,9.413999557,0
6/20/2022 8:00,10.59799957,9.565999985,11.01200008,9.166000366,0
6/27/2022 8:00,9.565999985,10.18299961,10.78100014,9.241000175,2843.42627
7/4/2022 8:00,10.18299961,9.371999741,10.38599968,8.951999664,0
7/11/2022 8:00,9.371999741,8.75,10.0909996,8.517999649,0
7/18/2022 8:00,8.75,8.236000061,8.753000259,7.881999969,0
7/25/2022 8:00,8.236000061,7.585999966,8.892999649,7.538000107,0
