time,open,close,high,low,volume
2/16/2022 8:00,2.24E-06,1.97E-06,2.44E-06,1.93E-06,48627.01953
2/21/2022 8:00,1.97E-06,1.85E-06,2.08E-06,1.7E-06,16326.03027
2/28/2022 8:00,1.85E-06,1.8E-06,2.11E-06,1.73E-06,24947.28906
3/7/2022 8:00,1.8E-06,1.74E-06,1.92E-06,1.7E-06,13346.48047
3/14/2022 8:00,1.74E-06,1.83E-06,1.93E-06,1.7E-06,8381.360352
3/21/2022 8:00,1.83E-06,2.14E-06,2.28E-06,1.79E-06,34158.53125
3/28/2022 8:00,2.14E-06,2.23E-06,2.5E-06,2E-06,72319.46094
4/4/2022 8:00,2.23E-06,1.96E-06,2.26E-06,1.89E-06,29295.28906
4/11/2022 8:00,1.96E-06,1.89E-06,2.1E-06,1.73E-06,41798.14844
4/18/2022 8:00,1.89E-06,1.84E-06,2.06E-06,1.82E-06,24216.78906
4/25/2022 8:00,1.84E-06,1.73E-06,1.93E-06,1.59E-06,18123.85938
5/2/2022 8:00,1.73E-06,1.61E-06,1.9E-06,1.57E-06,17321.83984
5/9/2022 8:00,1.61E-06,1.19E-06,1.62E-06,9.7E-07,100720.0469
5/16/2022 8:00,1.19E-06,1.13E-06,1.34E-06,9.8E-07,206373.2344
5/23/2022 8:00,1.13E-06,1.04E-06,1.19E-06,7.9E-07,131140.5781
5/30/2022 8:00,1.04E-06,1.08E-06,1.16E-06,1.03E-06,61658.44922
6/6/2022 8:00,1.08E-06,9.4E-07,1.13E-06,9.1E-07,75385.74219
6/13/2022 8:00,9.4E-07,8E-07,9.4E-07,6.3E-07,61324.89844
6/20/2022 8:00,8E-07,8.7E-07,9.7E-07,6.8E-07,95946.5625
6/27/2022 8:00,8.7E-07,8.1E-07,1.04E-06,7.6E-07,138685.625
7/4/2022 8:00,8.1E-07,9E-07,9.6E-07,8E-07,52531.78906
7/11/2022 8:00,9E-07,9E-07,9.3E-07,8E-07,28739.33008
7/18/2022 8:00,9E-07,9.3E-07,1.12E-06,8.4E-07,402590.2188
7/25/2022 8:00,9.3E-07,9.6E-07,9.7E-07,8.3E-07,9721.240234
