time,open,close,high,low,volume
10/22/2019 8:00,6260,5730,17007.5,4095,1538.410767
10/28/2019 8:00,5730,5150,6312.5,4982,0
11/4/2019 8:00,5150,6135,6197.5,4905,0
11/11/2019 8:00,6135,5001,6150,4416,4174.613281
11/18/2019 8:00,5002,2994,5025,2746,0
11/25/2019 8:00,2994,2993,3419,2424,0
12/2/2019 8:00,2993,2717,3050,2397,0
12/9/2019 8:00,2717,2504,2797,2384,0
12/16/2019 8:00,2504,2227,2536,1687,0
12/23/2019 8:00,2227,2018.5,2303.5,1864,0
12/30/2019 8:00,2018.5,2258.5,2331,1888,0
1/6/2020 8:00,2258.5,2729,2859,2246.5,0
1/13/2020 8:00,2736,3326,4183,2607,0
1/20/2020 8:00,3326,2722,3382,2508,0
1/27/2020 8:00,2722,3274,3411,2659,0
2/3/2020 8:00,3274,6862.5,9057.5,3087,0
2/10/2020 8:00,6862.5,3581,7285,2996,0
2/17/2020 8:00,3581,3098,4030,2716,0
2/24/2020 8:00,3098,1792.5,3148,1631,0
3/2/2020 8:00,1792.5,1487,2515,1487,0
3/9/2020 8:00,1487,379.2999878,1681.5,161.6000061,0
3/16/2020 8:00,379.2999878,396.3999939,522.5999756,217.1999969,0
3/23/2020 8:00,396.5,380.1000061,524.7000122,369.7999878,0
3/30/2020 8:00,380.2000122,476.2000122,574.2000122,375.1000061,0
4/6/2020 8:00,476.2000122,575.75,645,473.7999878,0
4/13/2020 8:00,575.75,619.25,657.25,486,0
4/20/2020 8:00,619.25,982.25,1043.5,544.5,0
4/27/2020 8:00,982.25,1126.5,1341,866.75,0
5/4/2020 8:00,1126.5,926.75,1333.5,743,0
5/11/2020 8:00,926.75,994,1131.5,774,0
5/18/2020 8:00,994,844,1045.25,840,0
5/25/2020 8:00,844,886,988.25,820,0
6/1/2020 8:00,886,877.25,1072.75,843.5,0
6/8/2020 8:00,877.25,725.75,880,677.25,0
6/15/2020 8:00,725.75,651,726.5,643,0
6/22/2020 8:00,651,554.75,701,521.75,0
6/29/2020 8:00,554.75,548.75,1389.5,532.5,62762.92188
7/6/2020 8:00,548.75,1163.5,3875,543.5,0
7/13/2020 8:00,1163.5,820,1164,517.25,0
7/20/2020 8:00,820,712,862.75,647,0
7/27/2020 8:00,712,678.5,1114,577.25,0
8/3/2020 8:00,678.5,749.5,862.25,649.25,0
8/10/2020 8:00,749.5,729,812,641,0
8/17/2020 8:00,729,628,862,596,0
8/24/2020 8:00,628,575,662,497.25,0
8/31/2020 8:00,575,327,580,288.7999878,0
9/7/2020 8:00,327,332.1000061,352,294.6000061,0
9/14/2020 8:00,332.1000061,343.1000061,370.7999878,320.3999939,0
9/21/2020 8:00,343.1000061,309.8999939,351.5,254.1000061,0
9/28/2020 8:00,309.8999939,296.7999878,324.2000122,262.8999939,0
10/5/2020 8:00,296.7999878,313,329.3999939,271.3999939,0
10/12/2020 8:00,313,291.6000061,324.7999878,267.5,0
10/19/2020 8:00,291.6000061,318.7000122,325,283.1000061,0
10/26/2020 8:00,318.7000122,278.3999939,401.8999939,266.7000122,0
11/2/2020 8:00,278.3999939,325.7000122,370.2999878,239.6999969,0
11/9/2020 8:00,325.7000122,330,373,301.6000061,0
11/16/2020 8:00,330,518.7000122,707.75,330,0
11/23/2020 8:00,518.7000122,452.5,991.75,276.1000061,0
11/30/2020 8:00,452.5,418.1000061,551.0999756,351.3999939,0
12/7/2020 8:00,418.1000061,356.2999878,420.7999878,282.2999878,0
12/14/2020 8:00,356.2999878,904.75,939.5,334.1000061,0
12/21/2020 8:00,904.75,689,1350,369,0
12/28/2020 8:00,689,3377,8945.5,538.5999756,0
1/4/2021 8:00,3377,2967,4876,1500,0
1/11/2021 8:00,2967,1261,2977,742,0
1/18/2021 8:00,1261,1053.5,1500,680,0
1/25/2021 8:00,1053.5,8175,19502.5,561,0
2/1/2021 8:00,8175,38180,46995,3990,0
2/8/2021 8:00,38180,13390,42860,9602.5,0
2/15/2021 8:00,13390,6577.5,14265,4665,0
2/22/2021 8:00,6577.5,3093,8450,2105,0
3/1/2021 8:00,3093,3871,4042,3000,0
3/8/2021 8:00,3871,4607.5,6300,3784,0
3/15/2021 8:00,4607.5,4109,4846,3734,0
3/22/2021 8:00,4109,3072,4283,2515,0
3/29/2021 8:00,3072,3323,5800,2732,0
4/5/2021 8:00,3323,5975,7000,3018,0
4/12/2021 8:00,5975,76525,230000,4587.5,0
4/19/2021 8:00,76525,18285,159000,8960,0
4/26/2021 8:00,18285,51025,62750,17480,0
5/3/2021 8:00,51025,70600,205850,31470,0
5/10/2021 8:00,70600,29120,70775,15550,0
5/17/2021 8:00,29120,1484.5,29480,801.5,0
5/24/2021 8:00,1484.5,1174.5,2690.5,901,0
5/31/2021 8:00,1174.5,1811,3288,1077.5,0
6/7/2021 8:00,1811,1020,1932,814.25,0
6/14/2021 8:00,1020,643.5,1150,465.25,0
6/21/2021 8:00,643.5,346.7999878,647.75,101,0
6/28/2021 8:00,346.7999878,269.6000061,380.5,239.1000061,0
7/5/2021 8:00,269.6000061,172.25,270.1000061,128.6000061,0
7/12/2021 8:00,172.25,95.57499695,179.6999969,78.55000305,0
7/19/2021 8:00,95.57499695,120.3000031,138.1000061,63.375,0
7/26/2021 8:00,120.3000031,130.6999969,183.1999969,115,0
8/2/2021 8:00,130.6999969,171.6999969,295.2999878,110.4499969,0
8/9/2021 8:00,171.6999969,441.7999878,476,151,0
8/16/2021 8:00,441.7999878,326.2000122,480.2999878,225,0
8/23/2021 8:00,326.2000122,203,368.3999939,173,0
8/30/2021 8:00,203,271.5,274.2000122,176.3500061,0
9/6/2021 8:00,271.5,101.875,285.7999878,58.67499924,0
9/13/2021 8:00,101.875,79,109.5999985,74.30000305,0
9/20/2021 8:00,79,47,79.47499847,39.16999817,0
9/27/2021 8:00,46.86000061,57.125,60.84999847,39.72000122,0
10/4/2021 8:00,57.125,59,101,50.57500076,0
10/11/2021 8:00,59,64.67500305,71.375,49.40000153,0
10/18/2021 8:00,64.67500305,95.27500153,101.0999985,61.42499924,0
10/25/2021 8:00,95.27500153,76.97499847,129.4499969,46.72499847,0
