time,open,close,high,low,volume
4/13/2020 8:00,6248.875,6472.25,6531.25,6187.5,0
4/20/2020 8:00,6472.25,7054,7120.25,6308.25,0
4/27/2020 8:00,7054,7183,34245,6587.5,1868.526001
5/4/2020 8:00,7183,7108.5,7459,6823,0
5/11/2020 8:00,7108.5,7188.5,7367,6909,0
5/18/2020 8:00,7188.5,7027,7272,7017.5,0
5/25/2020 8:00,7027,7136.5,7226,6997.5,0
6/1/2020 8:00,7136.5,7137.5,7312,7069,0
6/8/2020 8:00,7137.5,6924.5,7232.5,6826,0
6/15/2020 8:00,6924.5,6782.5,7232.5,6753,0
6/22/2020 8:00,6782.5,6590,7232.5,6527,0
6/29/2020 8:00,6590,6569.5,6777,6537,0
7/6/2020 8:00,6569.5,8471,10393,6557.5,0
7/13/2020 8:00,8471,8234.5,8696,7292,0
7/20/2020 8:00,8234.5,8064.5,8284.5,7790.5,0
7/27/2020 8:00,8064.5,8153,8820.5,7772,0
8/3/2020 8:00,8153,8300.5,8535,8046,0
8/10/2020 8:00,8300.5,8307,8445,7400,0
8/17/2020 8:00,8307,8094.5,8547,7915,0
8/24/2020 8:00,8094.5,8008.5,8188,7666.5,0
8/31/2020 8:00,8008.5,7400,8018,6587.5,0
9/7/2020 8:00,7400,7437,7497.5,7121.5,0
9/14/2020 8:00,7437,7439.5,7554,7288,0
9/21/2020 8:00,7439.5,7377,7479,6587.5,0
9/28/2020 8:00,7377,7297.5,7428.5,6952,0
10/5/2020 8:00,7297.5,7374.5,7427,7004,0
10/12/2020 8:00,7374.5,7278,7427.5,7082,0
10/19/2020 8:00,7278,7367,7419.5,7194.5,0
10/26/2020 8:00,7367,7227.5,7722.5,6587.5,0
11/2/2020 8:00,7227.5,7388.5,7565,6996,0
11/9/2020 8:00,7388.5,7448,7633.5,7294,0
11/16/2020 8:00,7448,8130.5,8568,7407,0
11/23/2020 8:00,8130.5,8346.5,9203.5,7719.5,0
11/30/2020 8:00,8346.5,8264,8684,8095,0
12/7/2020 8:00,8264,8098,8366,7769.5,0
12/14/2020 8:00,8098,9572,9678,7986.5,0
12/21/2020 8:00,9572,9485,10393.5,8634,0
12/28/2020 8:00,9485,14572,18311,9131.5,0
1/4/2021 8:00,14572,14337,15892,10139,0
1/11/2021 8:00,14337,14065,14796,10858.5,0
1/18/2021 8:00,14065,13805.5,14523,12341,0
1/25/2021 8:00,13805.5,42110,66572.5,12099.5,0
2/1/2021 8:00,42245,63880,68050,38645,0
2/8/2021 8:00,63880,56632.5,66680,54500,0
2/15/2021 8:00,56632.5,53277.5,64232.5,42690,0
2/22/2021 8:00,53277.5,50410,55410,47580,0
3/1/2021 8:00,50410,51735,52072.5,50192.5,0
3/8/2021 8:00,51735,55320,57282.5,50820,0
3/15/2021 8:00,55320,54702.5,56495,53765,0
3/22/2021 8:00,54702.5,52417.5,54702.5,50640,0
3/29/2021 8:00,52417.5,53482.5,59382.5,51240,0
4/5/2021 8:00,53482.5,60042.5,62522.5,53242.5,0
4/12/2021 8:00,60042.5,136740,167010,56015,0
4/19/2021 8:00,136740,123485,160740,106960,0
4/26/2021 8:00,123485,153420,157410,122420,0
5/3/2021 8:00,153420,191520,218250,153420,0
5/10/2021 8:00,191520,186410,200190,141000,0
5/17/2021 8:00,186410,146230,186660,135250,0
5/24/2021 8:00,146230,146800,163590,143050,0
5/31/2021 8:00,146800,163700,179380,145780,0
6/7/2021 8:00,163700,153060,165550,147690,0
6/14/2021 8:00,153060,142130,156150,136670,0
6/21/2021 8:00,142130,143550,149830,113880,0
6/28/2021 8:00,143550,138830,146695,137135,0
7/5/2021 8:00,138830,130485,138830,124560,0
7/12/2021 8:00,130485,120065,132245,115730,0
7/19/2021 8:00,120065,125010,130415,112910,0
7/26/2021 8:00,125010,127295,135645,124585,0
8/2/2021 8:00,127295,138945,150250,123915,0
8/9/2021 8:00,138945,165590,166760,136195,0
8/16/2021 8:00,165590,158100,167280,150160,0
8/23/2021 8:00,158100,149680,161400,145900,0
8/30/2021 8:00,149680,157670,157940,147110,0
9/6/2021 8:00,157670,141860,159050,134260,0
9/13/2021 8:00,141860,136645,143740,136060,0
9/20/2021 8:00,136645,128010,137220,125205,0
9/27/2021 8:00,128010,133665,134565,125185,0
10/4/2021 8:00,133665,136800,147500,130925,0
10/11/2021 8:00,136800,138555,139715,132505,0
10/18/2021 8:00,138250,149000,149000,137460,0
10/25/2021 8:00,149000,150730,166545,134910,0
11/1/2021 8:00,150730,146070,151610,142350,0
11/8/2021 8:00,146070,144770,154180,140330,0
11/15/2021 8:00,144770,134800,145400,131800,0
11/22/2021 8:00,134800,127565,137195,126690,0
11/29/2021 8:00,127565,116975,132845,109275,0
12/6/2021 8:00,116975,117165,121390,114615,0
12/13/2021 8:00,117165,117650,133920,110965,151498
12/20/2021 8:00,117650,124305,125850,114850,0
12/27/2021 8:00,124305,118860,125025,111920,131180.2188
1/3/2022 8:00,118860,110835,118860,109020,0
1/10/2022 8:00,110835,120380,130365,106160,0
