time,open,close,high,low,volume
4/13/2020 8:00,6227.125,6806.5,6979.5,6153.25,0
4/20/2020 8:00,6806.5,7119.5,7161,6557.5,0
4/27/2020 8:00,7119.5,7328,7640.5,6825,0
5/4/2020 8:00,7328,6931.5,7527,6778.5,0
5/11/2020 8:00,6931.5,7285,7339.5,6719,0
5/18/2020 8:00,7285,7152.5,7463.5,7008,0
5/25/2020 8:00,7152.5,7709,7960,7102.5,0
6/1/2020 8:00,7709,7905.5,8062.5,7619.5,0
6/8/2020 8:00,7905.5,7691,7994,7606,0
6/15/2020 8:00,7691,7615,7825,7463,0
6/22/2020 8:00,7615,7566,7959,7414.5,0
6/29/2020 8:00,7566,7596,7683.5,7498,0
7/6/2020 8:00,7596,7832.5,7942,7565,0
7/13/2020 8:00,7832.5,7754,7868.5,7565,0
7/20/2020 8:00,7754,8842,8977.5,7635,0
7/27/2020 8:00,8842,9635.5,10204,8758,0
8/3/2020 8:00,9635.5,9841,10067.5,9208.5,0
8/10/2020 8:00,9841,10355,10488.5,9564.5,0
8/17/2020 8:00,10355,9806.5,10503,9671,0
8/24/2020 8:00,9820,10256.5,10267.5,9547.5,0
8/31/2020 8:00,10256.5,9359.5,10961.5,8826,0
9/7/2020 8:00,9359.5,9536.5,9836,8969.5,0
9/14/2020 8:00,9536.5,9603.5,9897,9348.5,0
9/21/2020 8:00,9603.5,9450,9671.5,8875.5,0
9/28/2020 8:00,9450,9398.5,9603.5,9159,0
10/5/2020 8:00,9398.5,9672,9735.5,9140,0
10/12/2020 8:00,9672,9725.5,9942,9410.5,0
10/19/2020 8:00,9705.5,10068.5,10264.5,9539,0
10/26/2020 8:00,10068.5,9949,10130,9410.5,0
11/2/2020 8:00,9949,10645.5,10807,9544,0
11/9/2020 8:00,10645.5,10562.5,10902,10421,0
11/16/2020 8:00,10562.5,11787,12010.5,10533,0
11/23/2020 8:00,11787,11933,12421.5,10994.5,0
11/30/2020 8:00,11933,12190.5,12548.5,11710,0
12/7/2020 8:00,12190.5,12090,16731,11461.5,3910.489258
12/14/2020 8:00,12090,12480.5,12900,11929.5,0
12/21/2020 8:00,12480.5,12930.5,13243,11729.5,0
12/28/2020 8:00,12930.5,15516,15838,12896,0
1/4/2021 8:00,15516,17576,18170,14907,0
1/11/2021 8:00,17576,17312,17745,15207,0
1/18/2021 8:00,17312,18543,18719,16070,0
1/25/2021 8:00,18543,18003,19072,17355,0
2/1/2021 8:00,18003,19936,20750,17721,0
2/8/2021 8:00,19936,20974,21384,19661,0
2/15/2021 8:00,20974,21534,22153,18418,12306.44238
2/22/2021 8:00,21534,18557,21549,17736,0
3/1/2021 8:00,18557,20413,21171,18481,518.7224731
3/8/2021 8:00,20413,21124,21638,19833,0
3/15/2021 8:00,21124,20637,21309,20305,0
3/22/2021 8:00,20637,20061,20770,19263,0
3/29/2021 8:00,20061,22129,22518,20010,159.3946838
4/5/2021 8:00,22129,22410,22740,21380,0
4/12/2021 8:00,22410,22812,24302,21315,0
4/19/2021 8:00,22812,23133,24729,21849,0
4/26/2021 8:00,23138,26062,26217,23036,0
5/3/2021 8:00,26062,30159,31002,26043,317766.9063
5/10/2021 8:00,30159,28851,31818,28015,0
5/17/2021 8:00,28851,22412,28872,20742,0
5/24/2021 8:00,22413,24235,26604,22412,0
5/31/2021 8:00,24235,25881,26648,23662,0
6/7/2021 8:00,25881,24873,26458,23656,145489.625
6/14/2021 8:00,24873,23578,25509,22543,0
6/21/2021 8:00,23578,22320,23653,20747,0
6/28/2021 8:00,22320,24270,24558,22190,0
7/5/2021 8:00,24270,23293,24680,22823,0
7/12/2021 8:00,23293,21972,23440,21703,0
7/19/2021 8:00,21972,23636,24722,20944,665011.125
7/26/2021 8:00,23636,25550,26222,23482,0
8/2/2021 8:00,25550,27743,28545,25008,0
8/9/2021 8:00,27743,29086,29166,27265,0
8/16/2021 8:00,29086,28798,29194,27505,0
8/23/2021 8:00,28798,28703,29367,27952,0
8/30/2021 8:00,28703,31707.5,32052.5,28343,0
9/6/2021 8:00,31707.5,29540,31782.5,28190,0
9/13/2021 8:00,29540,29207,30651,28382,0
9/20/2021 8:00,29207,28106,29315,26272,0
9/27/2021 8:00,28106,29779,30163,26831,105244.0313
10/4/2021 8:00,29779,29720,30806,29172,0
10/11/2021 8:00,29720,31436,31965,29578,0
10/18/2021 8:00,31436,32265,33507.5,30795,0
10/25/2021 8:00,32302.5,33150,33760,31612.5,0
11/1/2021 8:00,33150,34347.5,34422.5,32637.5,0
11/8/2021 8:00,34347.5,34272.5,35175,33915,30394.07031
11/15/2021 8:00,34272.5,33010,34787.5,31795,184253.75
11/22/2021 8:00,33010,33237.5,33997.5,31960,106302.2813
11/29/2021 8:00,33237.5,32712.5,34927.5,30397.5,4346.242188
12/6/2021 8:00,32712.5,32535,33857.5,31407.5,0
12/13/2021 8:00,32502.5,31770,32572.5,30770,0
12/20/2021 8:00,31770,32240,32597.5,31096,0
12/27/2021 8:00,32240,31299,32485,30354,0
1/3/2022 8:00,31299,28404,31542,27780,0
1/10/2022 8:00,28404,29308,29627,27453,0
1/17/2022 8:00,29308,25585,29346,24445,0
1/24/2022 8:00,25557,26027,26504,23731,0
1/31/2022 8:00,26027,28119,28193,25454,0
2/7/2022 8:00,28119,27269,29137,27161,0
2/14/2022 8:00,27269,26152,28793,25929,0
2/21/2022 8:00,26152,26155,27271,24599,0
2/28/2022 8:00,26155,25860,28183,25821,0
3/7/2022 8:00,25860,25670,26932,25333,0
3/14/2022 8:00,25670,27371,27962,25617,0
3/21/2022 8:00,27371,29363,29375,27273,0
3/28/2022 8:00,29363,30368,30587,29038,0
4/4/2022 8:00,30368,28961,30472,28716,0
4/11/2022 8:00,28961,27998,29031,27823,0
4/18/2022 8:00,27998,27697,28840,27526,0
4/25/2022 8:00,27697,27271,28190,26730,0
5/2/2022 8:00,27271,25715,27859,25610,0
5/9/2022 8:00,25715,23678,25748,21537,0
5/16/2022 8:00,23677,23126,23677,22354,0
5/23/2022 8:00,23126,21802,23378,21200,0
5/30/2022 8:00,21800,21810,23001,21424,0
6/6/2022 8:00,21810,19468,22900,19427,0
6/13/2022 8:00,19468,17387,19787,15475,0
6/20/2022 8:00,17387,17986,18583,16774,0
6/27/2022 8:00,17986,17035,18286,16499,0
7/4/2022 8:00,17035,17786,18565,16836,0
7/11/2022 8:00,17786,19164,19601,16587,0
7/18/2022 8:00,19164,20987,21382,19147,0
7/25/2022 8:00,20987,21932,22185,19375,0
