time,open,close,high,low,volume
4/13/2020 8:00,6239,6407.5,6485.25,6209.75,0
4/20/2020 8:00,6407.5,6478.25,6547.75,6227.25,0
4/27/2020 8:00,6478.25,6604,6749.5,6448.75,0
5/4/2020 8:00,6604,6477.75,6700.5,6323.5,0
5/11/2020 8:00,6477.75,6716,6741.5,6379.25,0
5/18/2020 8:00,6716,6615.25,6776.75,6582.75,0
5/25/2020 8:00,6618.5,6818,6893.75,6595,0
6/1/2020 8:00,6818,7089.75,7158.25,6784,0
6/8/2020 8:00,7089.75,6827,7094.75,6810,0
6/15/2020 8:00,6827,6698.5,6832.75,6690.25,0
6/22/2020 8:00,6698.5,6806.5,6887.75,6693.25,0
6/29/2020 8:00,6806.5,6743,6865.25,6714.5,0
7/6/2020 8:00,6743,6839,6936.5,6740,0
7/13/2020 8:00,6839,6851.5,6880,6770.5,0
7/20/2020 8:00,6851.5,7016,7068.5,6770.5,0
7/27/2020 8:00,7016,7076,7294,6779,0
8/3/2020 8:00,7076,7208.5,7307,7016.5,0
8/10/2020 8:00,7208.5,7358,7432,7045,0
8/17/2020 8:00,7358,7163,7361,7107.5,0
8/24/2020 8:00,7163,7286,7327,7107.5,0
8/31/2020 8:00,7286,7217,7525,6876.5,0
9/7/2020 8:00,7217,7735.5,7788.5,7024,0
9/14/2020 8:00,7735.5,7575.5,7755.5,7406,0
9/21/2020 8:00,7575.5,7576,7602,7107.5,0
9/28/2020 8:00,7576,7662,7720.5,7252.5,0
10/5/2020 8:00,7662,7659.5,7751,7342.5,0
10/12/2020 8:00,7659.5,7538.5,7794,7271,0
10/19/2020 8:00,7538.5,7607,7664.5,7385,0
10/26/2020 8:00,7607,7473.5,7692.5,7391.5,0
11/2/2020 8:00,7473.5,7432,7516.5,7139,0
11/9/2020 8:00,7432,7423,7510.5,7294,0
11/16/2020 8:00,7423,7895.5,7933.5,7413,0
11/23/2020 8:00,7895.5,7795.5,8096.5,7453,0
11/30/2020 8:00,7795.5,7764.5,7987.5,7542.5,0
12/7/2020 8:00,7764.5,7869.5,7879.5,7531,0
12/14/2020 8:00,7869.5,8118,8211.5,7775,0
12/21/2020 8:00,8118,8190.5,8260,7531,0
12/28/2020 8:00,8190.5,9030.5,9035,8167.5,0
1/4/2021 8:00,9030.5,9366,9471,8890.5,0
1/11/2021 8:00,9366,9259,9366,8725,0
1/18/2021 8:00,9259,9167.5,9602.5,8748.5,0
1/25/2021 8:00,9167.5,9482.5,9586,8870,0
2/1/2021 8:00,9482.5,10687,10897,9429.5,0
2/8/2021 8:00,10687,13241.5,13563.5,10592.5,0
2/15/2021 8:00,13241.5,18851,19094,12640,0
2/22/2021 8:00,18851,16052,18890,15624,0
3/1/2021 8:00,16052,17015,17583,16030,0
3/8/2021 8:00,17015,17994,18538,16453,0
3/15/2021 8:00,17994,17512,18256,16997,20.41433907
3/22/2021 8:00,17512,17264,17683,16250,0
