time,open,close,high,low,volume
4/23/2020 8:00,6503.5,5541.5,6503.5,4627,2582544.25
4/27/2020 8:00,5541.5,3137.25,5601.5,2888,486541.5938
5/4/2020 8:00,3137.25,2864.75,3240.5,2736.25,62749.17188
5/11/2020 8:00,2864.75,2767,2996.5,2706.5,39379.64063
5/18/2020 8:00,2767,3142.25,3142.25,2713.25,6215.182617
5/25/2020 8:00,3142.25,3264,3436.5,3025,16289.30762
6/1/2020 8:00,3264,3273.5,3289,2846,0
6/8/2020 8:00,3273.5,3573.5,3576.5,3246.5,0
6/15/2020 8:00,3573.5,3971,4029,3420,0
6/22/2020 8:00,3971,4422.5,4497.5,3911.5,0
6/29/2020 8:00,4422.5,5443.5,5451,4404,0
7/6/2020 8:00,5442.5,6584.5,6584.5,5428,0
7/13/2020 8:00,6584.5,7406,7571,6286.5,0
7/20/2020 8:00,7406,7742,8428,7406,0
7/27/2020 8:00,7742,6264.5,7759,5841.5,0
8/3/2020 8:00,6264.5,7177.5,7178,6209.5,0
8/10/2020 8:00,7177.5,7750,8046,6936.5,0
8/17/2020 8:00,7750,8477,8552,7309,0
8/24/2020 8:00,8477,8843,8943,8028,0
8/31/2020 8:00,8843,7312,8924,7046,0
9/7/2020 8:00,7312,8246,8367,7172,0
9/14/2020 8:00,8246,9460,9488,8163,0
9/21/2020 8:00,9460,9705,9897,9001,0
9/28/2020 8:00,9705,9518,10197,8700,0
10/5/2020 8:00,9518,10407,10840,9107,0
10/12/2020 8:00,10407,10824,10846,10290,0
10/19/2020 8:00,10824,9796,11056,9398,0
10/26/2020 8:00,9796,9557,10037,9488,0
11/2/2020 8:00,9557,8387,9615,8221,0
11/9/2020 8:00,8387,8379,8607,8078,0
11/16/2020 8:00,8379,7500,8570,7460,0
11/23/2020 8:00,7500,6846.5,7500,6481.5,0
11/30/2020 8:00,6846.5,6646.5,7073,5533,0
12/7/2020 8:00,6646.5,7200,7200,6552.5,0
12/14/2020 8:00,7200,5958,7340,5593,0
12/21/2020 8:00,5958,5966.5,6149.5,5404,0
12/28/2020 8:00,5966.5,5341,6100,5098.5,0
1/4/2021 8:00,5341,3642.5,5405.5,3304.5,0
1/11/2021 8:00,3642.5,3332.5,3643,3084,1075822.75
1/18/2021 8:00,3332.5,3567,3712.5,3100,13171.68359
1/25/2021 8:00,3567,3400,3891.5,3300,13345.14648
2/1/2021 8:00,3400,3886,3976,3222,1121706.875
2/8/2021 8:00,3886,4025,4025,3296,0
2/15/2021 8:00,4025,4537,4562,3898,0
2/22/2021 8:00,4537,4300,4595.5,4085,0
3/1/2021 8:00,4300,5087.5,5114.5,4300,0
3/8/2021 8:00,5087.5,5142.5,5267,5034,0
3/15/2021 8:00,5142.5,5798,5799,4965.5,0
3/22/2021 8:00,5798,6587,6604,5400.5,0
3/29/2021 8:00,6587,6600,6741.5,6175,0
4/5/2021 8:00,6600,5990.5,7224,5521,0
4/12/2021 8:00,5990.5,6196.5,6885,5817,0
4/19/2021 8:00,6196.5,5832,6711,5553,0
