time,open,close,high,low,volume
8/6/2019 8:00,8950,8722,12290,8585,1679.277466
8/12/2019 8:00,8717,8576,9921,8570,0
8/19/2019 8:00,8576,9623,9639,8414,0
8/26/2019 8:00,9623,9929,10216,9247,0
9/2/2019 8:00,9929,10768,10851,9894,0
9/9/2019 8:00,10768,10882,11055,10398,0
9/16/2019 8:00,10882,10889,10981,10484,0
9/23/2019 8:00,10889,11431,11444,10879,0
9/30/2019 8:00,11431,12500,12544,11295,0
10/7/2019 8:00,12500,12178,12837,11789,0
10/14/2019 8:00,12178,11851,12554,11837,0
10/21/2019 8:00,11851,12117,12797,11283,0
10/28/2019 8:00,12117,11871,12718,11827,0
11/4/2019 8:00,11871,12040,12335,11717,0
11/11/2019 8:00,12040,12402,12571,12015,0
11/18/2019 8:00,12402,13113,13115,12364,0
11/25/2019 8:00,13107,13255,13466,12532,0
12/2/2019 8:00,13255,13206,13424,13038,0
12/9/2019 8:00,13206,13707,13728,13066,0
12/16/2019 8:00,13707,13625,14268,13513,0
12/23/2019 8:00,13625,14393,14739,13556,0
12/30/2019 8:00,14403,13865,14672,13748,0
1/6/2020 8:00,13865,13617,13895,13084,0
1/13/2020 8:00,13617,13579,13950,12938,0
1/20/2020 8:00,13579,13363,13806,13094,0
1/27/2020 8:00,13363,13412,13931,13144,0
2/3/2020 8:00,13412,12337,13610,12337,0
2/10/2020 8:00,12337,12639,12679,11583,0
2/17/2020 8:00,12639,12544,12898,11970,0
2/24/2020 8:00,12544,12352,13159,12190,0
3/2/2020 8:00,12352,11924,12431,11921,0
3/9/2020 8:00,11924,12369,12852,11631,0
3/16/2020 8:00,12369,11356,12593,11333,0
3/23/2020 8:00,11356,10899,11389,10884,0
3/30/2020 8:00,10899,10527,10986,10415,0
4/6/2020 8:00,10527,10619,10779,10444,0
4/13/2020 8:00,10619,10539,10666,10539,0
4/20/2020 8:00,10539,10539,10539,10539,0
4/27/2020 8:00,10539,10539,10539,10539,0
5/4/2020 8:00,10539,10539,10671,10539,0
5/11/2020 8:00,10539,10539,10539,10539,0
5/18/2020 8:00,10539,10385,10539,10353,0
5/25/2020 8:00,10385,10003,10539,10003,0
6/1/2020 8:00,10003,9631,10539,9451,0
6/8/2020 8:00,9631,9807,10539,9327,0
6/15/2020 8:00,9807,9973,10510,9807,0
6/22/2020 8:00,9973,8914,10539,8892,0
6/29/2020 8:00,8914,9413,9423,8752,0
7/6/2020 8:00,9413,9773,9825,8797,0
7/13/2020 8:00,9773,9279,9800,9039,0
7/20/2020 8:00,9279,8643,9413,8623,0
7/27/2020 8:00,8643,8539,8972,8284,0
8/3/2020 8:00,8539,8428,8617,8306,0
8/10/2020 8:00,8428,8548,9413,8409,0
8/17/2020 8:00,8548,8696,9413,8548,0
