time,open,close,high,low,volume
4/13/2020 8:00,6134.75,6473,6680,5855.625,0
4/20/2020 8:00,6473,6583.5,13561.5,6282.5,30934.51758
4/27/2020 8:00,6583.5,6562,6829,6370,0
5/4/2020 8:00,6562,6590.5,6971,6353.5,0
5/11/2020 8:00,6590.5,6599,6706,6188.5,0
5/18/2020 8:00,6599,6596.5,6911,6556.5,0
5/25/2020 8:00,6596.5,6854,6984.5,6577.5,0
6/1/2020 8:00,6854,6986.5,7241.5,6706,0
6/8/2020 8:00,6986.5,6662,7115.5,6598,0
6/15/2020 8:00,6662,6830.5,6896,6418.5,0
6/22/2020 8:00,6830.5,7153,7443,6706,0
6/29/2020 8:00,7153,7280,7415.5,7045.5,0
7/6/2020 8:00,7280,9118,9148,7271.5,0
7/13/2020 8:00,9118,9631,10072,8573,0
7/20/2020 8:00,9631,9315,9660.5,8857,0
7/27/2020 8:00,9315,9745.5,10020,8075.5,0
8/3/2020 8:00,9745.5,12768.5,13072.5,9170.5,0
8/10/2020 8:00,12768.5,15132,15638,11819.5,0
8/17/2020 8:00,15132,13618.5,15492,12537,0
8/24/2020 8:00,13618.5,14189,14741,12893.5,0
8/31/2020 8:00,14189,12726.5,14383,10837,0
9/7/2020 8:00,12726.5,12353.5,13027,11869,0
9/14/2020 8:00,12353.5,11098,12634,10980,0
9/21/2020 8:00,11098,11838,13243.5,9694,0
9/28/2020 8:00,11838,11103,11973,10774,0
10/5/2020 8:00,11103,11942.5,12031,10512.5,0
10/12/2020 8:00,11942.5,12019.5,12469,11687.5,0
10/19/2020 8:00,12019.5,12758,13165,11416,0
10/26/2020 8:00,12758,12456.25,12935.5,12018,0
11/2/2020 8:00,12460.5,13073.5,13548.5,11475.5,0
11/9/2020 8:00,13073.5,12812.5,13433,12659,0
11/16/2020 8:00,12812.5,13917,14489,12755,0
11/23/2020 8:00,13917,13361.5,14784,12472,0
11/30/2020 8:00,13361.5,13446.5,14072.5,13001.5,0
12/7/2020 8:00,13446.5,13158.5,13470,12435,0
