time,open,close,high,low,volume
4/13/2020 8:00,6195.125,6477.75,6655.25,6057.625,0
4/20/2020 8:00,6477.75,7096.75,7214,6174.875,0
4/27/2020 8:00,7096.75,7335.5,7532,6894.25,0
5/4/2020 8:00,7335.5,6916,7593,6533.5,0
5/11/2020 8:00,6916,7940,8220.5,6584.5,0
5/18/2020 8:00,7940,7753.5,8441.5,7499.5,0
5/25/2020 8:00,7753.5,8075,9188.5,7718,0
6/1/2020 8:00,8075,7996,8744.5,7850.5,0
6/8/2020 8:00,7996,7962.5,8744.5,7761.5,0
6/15/2020 8:00,7962.5,8095.5,8489,7635,0
6/22/2020 8:00,8095.5,7833.5,8499.5,7431.5,0
6/29/2020 8:00,7833.5,7619.5,7925,7438.5,0
7/6/2020 8:00,7619.5,7958,10630.5,5862,1451.49707
7/13/2020 8:00,7958,7991,8440,7780.5,0
7/20/2020 8:00,7991,7836,8255,7768,0
7/27/2020 8:00,7836,7698,8191.5,7280.5,0
8/3/2020 8:00,7698,8076,8280.5,7675.5,0
8/10/2020 8:00,8076,9291,9660.5,7792,0
8/17/2020 8:00,9291,8471.5,9580,8201,0
8/24/2020 8:00,8471.5,8651,8929,8381,0
8/31/2020 8:00,8651,7247.5,8704,6866,0
9/7/2020 8:00,7247.5,7513,7840,6937,0
9/14/2020 8:00,7513,7912.5,8062.5,7433,0
9/21/2020 8:00,7912.5,7350,8570.5,7045,0
9/28/2020 8:00,7350,7313.5,7771,7076,0
10/5/2020 8:00,7313.5,7170,7430.5,6693.5,0
10/12/2020 8:00,7170,6961.5,7382.5,6780,0
10/19/2020 8:00,6961.5,6995.5,7451,6648,0
10/26/2020 8:00,6995.5,6324.75,7191.25,6063.5,0
11/2/2020 8:00,6324.75,6664.5,6965.5,5761.75,0
11/9/2020 8:00,6664.5,6847.5,7095,6560,0
11/16/2020 8:00,6847.5,7294.5,7499.5,6802.5,0
11/23/2020 8:00,7294.5,7228.5,8121.5,6784.5,0
11/30/2020 8:00,7228.5,7370.5,7647,6952.5,0
12/7/2020 8:00,7370.5,7116.5,7378,6829,0
12/14/2020 8:00,7116.5,7270,7594,7028.5,0
12/21/2020 8:00,7270,7110.5,7445,6447.5,0
12/28/2020 8:00,7110.5,7371.5,7491.5,6894,0
1/4/2021 8:00,7371.5,9096.5,10589.5,6952.5,0
1/11/2021 8:00,9096.5,9739,10031,7491,0
1/18/2021 8:00,9739,9624,10271,8240.5,0
1/25/2021 8:00,9624,10538,11695,9121.5,0
2/1/2021 8:00,10538,13746,13938.5,10279.5,0
2/8/2021 8:00,13746,17093,20882,12768.5,0
2/15/2021 8:00,17093,21607,24256,15286,0
2/22/2021 8:00,21607,26144,26144,17772,0
3/1/2021 8:00,26144,25106,27345,23492,0
3/8/2021 8:00,25106,34340,41909,24644,62.92958832
3/15/2021 8:00,34340,33682.5,36347.5,32835,0
3/22/2021 8:00,33682.5,32285,33955,30067,0
3/29/2021 8:00,32285,32712.5,35487.5,31815,0
4/5/2021 8:00,32712.5,32442.5,33517.5,30340,0
4/12/2021 8:00,32442.5,32432.5,36347.5,29847.5,0
4/19/2021 8:00,32432.5,32887.5,34407.5,29404,0
4/26/2021 8:00,32887.5,50177.5,53740,32670,0
5/3/2021 8:00,50177.5,54480,57120,46422.5,0
5/10/2021 8:00,54480,73875,78005,48710,0
5/17/2021 8:00,73875,62355,94030,53145,0
5/24/2021 8:00,62355,83845,95095,62125,0
5/31/2021 8:00,83845,77740,86610,72825,464735.4375
6/7/2021 8:00,77740,74810,80880,66820,0
6/14/2021 8:00,74810,73670,80850,70590,0
6/21/2021 8:00,73670,66485,73995,61280,0
6/28/2021 8:00,66485,67950,70645,64820,0
7/5/2021 8:00,67955,64660,68520,63595,0
7/12/2021 8:00,64660,56717.5,64755,56335,0
7/19/2021 8:00,56717.5,62257.5,63607.5,50425,0
