time,open,close,high,low,volume
8/22/2019 8:00,6265,7567.5,8315,6015,662.6051025
8/26/2019 8:00,7567.5,4522.5,8027.5,3560,0
9/2/2019 8:00,4522.5,5322.5,6635,4297.5,0
9/9/2019 8:00,5322.5,5937.5,6750,4740,0
9/16/2019 8:00,5937.5,5612.5,6397.5,5230,0
9/23/2019 8:00,5612.5,2351,5637.5,2065,0
9/30/2019 8:00,2351,2031,2845,1910,0
10/7/2019 8:00,2028,2879,3230,1971,0
10/14/2019 8:00,2879,3310,3440,2842,0
10/21/2019 8:00,3310,5872,6496,2994,7285.931641
10/28/2019 8:00,5872,6327.5,7440,4610,0
11/4/2019 8:00,6327.5,6285,8235,4390,0
11/11/2019 8:00,6285,4211,6887.5,3873,0
11/18/2019 8:00,4211,1038,4585,1025.5,0
11/25/2019 8:00,1038,1882,2010,681.5,0
12/2/2019 8:00,1882,2407,2497,1671,0
12/9/2019 8:00,2407,2220,2550,1907.5,0
12/16/2019 8:00,2220,2159,2329.5,1509,0
12/23/2019 8:00,2159,2409,2512,2059,0
12/30/2019 8:00,2409,2536,2665,2138,0
1/6/2020 8:00,2536,3200,3424,2521,0
1/13/2020 8:00,3200,3197,4981,2768,0
1/20/2020 8:00,3190,2736,3271,2330,0
1/27/2020 8:00,2736,3903,4161,2713,0
2/3/2020 8:00,3900,6717.5,7100,3801,0
2/10/2020 8:00,6717.5,22970,30170,6550,2137181.75
2/17/2020 8:00,22970,18000,30500,11715,663491.5625
2/24/2020 8:00,18000,8845,18355,7355,210051.4844
3/2/2020 8:00,8845,5300,10615,5210,177681.3906
3/9/2020 8:00,5300,1052,5597.5,248.1999969,105339.2422
3/16/2020 8:00,1052,1107,1939,476.5,53694.03906
3/23/2020 8:00,1107,944,1478.5,942,252267.2344
3/30/2020 8:00,944,1617.5,1763,931.75,474451.7188
4/6/2020 8:00,1617.5,1500.5,2153,1322.5,252118.0938
4/13/2020 8:00,1500.5,1537.5,1697.5,1269.5,42399.61719
4/20/2020 8:00,1537.5,1667,1828,1176.5,14386.20313
4/27/2020 8:00,1667,2072.5,2674,1591,19980.16992
5/4/2020 8:00,2072.5,1463.5,2410.5,1263,59022.47266
5/11/2020 8:00,1463.5,1846,1976,1267,23260.12305
5/18/2020 8:00,1846,1446.5,1973,1422.5,23150.36328
5/25/2020 8:00,1446.5,1697.5,1919.5,1422.5,20551.39844
6/1/2020 8:00,1697.5,1927,2048.5,1503,148912.1719
6/8/2020 8:00,1927,1520.5,1951,1457,14258.48242
6/15/2020 8:00,1520.5,1198,1560.5,1191,19272.07031
6/22/2020 8:00,1198,1381,1710,1169,131075.4219
6/29/2020 8:00,1381,1212,1432,1172,97472.25
7/6/2020 8:00,1212,1298,1441.5,1188,30801.53125
7/13/2020 8:00,1299,1408,1501,1219,376320.0313
7/20/2020 8:00,1408,1880,1981.5,1389,78002.71094
7/27/2020 8:00,1880,1745,2453,1714,422148.0938
8/3/2020 8:00,1745,1763.5,2250,1697.5,19594.91992
8/10/2020 8:00,1763.5,1796,1984,1397,15678.84082
8/17/2020 8:00,1796,1189,1841.5,1068.5,29265.375
8/24/2020 8:00,1189,1334,1632,1117,58243.84766
8/31/2020 8:00,1334,1092,1659,804,198163.8594
9/7/2020 8:00,1092,1931,2019.5,953,223386.8906
9/14/2020 8:00,1936,1598,1998.5,1361,54615.61328
9/21/2020 8:00,1598,1533,1658.5,1280,39577.05859
9/28/2020 8:00,1533,1501,1646.5,1396,19073.31055
10/5/2020 8:00,1501,1467,1662.5,1371.5,10522.80664
10/12/2020 8:00,1467,607.25,1517.5,359.2999878,687882.1875
10/19/2020 8:00,607.25,573,852,433,333938.125
10/26/2020 8:00,573,566.5,637.75,438.2000122,30871.49414
11/2/2020 8:00,566.5,656.5,689.75,390.6000061,34238.98828
11/9/2020 8:00,656.5,694.5,808.75,611.75,15388.24121
11/16/2020 8:00,694.5,1700,1735,679.25,111845.4375
11/23/2020 8:00,1700,985.5,1940,845.5,12655.00098
11/30/2020 8:00,985.5,828,1136,817,6916.210938
12/7/2020 8:00,828,1103.5,1126.25,820,5402.361328
12/14/2020 8:00,1103.5,1265,1397,979,16218.79785
12/21/2020 8:00,1265,1556,1722,976,0
12/28/2020 8:00,1556,2122,4365,1541,0
1/4/2021 8:00,2122,1972,2514,1611.5,0
1/11/2021 8:00,1972,1530,1972,1073,0
1/18/2021 8:00,1530,1156,2007.5,1062.5,0
1/25/2021 8:00,1156,1003.75,1192.5,766.75,0
2/1/2021 8:00,1003.75,1190.5,1526.5,950,0
2/8/2021 8:00,1190.5,2449,3827.5,1015,0
2/15/2021 8:00,2449,11380,12795,1595,0
2/22/2021 8:00,11380,2263,12197.5,1833,0
3/1/2021 8:00,2263,2868,4270,2097,0
3/8/2021 8:00,2868,1901.5,3017,1659.5,0
3/15/2021 8:00,1901.5,1289,1997,1264.5,0
3/22/2021 8:00,1289,1033.25,1340.5,752.25,0
3/29/2021 8:00,1033.25,1689.5,2264,1013.75,0
4/5/2021 8:00,1689.5,3367,3367,1478,0
4/12/2021 8:00,3367,1346,4517,730,0
4/19/2021 8:00,1346,988,1528.5,730,0
4/26/2021 8:00,988,9645,9645,988,0
5/3/2021 8:00,9645,3502,10752.5,2770,0
5/10/2021 8:00,3502,2650,6470,2276,0
5/17/2021 8:00,2650,33.58000183,2667,18.78499985,0
5/24/2021 8:00,33.58000183,34.59000015,61.09999847,25.81999969,0
5/31/2021 8:00,34.59000015,51.11000061,80.625,30.36000061,0
6/7/2021 8:00,51.11000061,27.49500084,55.15000153,21.07999992,0
6/14/2021 8:00,27.49500084,21.02499962,34.54000092,16.72500038,0
6/21/2021 8:00,21.02499962,8.640000343,21.47999954,5.747499943,0
6/28/2021 8:00,8.640000343,10.69499969,12.38500023,8.172499657,0
7/5/2021 8:00,10.69499969,8.284999847,10.69999981,7.525000095,0
7/12/2021 8:00,8.284999847,10.84000015,12.93000031,8.010000229,0
7/19/2021 8:00,10.84000015,25.77000046,26.79999924,7.197500229,0
7/26/2021 8:00,25.77000046,53.65000153,65.44999695,25.12999916,0
