time,open,close,high,low,volume
12/31/2021 8:00,5.885E-06,5.36E-06,7.27E-06,5.01E-06,704769.875
1/3/2022 8:00,5.36E-06,4.4E-06,5.73E-06,3.61E-06,779242.875
1/10/2022 8:00,4.4E-06,3.22E-06,4.44E-06,2.72E-06,386807.5
1/17/2022 8:00,3.22E-06,1.88E-06,3.32E-06,1.59E-06,260789.0938
1/24/2022 8:00,1.88E-06,3.89E-06,4.5E-06,1.47E-06,374572.375
1/31/2022 8:00,3.89E-06,3.53E-06,4.64E-06,2.88E-06,836100.625
2/7/2022 8:00,3.53E-06,2.76E-06,3.8E-06,2.5E-06,464987.3125
2/14/2022 8:00,2.76E-06,2.12E-06,3.07E-06,2.07E-06,233808.375
2/21/2022 8:00,2.12E-06,2.01E-06,2.6E-06,1.56E-06,340325.4375
2/28/2022 8:00,2.01E-06,1.78E-06,2.39E-06,1.76E-06,166316.0313
3/7/2022 8:00,1.78E-06,1.65E-06,2.14E-06,1.63E-06,115639.1797
3/14/2022 8:00,1.65E-06,1.68E-06,1.85E-06,1.56E-06,109411.0313
3/21/2022 8:00,1.68E-06,2.04E-06,2.16E-06,1.64E-06,95071.61719
3/28/2022 8:00,2.04E-06,1.86E-06,2.26E-06,1.67E-06,181790.4375
4/4/2022 8:00,1.86E-06,1.61E-06,1.92E-06,1.57E-06,91075.97656
4/11/2022 8:00,1.61E-06,1.31E-06,1.68E-06,1.25E-06,171671.9063
4/18/2022 8:00,1.31E-06,1.17E-06,1.38E-06,1.13E-06,111935.5703
4/25/2022 8:00,1.17E-06,7E-07,1.18E-06,5.9E-07,195581.9531
5/2/2022 8:00,7E-07,6.9E-07,9.4E-07,5.5E-07,149071.7656
5/9/2022 8:00,6.9E-07,3.7E-07,7.2E-07,2E-07,96482.84375
5/16/2022 8:00,3.7E-07,5.5E-07,7.9E-07,2.9E-07,97219.49219
5/23/2022 8:00,5.5E-07,3.8E-07,5.7E-07,3.1E-07,49547.92188
5/30/2022 8:00,3.8E-07,4E-07,5.8E-07,3.8E-07,44173.45703
6/6/2022 8:00,4E-07,3E-07,4.9E-07,2.8E-07,50097.64844
6/13/2022 8:00,3E-07,3.5E-07,4.2E-07,2.3E-07,27878.72461
6/20/2022 8:00,3.5E-07,4E-07,4.4E-07,3.2E-07,49335.82422
6/27/2022 8:00,4E-07,3.1E-07,4.1E-07,2.9E-07,46798.74609
7/4/2022 8:00,3.1E-07,3.3E-07,3.6E-07,3.1E-07,25126.41797
7/11/2022 8:00,3.3E-07,2.9E-07,3.4E-07,2.7E-07,44274.49219
7/18/2022 8:00,2.9E-07,3.1E-07,3.5E-07,2.9E-07,31078.88867
7/25/2022 8:00,3.1E-07,3.4E-07,3.6E-07,2.8E-07,5472.037109
