time,open,close,high,low,volume
7/13/2020 8:00,6291.25,1757.25,6473.75,1677.75,0
7/20/2020 8:00,1757.25,1390.25,2200,1154.25,0
7/27/2020 8:00,1390.25,1436,1849.5,1295,0
8/3/2020 8:00,1436,1023.75,1488.75,951,0
8/10/2020 8:00,1023.75,644.75,1045,435.25,0
8/17/2020 8:00,644.75,714,864,519.25,1485.222534
8/24/2020 8:00,714,687,805,614,0
8/31/2020 8:00,687,977,1124.25,657.25,0
9/7/2020 8:00,977,999,1078.5,881.5,0
9/14/2020 8:00,999,1074,1141.75,860.5,0
9/21/2020 8:00,1074,858,1458,830,0
9/28/2020 8:00,858,1017,1061.25,783,0
10/5/2020 8:00,1017,1011.75,1249,934.75,0
10/12/2020 8:00,1011.75,1074,1130,981,0
10/19/2020 8:00,1074,1206.875,1211.125,1074,0
10/26/2020 8:00,1206.875,1545.125,1615.25,1202.75,0
11/2/2020 8:00,1545.125,1232.5,1763.625,1025.75,0
11/9/2020 8:00,1232.5,1301.5,1358,1146.75,0
11/16/2020 8:00,1301.5,1110.25,1323.5,993.75,0
11/23/2020 8:00,1110.25,1186.25,1324.5,886.25,0
11/30/2020 8:00,1186.25,1208.25,1294,1060.75,0
12/7/2020 8:00,1208.25,1281.5,1382.25,1189.25,0
12/14/2020 8:00,1281.5,1197.25,1326,1107,0
12/21/2020 8:00,1197.25,1461,1698.5,1176.25,0
12/28/2020 8:00,1461,1233.5,1619.5,1165,0
1/4/2021 8:00,1233.5,877.75,1284,724,0
1/11/2021 8:00,877.75,814.25,1172.75,798.5,0
1/18/2021 8:00,814.25,780,1172.75,710.5,0
1/25/2021 8:00,780,530.5,822.75,491.75,0
2/1/2021 8:00,530.5,338.25,583.75,307.25,0
2/8/2021 8:00,338.25,271.5,340.75,211.75,0
2/15/2021 8:00,271.5,184,318.5,156.25,0
2/22/2021 8:00,184,260.25,275.25,183.5,0
3/1/2021 8:00,260.25,188.75,264.25,179.25,0
3/8/2021 8:00,188.75,153,193.75,124.25,0
3/15/2021 8:00,153,116.75,170.5,109,0
3/22/2021 8:00,116.75,137.25,161.5,110.75,0
3/29/2021 8:00,137.25,90.25,140,90.25,0
4/5/2021 8:00,90.25,73.75,98.75,68.75,0
4/12/2021 8:00,73.75,91,109.5,71.75,0
