time,open,close,high,low,volume
5/26/2020 8:00,6249.75,5078,6852.875,5011.75,0
6/1/2020 8:00,5078,5207.25,5754.5,4862.25,0
6/8/2020 8:00,5207.25,4887.5,5265,4527,0
6/15/2020 8:00,4887.5,4756.5,5132.75,4667,0
6/22/2020 8:00,4756.5,4789.75,5170.75,4497,0
6/29/2020 8:00,4795.25,4673,4898,4639.5,0
7/6/2020 8:00,4673,5296.75,5328,4666.5,0
7/13/2020 8:00,5296.75,4918.25,5301.5,4645.25,0
7/20/2020 8:00,4918.25,4974.25,5121,4816.25,0
7/27/2020 8:00,4974.25,5213.75,5622.75,4733,0
8/3/2020 8:00,5213.75,5570.75,5758.75,5158.25,0
8/10/2020 8:00,5570.75,6160,6385.5,5371,0
8/17/2020 8:00,6160,6821,6864,5605,0
8/24/2020 8:00,6821,6903,7549.5,6439.5,0
8/31/2020 8:00,6903,6473.5,7006.5,6008,0
9/7/2020 8:00,6473.5,7316,7368.5,6111,0
9/14/2020 8:00,7316,7533,7865.5,6888,0
9/21/2020 8:00,7533,8897,8931.5,6888,0
9/28/2020 8:00,8897,9196.5,9293.5,7275.5,0
10/5/2020 8:00,9196.5,9176.5,9394.5,8416,0
10/12/2020 8:00,9176.5,8774,9342,8260,0
10/19/2020 8:00,8774,9054.5,9272,7984.5,0
10/26/2020 8:00,9054.5,8543.5,9184.5,7121,0
11/2/2020 8:00,8543.5,8960,9309.5,7776.5,0
11/9/2020 8:00,8960,8563,9024,8441,0
11/16/2020 8:00,8563,8928,9333.5,8389,0
11/23/2020 8:00,8928,8727.5,9584,8389,0
11/30/2020 8:00,8727.5,9380.5,9670.5,8389,0
12/7/2020 8:00,9380.5,9557.5,9946.5,8999,0
12/14/2020 8:00,9557.5,10803,10954,9452,0
12/21/2020 8:00,10803,13259,24584,10505.5,1241.224243
12/28/2020 8:00,13259,16975,18559,12539,0
1/4/2021 8:00,16975,16223,17900,15412,0
1/11/2021 8:00,16223,16630,17629,15112,0
1/18/2021 8:00,16630,16605,17125,15282,0
1/25/2021 8:00,16605,16478,18487,15712,0
2/1/2021 8:00,16478,18139,19334,15412,0
2/8/2021 8:00,18139,21419,22393,18099,0
2/15/2021 8:00,21419,22499,27350,19913,0
2/22/2021 8:00,22499,21309,22514,19812,0
3/1/2021 8:00,21309,24916,25997,21153,0
3/8/2021 8:00,24916,32870,34260,24570,0
3/15/2021 8:00,32870,36970,37382.5,30584,0
3/22/2021 8:00,36970,43557.5,46655,36897.5,0
3/29/2021 8:00,43557.5,41640,45355,40787.5,0
4/5/2021 8:00,41640,41557.5,44340,40747.5,0
4/12/2021 8:00,41557.5,40415,46725,36295,0
4/19/2021 8:00,40415,35322.5,41170,32867.5,0
4/26/2021 8:00,35322.5,39132.5,40262.5,34880,0
5/3/2021 8:00,39132.5,40717.5,42357.5,37592.5,0
5/10/2021 8:00,40717.5,36537.5,41182.5,33907.5,0
5/17/2021 8:00,36537.5,29275,37917.5,26465,0
5/24/2021 8:00,29237,31452.5,35485,29102.5,0
5/31/2021 8:00,31452.5,36717.5,39830,30255,0
6/7/2021 8:00,36717.5,36650,39245,33760,0
6/14/2021 8:00,36650,36682.5,39302.5,35370,0
6/21/2021 8:00,36682.5,33247.5,36837.5,29237.5,40393.5625
6/28/2021 8:00,33247.5,31602.5,34100,30313,0
7/5/2021 8:00,31552,30607,32735,26049,52011.69141
7/12/2021 8:00,30607,26476,30719,26271,0
7/19/2021 8:00,26476,31583,32536,23711,0
7/26/2021 8:00,31583,30598,32845,29508,0
8/2/2021 8:00,30598,32332.5,34272.5,30053,0
8/9/2021 8:00,32332.5,34750,34965,31605,0
8/16/2021 8:00,34750,34182.5,36575,32572.5,0
8/23/2021 8:00,34182.5,33145,35962.5,31877.5,0
8/30/2021 8:00,33145,35910,36425,32060,19326.72461
9/6/2021 8:00,35910,32642.5,39182.5,31795,0
9/13/2021 8:00,32642.5,31185,33760,30759,0
9/20/2021 8:00,31185,28656,31195,27843,0
9/27/2021 8:00,28656,31596,31913,27526,0
10/4/2021 8:00,31596,32145,33670,30608,0
10/11/2021 8:00,32145,30951,32540,30276,0
10/18/2021 8:00,30951,32145,32927.5,30544,0
10/25/2021 8:00,32145,34155,37085,31057.5,0
11/1/2021 8:00,34155,34625,36037.5,33557.5,0
11/8/2021 8:00,34625,33517.5,36717.5,33092.5,0
11/15/2021 8:00,33517.5,33705,33782.5,30642.5,0
11/22/2021 8:00,33705,33310,33925,31685,0
11/29/2021 8:00,33310,27868,33415,25914,0
12/6/2021 8:00,27868,26833,30704,25133,25359.49023
12/13/2021 8:00,26833,26024,27133,25009,0
12/20/2021 8:00,26024,29817,29987,25090,0
12/27/2021 8:00,29817,28229,31081,27347,0
1/3/2022 8:00,28229,25712,29990,25005,0
1/10/2022 8:00,25712,26167,26611,24593,0
1/17/2022 8:00,26167,21692,27547,20238,0
1/24/2022 8:00,21692,21927,23243,19709,0
1/31/2022 8:00,21927,24331,24715,21358,0
2/7/2022 8:00,24331,24799,27232,22542,4211.566406
2/14/2022 8:00,24812,22552,26282,22330,0
2/21/2022 8:00,22552,21959,23250,20005,0
2/28/2022 8:00,21959,21943,24637,21561,0
3/7/2022 8:00,21943,21901,23584,21520,0
3/14/2022 8:00,21901,22661,23276,21668,0
3/21/2022 8:00,22661,25126,27249,22445,565.4321899
3/28/2022 8:00,25126,26806,27799,24444,0
4/4/2022 8:00,26806,24328,27546,24118,0
4/11/2022 8:00,24328,22633,24328,22587,0
4/18/2022 8:00,22633,23121,25046,22220,0
4/25/2022 8:00,23121,20581,24279,19665,0
5/2/2022 8:00,20581,19476,22856,19267,0
5/9/2022 8:00,19476,16730,19989,14009,0
5/16/2022 8:00,16730,15725,17289,14855,0
5/23/2022 8:00,15725,15008,16039,14309,0
5/30/2022 8:00,15008,15193,16279,14858,0
6/6/2022 8:00,15193,14575,16860,14548,0
6/13/2022 8:00,14575,15312,16720,13803,2953.960449
6/20/2022 8:00,15312,16182,17443,14786,0
6/27/2022 8:00,16182,15491,16708,14873,0
7/4/2022 8:00,15491,15425,16047,15150,0
7/11/2022 8:00,15425,15416,15867,14516,0
7/18/2022 8:00,15416,15971,16411,15307,0
7/25/2022 8:00,15971,16793,17079,15130,0
