time,open,close,high,low,volume
4/13/2020 8:00,6235.25,6427.5,6594,6127.5,0
4/20/2020 8:00,6427,6760.75,6813.75,6256.75,0
4/27/2020 8:00,6760.75,7161.5,7324.75,6728.5,0
5/4/2020 8:00,7161.5,6770,7304.5,6425,0
5/11/2020 8:00,6770,6936.5,7015,6519.5,0
5/18/2020 8:00,6936.5,6740.5,7080.5,6653,0
5/25/2020 8:00,6740.5,7096,7409.5,6710,0
6/1/2020 8:00,7096,7589,7594,7013,0
6/8/2020 8:00,7589,7144,9502,6925.5,4567.127441
6/15/2020 8:00,7144,7049,7434,6884.5,0
6/22/2020 8:00,7049,7019,7312,6810,0
6/29/2020 8:00,7019,7253.5,7368.5,7015.5,0
7/6/2020 8:00,7246.5,7506.5,7718.5,7246,0
7/13/2020 8:00,7506.5,7372,7555.5,7194.5,0
7/20/2020 8:00,7372,7553.5,7726.5,7246.5,0
7/27/2020 8:00,7553.5,7613.5,8069.5,7385,0
8/3/2020 8:00,7613.5,7868.5,8003.5,7391,0
8/10/2020 8:00,7868.5,9245,9293,7457.5,0
8/17/2020 8:00,9245,8580.5,9908,8404.5,0
8/24/2020 8:00,8580.5,9018,9238.5,8176,0
8/31/2020 8:00,9018,9854,12371.5,8821,0
9/7/2020 8:00,9854,9834,10581,9408,0
9/14/2020 8:00,9817.5,9317.5,9979.5,9181,0
9/21/2020 8:00,9317.5,9288,9668.5,8898,0
9/28/2020 8:00,9279.5,9248,9584.5,8817.5,0
10/5/2020 8:00,9248,9265.5,9497.5,8996,0
10/12/2020 8:00,9265.5,9148.5,9497.5,9077,0
10/19/2020 8:00,9148.5,9329.5,9674.5,9038.5,0
10/26/2020 8:00,9329.5,9110.5,9497.5,9038,0
11/2/2020 8:00,9110.5,9036.5,9280.5,8628,0
11/9/2020 8:00,9036.5,9016.5,9105.5,8817.5,0
11/16/2020 8:00,9016.5,9611,9950.5,8947,0
11/23/2020 8:00,9611,9938,11274,9165,0
11/30/2020 8:00,9938,9986,10490,9633.5,0
12/7/2020 8:00,9986,9710,9994.5,9018,0
12/14/2020 8:00,9710,10034.5,10310.5,9579.5,0
12/21/2020 8:00,10034.5,9675.5,10146.5,8836,0
12/28/2020 8:00,9675.5,9802.5,9945,8947,0
1/4/2021 8:00,9802.5,10318.5,11022,8947,0
1/11/2021 8:00,10318.5,10001.5,10325.5,8965.5,0
1/18/2021 8:00,10001.5,10019,10386,8947,0
1/25/2021 8:00,10019,10303,12221,9279.5,0
2/1/2021 8:00,10303,11002,11211,9932,0
2/8/2021 8:00,11002,13727,14409.5,10014.5,0
2/15/2021 8:00,13727,14343,19063,12041,274.8569946
2/22/2021 8:00,14343,12686,14357,11794,0
3/1/2021 8:00,12686,13581.5,13762.5,12041,0
3/8/2021 8:00,13581.5,13537.5,13894.5,12865,0
3/15/2021 8:00,13537.5,15047,15675,13193,0
3/22/2021 8:00,15047,15103,15607,13881.5,0
3/29/2021 8:00,15103,21781,21856,15065,0
