time,open,close,high,low,volume
1/6/2020 8:00,6212.5,5972.5,7045,5880,84037.30469
1/13/2020 8:00,5972.5,6067.5,6092.5,5897.5,0
1/20/2020 8:00,6067.5,6200,6205,6010,0
1/27/2020 8:00,6200,6892.5,6929,6095,0
2/3/2020 8:00,6892.5,6860,7022.5,6790,0
2/10/2020 8:00,6860,7142.5,7147.5,6810,0
2/17/2020 8:00,7142.5,7457.5,7510,7070,0
2/24/2020 8:00,7457.5,8130,8155,7342.5,0
3/2/2020 8:00,8130,7722.5,8172.5,7387.5,0
3/9/2020 8:00,7722.5,8767.5,9735,7610,0
3/16/2020 8:00,8767.5,10297.5,10325,8755,0
3/23/2020 8:00,10297.5,10227.5,10665,9695,0
3/30/2020 8:00,10217.5,11615,11810,10087.5,0
4/6/2020 8:00,11615,11600,11980,11000,0
4/13/2020 8:00,11600,13090,14640,11540,30446.60547
4/20/2020 8:00,13090,14580,14685,13045,0
4/27/2020 8:00,14580,15915,15915,14580,0
5/4/2020 8:00,15915,15570,16990,15370,0
5/11/2020 8:00,15570,14365,15605,13655,0
5/18/2020 8:00,14365,12940,14365,12880,0
5/25/2020 8:00,12940,12190,13070,12095,0
6/1/2020 8:00,12190,10780,12335,10780,0
6/8/2020 8:00,10780,10830,11340,10525,0
6/15/2020 8:00,10830,10732.5,10870,10540,0
6/22/2020 8:00,10732.5,11530,12120,10732.5,2284.299316
6/29/2020 8:00,11530,11745,12425,11465,0
7/6/2020 8:00,11745,11265,11950,11260,0
7/13/2020 8:00,11265,11315,11950,10790,0
7/20/2020 8:00,11315,11245,11685,10790,0
7/27/2020 8:00,11245,12365,12365,11175,0
8/3/2020 8:00,12365,13795,14375,11990,0
8/10/2020 8:00,13795,13085,13805,13045,0
8/17/2020 8:00,13085,12420,13405,12015,0
8/24/2020 8:00,12420,13070,13070,12300,0
8/31/2020 8:00,13070,14280,14365,12970,0
9/7/2020 8:00,14280,15790,16060,13535,0
9/14/2020 8:00,15790,16745,17130,15790,0
9/21/2020 8:00,16745,16555,17290,15900,19294.15234
9/28/2020 8:00,16555,15875,17095,15645,0
10/5/2020 8:00,15875,15020,16270,14850,0
10/12/2020 8:00,15020,13960,15020,13960,0
10/19/2020 8:00,13960,13535,14100,13075,0
10/26/2020 8:00,13535,14230,15410,10585,21980.80469
11/2/2020 8:00,14230,14755,15590,14135,0
11/9/2020 8:00,14755,9477.5,14755,9450,0
11/16/2020 8:00,9477.5,8377.5,9935,8095,0
11/23/2020 8:00,8377.5,8995,10285,8377.5,0
11/30/2020 8:00,8995,8507.5,9447.5,8395,0
12/7/2020 8:00,8507.5,8917.5,9380,8507.5,0
12/14/2020 8:00,8917.5,8010,9170,7997.5,0
12/21/2020 8:00,8010,7780,8147.5,7412.5,0
12/28/2020 8:00,7780,6905,8010,6792.5,0
1/4/2021 8:00,6905,6905,6905,6422.5,0
1/11/2021 8:00,6905,6140,6905,5725,0
1/18/2021 8:00,6140,5885,6527.5,5862.5,0
1/25/2021 8:00,5885,5070,6162.5,5011,0
2/1/2021 8:00,5070,5330,5488,4657,0
2/8/2021 8:00,5330,5707.5,5762.5,5107.5,0
2/15/2021 8:00,5707.5,5430,5885,5375,0
2/22/2021 8:00,5430,6037.5,6137.5,5430,0
3/1/2021 8:00,6037.5,5845,6040,5437.5,0
3/8/2021 8:00,5845,5652.5,6130,5590,0
3/15/2021 8:00,5652.5,5834,5835,4847,0
