time,open,close,high,low,volume
4/13/2020 8:00,6229.125,6346,8179.5,6086.25,4565.61377
4/20/2020 8:00,6346,6465.5,6520,6169,0
4/27/2020 8:00,6465.5,6838.5,7091,6300,0
5/4/2020 8:00,6838.5,6487.5,6966,6181.5,0
5/11/2020 8:00,6487.5,6556.5,6638,6282,0
5/18/2020 8:00,6556.5,6412,6671,6359,0
5/25/2020 8:00,6412,6578,6775,6371.5,0
6/1/2020 8:00,6578,6591,6791,6500,0
6/8/2020 8:00,6591,6374,6660,6274.5,0
6/15/2020 8:00,6374,6303.25,6520.5,6237,0
6/22/2020 8:00,6303.25,6158.25,6413.5,6018.75,0
6/29/2020 8:00,6158.25,6154,6231.5,6078.25,0
7/6/2020 8:00,6151.75,6561.5,6737,6136.25,0
7/13/2020 8:00,6561.5,6529.5,6646,6136.25,0
7/20/2020 8:00,6529.5,6772.5,6927,6403,0
7/27/2020 8:00,6772.5,7818,8339,6627,0
8/3/2020 8:00,7818,7816.5,8252.5,7741,0
8/10/2020 8:00,7816.5,8004,8062,7601,0
8/17/2020 8:00,8004,7722,8298,7567,0
8/24/2020 8:00,7722,7683,7884.5,7308,0
8/31/2020 8:00,7683,7080.5,7947.5,6929.5,0
9/7/2020 8:00,7080.5,7108.5,7278.5,6932,0
9/14/2020 8:00,7108.5,7165.5,7381.5,6993.5,0
9/21/2020 8:00,7165.5,7131.5,7884.5,6767.5,0
9/28/2020 8:00,7131.5,7195.5,7242,6912.5,0
10/5/2020 8:00,7195.5,7302.5,7419.5,7091.5,0
10/12/2020 8:00,7302.5,7095,7388,7031.5,0
10/19/2020 8:00,7095,7240.75,7399.75,7063,0
10/26/2020 8:00,7240.75,7045.75,7324,6916.5,0
11/2/2020 8:00,7045.75,7234,7434,6873.25,0
11/9/2020 8:00,7234,7444.5,7554.5,7105,0
11/16/2020 8:00,7444.5,9718,10247.5,7402.5,0
11/23/2020 8:00,9718,11520,13065,9548,0
11/30/2020 8:00,11520,11664,12413,10926,0
12/7/2020 8:00,11664,10728.5,12321.5,10443.5,0
12/14/2020 8:00,10728.5,11196.5,12277,9935.5,0
12/21/2020 8:00,11196.5,8451.5,11417,7551.5,0
12/28/2020 8:00,8451.5,7631,8823.5,6725.5,0
1/4/2021 8:00,7631,9011.5,9907.5,7497,0
1/11/2021 8:00,9011.5,8422.5,9027,7831,0
1/18/2021 8:00,8408.5,8351.5,9198,7762.5,0
1/25/2021 8:00,8351.5,11472.5,11871.5,7762.5,0
2/1/2021 8:00,11472.5,10657,14409,9657.5,0
2/8/2021 8:00,10657,12574,13109,10583.5,0
2/15/2021 8:00,12574,11988,12694,10619.5,941.2331543
2/22/2021 8:00,11988,10512,12973,10167.5,0
3/1/2021 8:00,10512,11075.5,11418.5,10469,0
3/8/2021 8:00,11075.5,10757.5,11349,10684.5,0
3/15/2021 8:00,10757.5,11534.5,11946.5,10560.5,0
3/22/2021 8:00,11534.5,11913.5,12490.5,10960,0
3/29/2021 8:00,11913.5,12716.5,12775.5,11736.5,0
4/5/2021 8:00,12716.5,19138,20120,12545.5,0
4/12/2021 8:00,19138,19834,23109,18106,0
4/19/2021 8:00,19834,16680,20696,15874,0
4/26/2021 8:00,16680,20940,21527,16429,0
5/3/2021 8:00,20940,20803,22232,19377,0
5/10/2021 8:00,20803,20365,21342,18657,175409.8125
5/17/2021 8:00,20365,15561,21926,14244,0
5/24/2021 8:00,15561,16579,17868,15209,0
5/31/2021 8:00,16579,17063,18322,15814,0
6/7/2021 8:00,17066,16491,17707,15634,58119.01172
6/14/2021 8:00,16491,15421,16916,14712,0
6/21/2021 8:00,15421,14328,15484,12808,0
6/28/2021 8:00,14328,14891,15239,14065,0
7/5/2021 8:00,14891,14269,15547,13436,85395.85938
7/12/2021 8:00,14269,13704,14633,13496,0
7/19/2021 8:00,13704,13925.5,14080,12886,0
7/26/2021 8:00,13925.5,15259,15771,13563.5,0
8/2/2021 8:00,15259,15792,18768,14965,101868.8906
8/9/2021 8:00,15792,20462,20964,15584,0
8/16/2021 8:00,20462,19975,20815,18583,0
8/23/2021 8:00,19975,19329,20597,18552,0
8/30/2021 8:00,19329,20593,20748,18891,0
9/6/2021 8:00,20593,19132,21440,18146,0
9/13/2021 8:00,19132,18578,19241,18482,0
9/20/2021 8:00,18578,17686,18602,16896,98441.96094
9/27/2021 8:00,17686,18749,19000,17172,0
10/4/2021 8:00,18749,19319,20102,18331,0
10/11/2021 8:00,19319,18973,19775,18461,0
10/18/2021 8:00,18973,18932,19561,18715,0
10/25/2021 8:00,18932,19115,19463,17970,0
11/1/2021 8:00,19115,19976,20231,18760,0
11/8/2021 8:00,19976,19685,20942,17748,149987.0938
11/15/2021 8:00,19685,18574,19966,18251,0
11/22/2021 8:00,18574,17748,18664,17242,0
11/29/2021 8:00,17748,16090,18111,14925,0
12/6/2021 8:00,16090,16582,17394,15387,0
12/13/2021 8:00,16582,16494,16640,15812,0
12/20/2021 8:00,16494,17448,18220,16425,246207.7813
12/27/2021 8:00,17448,16874,17716,16326,0
1/3/2022 8:00,16874,15786,17084,15468,0
1/10/2022 8:00,15786,16050,16348,15239,0
1/17/2022 8:00,16050,14382,16071,13611,0
1/24/2022 8:00,14382,14212,14633,13609,0
1/31/2022 8:00,14212,15070,15074,13937,0
2/7/2022 8:00,15070,16462,17466,14951,0
2/14/2022 8:00,16462,16178,16978,15957,0
2/21/2022 8:00,16178,15637,16398,14562,0
2/28/2022 8:00,15637,15651,16452,15401,0
3/7/2022 8:00,15651,16081,16948,15458,0
3/14/2022 8:00,16081,16544,16728,15906,0
3/21/2022 8:00,16544,17028,17108,16394,0
3/28/2022 8:00,17028,16903,17556,16393,0
4/4/2022 8:00,16903,15988,17356,15925,0
4/11/2022 8:00,16001,15987,16451,15245,0
4/18/2022 8:00,15987,15402,16271,15376,0
4/25/2022 8:00,15402,14356,16166,13898,0
5/2/2022 8:00,14356,13893.5,14930,13813.5,0
5/9/2022 8:00,13893.5,12431.5,14228,10896.5,0
5/16/2022 8:00,12431.5,12080.5,12431.5,11708,0
5/23/2022 8:00,12080.5,11629,12178,11443,0
5/30/2022 8:00,11629,11735,12251.5,11566.5,0
6/6/2022 8:00,11735,10940,12247.5,10887,0
6/13/2022 8:00,10940,10663,11078.5,10103.5,0
6/20/2022 8:00,10663,11266,11668,10539,0
6/27/2022 8:00,11266,10671.5,11475.5,10417,0
7/4/2022 8:00,10671.5,10746,11475.5,10542.5,0
7/11/2022 8:00,10746,11058.5,11303.5,10379.5,0
7/18/2022 8:00,11058.5,11288,11637,11053,105.5514679
7/25/2022 8:00,11288,11598.5,11615.5,10788,0
