time,open,close,high,low,volume
7/25/2020 8:00,3565,3170,4970,2105,1029087.875
7/27/2020 8:00,3170,4040,5015,2135,2238028
8/3/2020 8:00,4040,4020,5610,3515,1105002.75
8/10/2020 8:00,4020,6515,7100,4005,2476071.5
8/17/2020 8:00,6515,12505,16465,6480,3055384.75
8/24/2020 8:00,12505,31690,38815,12275,6285350
8/31/2020 8:00,31690,23940,39800,18235,8719139
9/7/2020 8:00,23940,36905,43915,20535,5731009
9/14/2020 8:00,36905,27950,42230,26285,7150459
9/21/2020 8:00,27950,30640,34170,20335,6387658.5
9/28/2020 8:00,30640,19115,31290,16035,5830553.5
10/5/2020 8:00,19115,16920,20640,12225,6954361
10/12/2020 8:00,16920,15420,17485,13135,2755895
10/19/2020 8:00,15420,14305,15635,12740,3108802.25
10/26/2020 8:00,14305,10690,14575,9660,4355633.5
11/2/2020 8:00,10690,15165,17500,7460,8525015
11/9/2020 8:00,15165,17640,19250,13915,8563476
11/16/2020 8:00,17640,24430,29895,17030,12511988
11/23/2020 8:00,24430,24650,26410,18250,7236837.5
11/30/2020 8:00,24650,28765,31995,24650,8364039.5
12/7/2020 8:00,28765,26345,29405,22030,4599133
12/14/2020 8:00,26345,26140,28920,24180,4103905
12/21/2020 8:00,26140,22770,27065,18200,6234553
12/28/2020 8:00,22770,23955,25275,19880,4756868
1/4/2021 8:00,23945,34070,39925,21155,20367898
1/11/2021 8:00,34070,34545,36870,24950,18301424
1/18/2021 8:00,34545,32230,40265,25950,9161334
1/25/2021 8:00,32230,30190,33540,27000,4855869
2/1/2021 8:00,30190,30975,34965,28850,11148445
2/8/2021 8:00,30975,43535,52425,30360,25227804
2/15/2021 8:00,43535,43110,48180,38440,19743136
2/22/2021 8:00,43110,30745,43155,27520,26828338
3/1/2021 8:00,30745,39235,39275,30040,14535649
3/8/2021 8:00,39215,35825,42205,34890,24004990
3/15/2021 8:00,35825,35350,37520,33220,18109878
3/22/2021 8:00,35350,32605,35880,29680,7070779.5
3/29/2021 8:00,32605,37585,40055,32360,7254936.5
4/5/2021 8:00,37585,44975,49000,36020,26321026
4/12/2021 8:00,44975,53430,54570,39970,45813120
4/19/2021 8:00,53430,39785,57495,37725,47675436
4/26/2021 8:00,39785,48465,50605,39505,17142324
5/3/2021 8:00,48465,53425,57850,48465,40239484
5/10/2021 8:00,53425,65865,94990,49520,182332880
5/17/2021 8:00,65865,32625,77650,23910,102154952
5/24/2021 8:00,32625,41825,52065,31950,33300992
5/31/2021 8:00,41825,43055,47840,40000,38437656
6/7/2021 8:00,43055,38575,44310,34630,24354452
6/14/2021 8:00,38575,36010,40460,32560,7528071.5
6/21/2021 8:00,36010,30235,36200,25000,14636402
6/28/2021 8:00,30235,33435,34820,29835,3903666
7/5/2021 8:00,33435,33805,37775,31000,8354631
7/12/2021 8:00,33805,27980,34370,27120,6484451
7/19/2021 8:00,27980,29965,30275,24825,3120016.5
7/26/2021 8:00,29965,31695,33985,28820,9615238
8/2/2021 8:00,31695,32730,35055,30600,5457266
8/9/2021 8:00,32730,39840,40460,31815,19396242
8/16/2021 8:00,39840,39545,42025,36090,12383421
8/23/2021 8:00,39545,37510,40660,35200,10345335
8/30/2021 8:00,37510,42900,43865,35685,29096626
9/6/2021 8:00,42900,33285,43545,30460,22615940
9/13/2021 8:00,33280,33025,38050,31035,15518675
9/20/2021 8:00,33025,30395,33065,26505,23696540
9/27/2021 8:00,30395,31360,32775,27940,17238586
10/4/2021 8:00,31360,32625,37455,29715,52064556
10/11/2021 8:00,32625,34800,36730,32125,196808816
10/18/2021 8:00,34800,34510,36620,29425,19767012
10/25/2021 8:00,34510,34120,39540,33150,57972152
11/1/2021 8:00,34120,35560,35560,32380,22182860
11/8/2021 8:00,35560,33560,36425,31690,27496122
11/15/2021 8:00,33560,31600,35600,29795,37016296
11/22/2021 8:00,31600,29995,32760,27845,24004382
11/29/2021 8:00,29995,23775,30540,18140,31891382
12/6/2021 8:00,23775,21705,24575,19770,46122928
12/13/2021 8:00,21705,31985,34730,18855,107098664
12/20/2021 8:00,31985,31215,39245,30335,100917000
12/27/2021 8:00,31215,39125,39525,27750,77308008
